family,importance,mean_conv
adverbs,intermediate,0.02594678772350386
adverbs,major,0.021229993140768372
adverbs,minor,-0.0018648018648018683
articles,intermediate,0.00233146841118977
articles,major,0.04597922020513666
articles,minor,-0.00042735042735041195
auxiliary_verbs,intermediate,-0.0008410977151614268
auxiliary_verbs,major,0.00038214268286731714
auxiliary_verbs,minor,0.0
conjunctions,intermediate,0.0013548428967267462
conjunctions,major,0.039736756265115594
conjunctions,minor,-0.0032051282051282493
impersonal_pronouns,intermediate,0.02007015172649847
impersonal_pronouns,major,0.038539093086993756
impersonal_pronouns,minor,0.0
negations,intermediate,0.0013516523036646994
negations,major,0.007246931955782897
negations,minor,-0.05448717948717946
personal_pronouns,intermediate,-0.0010264171360428
personal_pronouns,major,0.0031857512670983947
personal_pronouns,minor,0.0
prepositions,intermediate,0.0024501342933071317
prepositions,major,0.012358292888634215
prepositions,minor,-0.008333333333333331
quantifiers,intermediate,-0.02504121265731173
quantifiers,major,0.011459170847319525
quantifiers,minor,-0.037606837606837584
