family,importance,mean_conv
adverbs,intermediate,0.02870370370370369
adverbs,major,0.0013437950937951054
articles,intermediate,-0.08229166666666668
articles,major,0.026991642616642636
auxiliary_verbs,intermediate,0.0
auxiliary_verbs,major,-0.001307189542483662
conjunctions,intermediate,-0.013194444444444453
conjunctions,major,-0.0013102968460111189
impersonal_pronouns,intermediate,0.005555555555555559
impersonal_pronouns,major,0.029817305710162858
negations,intermediate,-0.03500000000000002
negations,major,-0.00781188508461235
personal_pronouns,intermediate,0.0
personal_pronouns,major,-0.0014005602240896309
prepositions,intermediate,-0.011574074074074089
prepositions,major,-0.015041035353535358
quantifiers,intermediate,-0.023544973544973553
quantifiers,major,0.05610569985569986
