family,importance,mean_conv
adverbs,intermediate,-0.020600453845170497
adverbs,major,0.005952220374354564
adverbs,minor,0.0210722610722611
articles,intermediate,-0.020390017698496292
articles,major,-0.0038847982450241378
articles,minor,-0.01811965811965812
auxiliary_verbs,intermediate,0.008376654367803382
auxiliary_verbs,major,-0.003023854351077831
auxiliary_verbs,minor,0.0
conjunctions,intermediate,0.005848053370852533
conjunctions,major,-0.004085368014921243
conjunctions,minor,0.032051282051282035
impersonal_pronouns,intermediate,-0.033648945766749205
impersonal_pronouns,major,-0.007706540608173668
impersonal_pronouns,minor,-0.033333333333333326
negations,intermediate,0.04959354606227356
negations,major,0.03171818893596163
negations,minor,-0.021794871794871773
personal_pronouns,intermediate,-0.0024438306791247895
personal_pronouns,major,0.0026868250436058237
personal_pronouns,minor,0.0
prepositions,intermediate,-0.0016917817118045917
prepositions,major,-0.007360253133177888
prepositions,minor,0.042857142857142864
quantifiers,intermediate,0.02910614115049436
quantifiers,major,0.012254897719058515
quantifiers,minor,0.04410256410256412
