a_speaker,b_speaker,w_ab,w_ba
Anne Steele,Elinor,0.014336917562724,0.0228571428571428
Anne Steele,Lucy Steele,-0.0057142857142856,-0.0227272727272727
Charlotte,Elinor,0.0474358974358974,0.044776119402985
Charlotte,Mr. Palmer,0.0185185185185185,-0.0095238095238095
Colonel Brandon,Elinor,0.0081081081081081,-0.016589861751152
Colonel Brandon,Mrs. Jennings,1.2810265668751808e-17,-0.0163398692810457
Edward Ferrars,Elinor,0.0145658263305321,2.503444075135157e-17
Edward Ferrars,Marianne,-0.0008960573476702,0.0043010752688172
Edward Ferrars,Mrs. Dashwood,0.0108108108108108,-0.0059523809523809
Elinor,Anne Steele,0.0228571428571428,0.014336917562724
Elinor,Charlotte,0.044776119402985,0.0474358974358974
Elinor,Colonel Brandon,-0.016589861751152,0.0081081081081081
Elinor,Edward Ferrars,2.503444075135157e-17,0.0145658263305321
Elinor,John Dashwood,0.0123809523809523,-0.0012055455093429
Elinor,Lucy Steele,0.0158749692345557,0.0074438970990695
Elinor,Marianne,-0.0106049650518197,-0.0076882290562036
Elinor,Mr. Willoughby,0.0141771682727946,0.0023148148148148
Elinor,Mrs. Dashwood,0.0138554216867469,0.014751552795031
Elinor,Mrs. Jennings,-0.0321583178726036,-0.0047281323877068
Fanny,John Dashwood,-0.0234082397003745,-0.0232371794871795
John Dashwood,Elinor,-0.0012055455093429,0.0123809523809523
John Dashwood,Fanny,-0.0232371794871795,-0.0234082397003745
John Dashwood,Mrs. Jennings,0.0714285714285714,-0.0079365079365079
John Middleton,Marianne,-0.0227272727272727,-0.0235294117647059
John Middleton,Mrs. Dashwood,0.0,0.0
John Middleton,Mrs. Jennings,0.0,0.0
Lucy Steele,Anne Steele,-0.0227272727272727,-0.0057142857142856
Lucy Steele,Elinor,0.0074438970990695,0.0158749692345557
Margaret,Marianne,0.0,0.0
Marianne,Edward Ferrars,0.0043010752688172,-0.0008960573476702
Marianne,Elinor,-0.0076882290562036,-0.0106049650518197
Marianne,John Middleton,-0.0235294117647059,-0.0227272727272727
Marianne,Margaret,0.0,0.0
Marianne,Mr. Willoughby,0.0,-0.019047619047619
Marianne,Mrs. Dashwood,-0.0189873417721519,0.0133037694013303
Mr. Palmer,Charlotte,-0.0095238095238095,0.0185185185185185
Mr. Willoughby,Elinor,0.0023148148148148,0.0141771682727946
Mr. Willoughby,Marianne,-0.019047619047619,0.0
Mr. Willoughby,Mrs. Dashwood,0.0161290322580645,-0.0277777777777777
Mrs. Dashwood,Edward Ferrars,-0.0059523809523809,0.0108108108108108
Mrs. Dashwood,Elinor,0.014751552795031,0.0138554216867469
Mrs. Dashwood,John Middleton,0.0,0.0
Mrs. Dashwood,Marianne,0.0133037694013303,-0.0189873417721519
Mrs. Dashwood,Mr. Willoughby,-0.0277777777777777,0.0161290322580645
Mrs. Dashwood,Thomas,0.0148305084745762,0.0280612244897959
Mrs. Jennings,Colonel Brandon,-0.0163398692810457,1.2810265668751808e-17
Mrs. Jennings,Elinor,-0.0047281323877068,-0.0321583178726036
Mrs. Jennings,John Dashwood,-0.0079365079365079,0.0714285714285714
Mrs. Jennings,John Middleton,0.0,0.0
Thomas,Mrs. Dashwood,0.0280612244897959,0.0148305084745762
