A,B,i_merge_id,j_merge_id,i_text,j_text,i_addressees,A_gender,A_category,B_gender,B_category
John Dashwood,Fanny,0,1,it was my father s last request to me that i should assist his widow and daughters,he did not know what he was talking of i dare say ten to one but he was light headed at the time had he been in his right senses he could not have thought of such a thing as begging you to give away half your fortune from your own child,Fanny,M,intermediate,F,minor
Fanny,John Dashwood,1,2,he did not know what he was talking of i dare say ten to one but he was light headed at the time had he been in his right senses he could not have thought of such a thing as begging you to give away half your fortune from your own child,he did not stipulate for any particular sum my dear fanny he only requested me in general terms to assist them and make their situation more comfortable than it was in his power to do perhaps it would have been as well if he had left it wholly to myself he could hardly suppose i should neglect them but as he required the promise i could not do less than give it at least i thought so at the time the promise therefore was given and must be performed something must be done for them whenever they leave norland and settle in a new home,John Dashwood,F,minor,M,intermediate
John Dashwood,Fanny,2,3,he did not stipulate for any particular sum my dear fanny he only requested me in general terms to assist them and make their situation more comfortable than it was in his power to do perhaps it would have been as well if he had left it wholly to myself he could hardly suppose i should neglect them but as he required the promise i could not do less than give it at least i thought so at the time the promise therefore was given and must be performed something must be done for them whenever they leave norland and settle in a new home,well then let something be done for them but that something need not be three thousand pounds consider that when the money is once parted with it never can return your sisters will marry and it will be gone for ever if indeed it could be restored to our poor little boy,Fanny,M,intermediate,F,minor
Fanny,John Dashwood,3,4,well then let something be done for them but that something need not be three thousand pounds consider that when the money is once parted with it never can return your sisters will marry and it will be gone for ever if indeed it could be restored to our poor little boy,why to be sure that would make great difference the time may come when harry will regret that so large a sum was parted with if he should have a numerous family for instance it would be a very convenient addition,John Dashwood,F,minor,M,intermediate
John Dashwood,Fanny,4,5,why to be sure that would make great difference the time may come when harry will regret that so large a sum was parted with if he should have a numerous family for instance it would be a very convenient addition,to be sure it would,Fanny,M,intermediate,F,minor
Fanny,John Dashwood,5,6,to be sure it would,perhaps then it would be better for all parties if the sum were diminished one half five hundred pounds would be a prodigious increase to their fortunes,John Dashwood,F,minor,M,intermediate
John Dashwood,Fanny,6,7,perhaps then it would be better for all parties if the sum were diminished one half five hundred pounds would be a prodigious increase to their fortunes,oh beyond anything great what brother on earth would do half so much for his sisters even if really his sisters and as it is only half blood but you have such a generous spirit,Fanny,M,intermediate,F,minor
Fanny,John Dashwood,7,8,oh beyond anything great what brother on earth would do half so much for his sisters even if really his sisters and as it is only half blood but you have such a generous spirit,i would not wish to do any thing mean one had rather on such occasions do too much than too little no one at least can think i have not done enough for them even themselves they can hardly expect more,John Dashwood,F,minor,M,intermediate
John Dashwood,Fanny,8,9,i would not wish to do any thing mean one had rather on such occasions do too much than too little no one at least can think i have not done enough for them even themselves they can hardly expect more,there is no knowing what they may expect but we are not to think of their expectations the question is what you can afford to do,Fanny,M,intermediate,F,minor
Fanny,John Dashwood,9,10,there is no knowing what they may expect but we are not to think of their expectations the question is what you can afford to do,certainly and i think i may afford to give them five hundred pounds a piece as it is without any addition of mine they will each have about three thousand pounds on their mother s death a very comfortable fortune for any young woman,John Dashwood,F,minor,M,intermediate
John Dashwood,Fanny,10,11,certainly and i think i may afford to give them five hundred pounds a piece as it is without any addition of mine they will each have about three thousand pounds on their mother s death a very comfortable fortune for any young woman,to be sure it is and indeed it strikes me that they can want no addition at all they will have ten thousand pounds divided amongst them if they marry they will be sure of doing well and if they do not they may all live very comfortably together on the interest of ten thousand pounds,Fanny,M,intermediate,F,minor
Fanny,John Dashwood,11,12,to be sure it is and indeed it strikes me that they can want no addition at all they will have ten thousand pounds divided amongst them if they marry they will be sure of doing well and if they do not they may all live very comfortably together on the interest of ten thousand pounds,that is very true and therefore i do not know whether upon the whole it would not be more advisable to do something for their mother while she lives rather than for them something of the annuity kind i mean my sisters would feel the good effects of it as well as herself a hundred a year would make them all perfectly comfortable,John Dashwood,F,minor,M,intermediate
John Dashwood,Fanny,12,13,that is very true and therefore i do not know whether upon the whole it would not be more advisable to do something for their mother while she lives rather than for them something of the annuity kind i mean my sisters would feel the good effects of it as well as herself a hundred a year would make them all perfectly comfortable,to be sure it is better than parting with fifteen hundred pounds at once but then if mrs dashwood should live fifteen years we shall be completely taken in,Fanny,M,intermediate,F,minor
Fanny,John Dashwood,13,14,to be sure it is better than parting with fifteen hundred pounds at once but then if mrs dashwood should live fifteen years we shall be completely taken in,fifteen years my dear fanny her life cannot be worth half that purchase,John Dashwood,F,minor,M,intermediate
John Dashwood,Fanny,14,15,fifteen years my dear fanny her life cannot be worth half that purchase,certainly not but if you observe people always live for ever when there is an annuity to be paid them and she is very stout and healthy and hardly forty an annuity is a very serious business it comes over and over every year and there is no getting rid of it you are not aware of what you are doing i have known a great deal of the trouble of annuities for my mother was clogged with the payment of three to old superannuated servants by my father s will and it is amazing how disagreeable she found it twice every year these annuities were to be paid and then there was the trouble of getting it to them and then one of them was said to have died and afterwards it turned out to be no such thing my mother was quite sick of it her income was not her own she said with such perpetual claims on it and it was the more unkind in my father because otherwise the money would have been entirely at my mother s disposal without any restriction whatever it has given me such an abhorrence of annuities that i am sure i would not pin myself down to the payment of one for all the world,Fanny,M,intermediate,F,minor
