a_speaker,b_speaker,n_features,n_pairs,n_triggers_total,mean_conv,mean_conv_w,a_gender,a_category,b_gender,b_category
Admiral,Captain Wentworth,6.0,2.0,12.0,0.0,0.0,,,M,major
Admiral Croft,Anne Elliot,9.0,9.0,75.0,-0.0003086419753086347,-0.0029629629629629576,M,intermediate,F,major
Admiral Croft,Sophia Croft,8.0,2.0,16.0,0.0,0.0,M,intermediate,F,minor
Anne Elliot,Admiral Croft,9.0,8.0,47.0,0.024074074074074074,0.018617021276595747,F,major,M,intermediate
Anne Elliot,Captain Harville,8.0,10.0,65.0,-0.011309523809523825,-0.012307692307692323,F,major,M,intermediate
Anne Elliot,Captain Wentworth,8.0,16.0,79.0,0.010473033910533905,0.01582278481012657,F,major,M,major
Anne Elliot,Charles Musgrove,8.0,5.0,35.0,0.02708333333333332,0.017142857142857133,F,major,M,intermediate
Anne Elliot,Elizabeth,1.0,2.0,2.0,0.0,0.0,F,major,F,minor
Anne Elliot,Mary,8.0,12.0,75.0,-0.04583333333333332,-0.02888888888888887,F,major,,
Anne Elliot,Mrs Musgrove,5.0,2.0,10.0,0.0,0.0,F,major,F,intermediate
Anne Elliot,Mrs Smith,9.0,33.0,210.0,0.042614568737757125,0.03722943722943721,F,major,F,intermediate
Anne Elliot,Sir Walter Elliot,7.0,8.0,36.0,0.04608843537414969,0.04166666666666669,F,major,M,intermediate
Anne Elliot,William Walter Elliot,8.0,7.0,43.0,0.014285714285714318,-0.006644518272425218,F,major,M,minor
Anne Steele,Elinor,8.0,9.0,64.0,0.010912698412698416,0.01041666666666667,F,intermediate,F,major
Anne Steele,Lucy Steele,6.0,7.0,34.0,0.02103174603174605,0.01680672268907565,F,intermediate,F,intermediate
Anne Steele,Mrs. Jennings,5.0,2.0,10.0,0.0,0.0,F,intermediate,F,intermediate
Captain Harville,Anne Elliot,8.0,10.0,62.0,0.043650793650793634,0.03870967741935482,M,intermediate,F,major
Captain Wentworth,Admiral,6.0,2.0,12.0,0.0,0.0,M,major,,
Captain Wentworth,Anne Elliot,8.0,18.0,99.0,0.04255907491201611,0.044332210998877686,M,major,F,major
Captain Wentworth,Captain Harville,1.0,2.0,2.0,0.0,0.0,M,major,M,intermediate
Captain Wentworth,Louisa Musgrove,7.0,5.0,27.0,0.05952380952380952,0.029629629629629624,M,major,F,minor
Captain Wentworth,Mrs Croft,6.0,5.0,27.0,0.0,0.0,M,major,,
Captain Wentworth,Mrs Musgrove,7.0,4.0,27.0,-0.01190476190476191,-0.009259259259259264,M,major,F,intermediate
Catherine Morland,Eleanor Tilney,8.0,32.0,182.0,0.07724854962447926,0.0673076923076923,F,major,F,intermediate
Catherine Morland,General Tilney,6.0,6.0,30.0,-0.002777777777777768,1.1102230246251566e-17,F,major,M,minor
Catherine Morland,Henry Tilney,9.0,105.0,562.0,0.02655978697090536,0.022453821386205733,F,major,M,major
Catherine Morland,Isabella Thorpe,8.0,52.0,277.0,-0.02791539734500298,-0.014787559011385724,F,major,F,major
Catherine Morland,James Morland,7.0,7.0,32.0,-0.09013605442176871,-0.07589285714285714,F,major,M,minor
Catherine Morland,John Thorpe,8.0,54.0,241.0,0.03666647210066308,0.03188873520823727,F,major,M,intermediate
Catherine Morland,Mr. Allen,6.0,2.0,12.0,0.0,0.0,F,major,M,minor
Catherine Morland,Mrs. Allen,8.0,32.0,154.0,-0.02839344070961719,-0.022930194805194815,F,major,F,intermediate
Catherine Morland,Mrs. Morland,4.0,3.0,9.0,0.0,0.0,F,major,F,minor
Charles Musgrove,Anne Elliot,7.0,4.0,24.0,0.03571428571428571,0.03125,M,intermediate,F,major
Charles Musgrove,Captain Wentworth,2.0,2.0,4.0,0.0,0.0,M,intermediate,M,major
Charles Musgrove,Mary,8.0,3.0,24.0,0.0,0.0,M,intermediate,,
Charles Musgrove,Mary Musgrove,8.0,6.0,44.0,-0.02291666666666667,-0.01893939393939394,M,intermediate,F,intermediate
Charles Musgrove,Mrs Musgrove,5.0,2.0,10.0,0.0,0.0,M,intermediate,F,intermediate
Charlotte,Elinor,8.0,10.0,68.0,0.023611111111111097,0.013235294117647045,F,intermediate,F,major
Charlotte,Marianne,6.0,2.0,12.0,0.0,0.0,F,intermediate,F,major
Charlotte,Mr. Palmer,6.0,6.0,32.0,-0.016666666666666653,-0.015624999999999988,F,intermediate,M,minor
Charlotte Lucas,Elizabeth,8.0,14.0,89.0,0.02474608724608724,0.026484751203852325,F,intermediate,F,major
Charlotte Lucas,Mrs. Bennet,7.0,4.0,24.0,0.05952380952380952,0.052083333333333336,F,intermediate,F,major
Colonel Brandon,Elinor,8.0,20.0,129.0,0.014507204396910292,0.01511627906976745,M,intermediate,F,major
Colonel Brandon,John Middleton,3.0,2.0,6.0,0.0,0.0,M,intermediate,M,intermediate
Colonel Brandon,Mrs. Jennings,7.0,9.0,45.0,0.09274376417233561,0.06419753086419754,M,intermediate,F,intermediate
Colonel Fitzwilliam,Elizabeth,8.0,15.0,97.0,-0.027601565101565105,-0.031615120274914095,M,intermediate,F,major
Edmund,Fanny Price,9.0,93.0,659.0,0.018697439565744024,0.01723040775368348,M,major,F,major
Edmund,Henry Crawford,7.0,8.0,47.0,-0.02261904761904762,-0.02127659574468085,M,major,M,major
Edmund,Julia Bertram,7.0,2.0,14.0,0.0,0.0,M,major,F,intermediate
Edmund,Lady Bertram,8.0,11.0,64.0,-0.01103896103896105,-0.015625000000000014,M,major,F,intermediate
Edmund,Maria Bertram,7.0,6.0,27.0,0.10714285714285712,0.08641975308641972,M,major,F,intermediate
Edmund,Mary Crawford,9.0,47.0,295.0,0.02537390795410092,0.019329246303642262,M,major,F,major
Edmund,Mrs. Grant,6.0,2.0,12.0,0.0,0.0,M,major,F,intermediate
Edmund,Mrs. Norris,6.0,6.0,22.0,0.013888888888888895,0.015151515151515159,M,major,F,intermediate
Edmund,Sir Thomas,7.0,2.0,14.0,0.0,0.0,M,major,M,intermediate
Edmund,Tom Bertram,8.0,8.0,52.0,0.0662202380952381,0.057692307692307696,M,major,M,intermediate
Edward Ferrars,Elinor,8.0,15.0,91.0,0.08219558219558218,0.07106227106227103,M,intermediate,F,major
Edward Ferrars,Marianne,8.0,19.0,96.0,0.0875618189859676,0.07291666666666667,M,intermediate,F,major
Edward Ferrars,Mrs. Dashwood,7.0,5.0,30.0,0.009523809523809506,-1.1102230246251566e-17,M,intermediate,F,intermediate
Eleanor Tilney,Catherine Morland,9.0,38.0,207.0,0.038764742946029475,0.0017798118484617118,F,intermediate,F,major
