a_speaker,b_speaker,n_features,n_pairs,n_triggers_total,mean_conv,mean_conv_w,a_gender,a_category,b_gender,b_category
Admiral,Captain Wentworth,6.0,2.0,12.0,0.0,0.0,,,M,major
Admiral Croft,Anne Elliot,9.0,9.0,75.0,0.013580246913580254,0.010370370370370375,M,intermediate,F,major
Admiral Croft,Sophia Croft,8.0,2.0,16.0,0.0,0.0,M,intermediate,F,minor
Anne Elliot,Admiral Croft,8.0,8.0,44.0,0.010416666666666671,0.008522727272727277,F,major,M,intermediate
Anne Elliot,Captain Harville,8.0,10.0,65.0,0.01994047619047619,0.018461538461538456,F,major,M,intermediate
Anne Elliot,Captain Wentworth,8.0,16.0,79.0,-0.006089917027417041,0.0031645569620252995,F,major,M,major
Anne Elliot,Charles Musgrove,8.0,5.0,35.0,0.02708333333333332,0.017142857142857133,F,major,M,intermediate
Anne Elliot,Elizabeth,1.0,2.0,2.0,0.0,0.0,F,major,F,minor
Anne Elliot,Mary,8.0,12.0,75.0,2.7755575615628914e-17,-0.002222222222222195,F,major,,
Anne Elliot,Mrs Musgrove,5.0,2.0,10.0,0.0,0.0,F,major,F,intermediate
Anne Elliot,Mrs Smith,9.0,33.0,210.0,-0.013756491763738159,-0.024675324675324697,F,major,F,intermediate
Anne Elliot,Sir Walter Elliot,7.0,8.0,36.0,-0.0991496598639456,-0.09722222222222224,F,major,M,intermediate
Anne Elliot,William Walter Elliot,8.0,7.0,43.0,0.014285714285714318,-0.006644518272425218,F,major,M,minor
Anne Steele,Elinor,8.0,9.0,64.0,-0.022569444444444448,-0.020833333333333336,F,intermediate,F,major
Anne Steele,Lucy Steele,7.0,7.0,38.0,0.0068027210884353895,-0.0037593984962405852,F,intermediate,F,intermediate
Anne Steele,Mrs. Jennings,5.0,2.0,10.0,0.0,0.0,F,intermediate,F,intermediate
Captain Harville,Anne Elliot,8.0,10.0,62.0,-0.033730158730158735,-0.025806451612903233,M,intermediate,F,major
Captain Wentworth,Admiral,6.0,2.0,12.0,0.0,0.0,M,major,,
Captain Wentworth,Anne Elliot,8.0,18.0,99.0,-0.04869550384256265,-0.04657687991021322,M,major,F,major
Captain Wentworth,Captain Harville,1.0,2.0,2.0,0.0,0.0,M,major,M,intermediate
Captain Wentworth,Louisa Musgrove,5.0,5.0,22.0,-0.010000000000000009,-0.0090909090909091,M,major,F,minor
Captain Wentworth,Mrs Croft,7.0,5.0,31.0,0.014285714285714282,0.01290322580645161,M,major,,
Captain Wentworth,Mrs Musgrove,8.0,4.0,30.0,0.05208333333333333,0.041666666666666664,M,major,F,intermediate
Catherine Morland,Eleanor Tilney,8.0,32.0,182.0,-0.02099771783803534,-0.015109890109890105,F,major,F,intermediate
Catherine Morland,General Tilney,7.0,6.0,35.0,-0.021428571428571425,-0.019047619047619042,F,major,M,minor
Catherine Morland,Henry Tilney,9.0,105.0,562.0,-0.005046634614963106,-0.004236570072869021,F,major,M,major
Catherine Morland,Isabella Thorpe,9.0,52.0,285.0,0.012953176237971228,0.007219973009446699,F,major,F,major
Catherine Morland,James Morland,7.0,7.0,32.0,-0.09013605442176871,-0.07589285714285714,F,major,M,minor
Catherine Morland,John Thorpe,8.0,54.0,241.0,-0.006306203618023268,-0.0054556631320116815,F,major,M,intermediate
Catherine Morland,Mr. Allen,6.0,2.0,12.0,0.0,0.0,F,major,M,minor
Catherine Morland,Mrs. Allen,8.0,32.0,154.0,-0.00778186274509806,-0.003449675324675345,F,major,F,intermediate
Catherine Morland,Mrs. Morland,4.0,3.0,9.0,0.0,0.0,F,major,F,minor
Charles Musgrove,Anne Elliot,8.0,4.0,26.0,0.02083333333333333,0.00961538461538461,M,intermediate,F,major
Charles Musgrove,Captain Wentworth,2.0,2.0,4.0,0.0,0.0,M,intermediate,M,major
Charles Musgrove,Mary,8.0,3.0,24.0,0.0,0.0,M,intermediate,,
Charles Musgrove,Mary Musgrove,8.0,6.0,44.0,0.033333333333333326,0.026515151515151512,M,intermediate,F,intermediate
Charles Musgrove,Mrs Musgrove,5.0,2.0,10.0,0.0,0.0,M,intermediate,F,intermediate
Charlotte,Elinor,8.0,10.0,68.0,0.02361111111111111,0.013235294117647059,F,intermediate,F,major
Charlotte,Marianne,6.0,2.0,12.0,0.0,0.0,F,intermediate,F,major
Charlotte,Mr. Palmer,6.0,6.0,31.0,0.005555555555555554,0.005376344086021504,F,intermediate,M,minor
Charlotte Lucas,Elizabeth,8.0,14.0,89.0,-0.034281690531690515,-0.029695024077046533,F,intermediate,F,major
Charlotte Lucas,Mrs. Bennet,6.0,4.0,21.0,-0.013888888888888895,-0.01190476190476191,F,intermediate,F,major
Colonel Brandon,Elinor,8.0,20.0,129.0,0.007613822043969112,0.007364341085271329,M,intermediate,F,major
Colonel Brandon,John Middleton,3.0,2.0,6.0,0.0,0.0,M,intermediate,M,intermediate
Colonel Brandon,Mrs. Jennings,6.0,9.0,42.0,-0.0029100529100529182,-0.0026455026455026545,M,intermediate,F,intermediate
Colonel Fitzwilliam,Elizabeth,8.0,15.0,97.0,0.004595404595404591,-0.0006872852233677009,M,intermediate,F,major
Edmund,Fanny Price,9.0,93.0,659.0,-0.013473740168726855,-0.008566253854814253,M,major,F,major
Edmund,Henry Crawford,9.0,8.0,52.0,0.07037037037037036,0.012019230769230766,M,major,M,major
Edmund,Julia Bertram,7.0,2.0,14.0,0.0,0.0,M,major,F,intermediate
Edmund,Lady Bertram,8.0,11.0,64.0,-0.01103896103896105,-0.015625000000000014,M,major,F,intermediate
Edmund,Maria Bertram,7.0,6.0,27.0,0.04285714285714285,0.012345679012345664,M,major,F,intermediate
Edmund,Mary Crawford,8.0,47.0,290.0,-0.011475402913768862,-0.008217168011738819,M,major,F,major
Edmund,Mrs. Grant,6.0,2.0,12.0,0.0,0.0,M,major,F,intermediate
Edmund,Mrs. Norris,6.0,6.0,22.0,0.013888888888888895,0.015151515151515159,M,major,F,intermediate
Edmund,Sir Thomas,7.0,2.0,14.0,0.0,0.0,M,major,M,intermediate
Edmund,Tom Bertram,8.0,8.0,52.0,0.027529761904761904,0.01923076923076923,M,major,M,intermediate
Edward Ferrars,Elinor,8.0,15.0,91.0,0.005554168054168043,0.005128205128205113,M,intermediate,F,major
Edward Ferrars,Marianne,7.0,19.0,84.0,0.005168574606876245,-0.005639097744360905,M,intermediate,F,major
Edward Ferrars,Mrs. Dashwood,8.0,5.0,33.0,0.08333333333333331,0.054545454545454536,M,intermediate,F,intermediate
Eleanor Tilney,Catherine Morland,8.0,38.0,203.0,0.01988758195995037,0.019704433497536936,F,intermediate,F,major
Eleanor Tilney,Henry Tilney,7.0,7.0,44.0,-0.020408163265306114,-0.019480519480519473,F,intermediate,M,major
Elinor,Anne Steele,8.0,10.0,62.0,0.01026785714285712,0.009677419354838688,F,major,F,intermediate
Elinor,Charlotte,7.0,10.0,43.0,-0.023979591836734704,-0.02093023255813955,F,major,F,intermediate
Elinor,Colonel Brandon,8.0,21.0,116.0,-0.03503701159951157,-0.02709359605911327,F,major,M,intermediate
Elinor,Edward Ferrars,8.0,17.0,96.0,-0.006162862872421682,-0.006740196078431355,F,major,M,intermediate
Elinor,John Dashwood,8.0,21.0,100.0,-0.03072240259740258,-0.02095238095238093,F,major,M,intermediate
Elinor,John Middleton,2.0,2.0,4.0,0.0,0.0,F,major,M,intermediate
Elinor,Lucy Steele,8.0,35.0,183.0,-0.024226470368711728,-0.021077283372365314,F,major,F,intermediate
Elinor,Margaret,6.0,3.0,18.0,0.0,0.0,F,major,F,minor
Elinor,Marianne,8.0,64.0,371.0,0.0064180231841164115,0.0016425202156334184,F,major,F,major
Elinor,Mr. Willoughby,8.0,38.0,208.0,-0.01962467846008395,-0.0036690283400809703,F,major,M,intermediate
Elinor,Mrs. Dashwood,8.0,20.0,120.0,-0.039689066416040086,-0.03291666666666666,F,major,F,intermediate
Elinor,Mrs. Jennings,9.0,23.0,123.0,0.06205285904774396,0.008837044892188048,F,major,F,intermediate
