character,community_id
The Waiter,0
Mrs Smith,0
Mary,0
Mrs Croft,0
Mr Shepherd,0
Jane,0
Mary Musgrove,0
Captain Harville,0
Kitty,0
Mr. Collins,0
Anne Elliot,0
Mrs. Reynolds,0
Sir Walter Elliot,0
Admiral Croft,0
Lydia,0
Maria,0
Charles Musgrove,0
Mrs. Bennet,0
Elizabeth,0
William Walter Elliot,0
Mr. Bennet,0
Louisa Musgrove,0
George Wickham,0
Mrs Musgrove,0
Colonel Fitzwilliam,0
Mrs Clay,0
Lady Catherine De Bourgh,0
Charlotte Lucas,0
Captain Wentworth,0
Mr. Gardiner,0
Lady Russell,0
Admiral,0
Mrs. Gardiner,0
Sophia Croft,0
Elinor,1
Thomas,1
John Dashwood,1
Mr. Willoughby,1
Fanny,1
Lucy Steele,1
Charlotte,1
Colonel Brandon,1
Edward Ferrars,1
Mr. Palmer,1
Lady Middleton,1
Anne Steele,1
Mrs. Jennings,1
John Middleton,1
Mrs. Dashwood,1
Marianne,1
Margaret,1
Tom Bertram,2
Fanny Price,2
Edmund,2
Mary Crawford,2
Mr. Rushworth,2
Sir Thomas,2
Mrs. Norris,2
Dr. Grant,2
Julia Bertram,2
Lady Bertram,2
_unknowable,2
Mrs. Grant,2
Henry Crawford,2
Mrs. Rushworth,2
William Price,2
Mr. Yates,2
Maria Bertram,2
Mr. John Knightley,3
Mrs. Ford,3
Mrs. Elton,3
Miss Bates,3
Mrs. Weston,3
Mr. Elton,3
Mr. Knightley,3
Jane Fairfax,3
Mr. Weston,3
Mr. Woodhouse,3
Isabella,3
Harriet Smith,3
Emma,3
Mr. Frank Churchill,3
Frederick Tilney,4
James Morland,4
General Tilney,4
Mrs. Allen,4
Catherine Morland,4
Sarah,4
Mr. Allen,4
John Thorpe,4
Mrs. Thorpe,4
Mrs. Morland,4
Isabella Thorpe,4
Henry Tilney,4
Eleanor Tilney,4
Mr. Hurst,5
Mrs. Hurst,5
Mr. Darcy,5
Mr. Bingley,5
Sir William Lucas,5
Miss Bingley,5
