a_speaker,b_speaker,w_ab,w_ba
Admiral,Captain Wentworth,0.0,0.0
Admiral Croft,Anne Elliot,-0.0029629629629629,0.0186170212765957
Admiral Croft,Sophia Croft,0.0,0.0
Anne Elliot,Admiral Croft,0.0186170212765957,-0.0029629629629629
Anne Elliot,Captain Harville,-0.0123076923076923,0.0387096774193548
Anne Elliot,Captain Wentworth,0.0158227848101265,0.0443322109988776
Anne Elliot,Charles Musgrove,0.0171428571428571,0.03125
Anne Elliot,Elizabeth,0.0,0.0714285714285714
Anne Elliot,Mary,-0.0288888888888888,0.0086206896551724
Anne Elliot,Mrs Musgrove,0.0,0.0606060606060606
Anne Elliot,Mrs Smith,0.0372294372294372,0.0144648023143683
Anne Elliot,Sir Walter Elliot,0.0416666666666666,0.0126050420168067
Anne Elliot,William Walter Elliot,-0.0066445182724252,-0.03125
Anne Steele,Elinor,0.0104166666666666,-0.0225806451612903
Anne Steele,Lucy Steele,0.0168067226890756,-0.0138888888888888
Anne Steele,Mrs. Jennings,0.0,0.0
Captain Harville,Anne Elliot,0.0387096774193548,-0.0123076923076923
Captain Wentworth,Admiral,0.0,0.0
Captain Wentworth,Anne Elliot,0.0443322109988776,0.0158227848101265
Captain Wentworth,Louisa Musgrove,0.0296296296296296,-0.0185185185185185
Captain Wentworth,Mrs Croft,0.0,0.0636363636363636
Catherine Morland,Eleanor Tilney,0.0673076923076923,0.0017798118484617
Catherine Morland,General Tilney,1.1102230246251566e-17,0.0046296296296296
Catherine Morland,Henry Tilney,0.0224538213862057,0.0264133382544089
Catherine Morland,Isabella Thorpe,-0.0147875590113857,-0.0120640584512127
Catherine Morland,James Morland,-0.0758928571428571,0.0146520146520146
Catherine Morland,John Thorpe,0.0318887352082372,0.019605142332415
Catherine Morland,Mr. Allen,0.0,0.0952380952380952
Catherine Morland,Mrs. Allen,-0.0229301948051948,0.0225806451612903
Catherine Morland,Mrs. Morland,0.0,0.0476190476190476
Charles Musgrove,Anne Elliot,0.03125,0.0171428571428571
Charles Musgrove,Mary,0.0,0.0
Charles Musgrove,Mary Musgrove,-0.0189393939393939,0.1025641025641025
Charles Musgrove,Mrs Musgrove,0.0,0.0
Charlotte,Elinor,0.013235294117647,-0.008695652173913
Charlotte,Mr. Palmer,-0.0156249999999999,0.0166666666666666
Charlotte Lucas,Elizabeth,0.0264847512038523,0.0166666666666666
Charlotte Lucas,Mrs. Bennet,0.0520833333333333,0.023076923076923
Colonel Brandon,Elinor,0.0151162790697674,0.0073891625615763
Colonel Brandon,John Middleton,0.0,0.0666666666666666
Colonel Brandon,Mrs. Jennings,0.0641975308641975,-0.0227920227920227
Colonel Fitzwilliam,Elizabeth,-0.031615120274914,-0.0177777777777778
Edmund,Fanny Price,0.0172304077536834,0.0232898217242639
Edmund,Henry Crawford,-0.0212765957446808,-0.0162162162162162
Edmund,Julia Bertram,0.0,0.0
