pair,adverbs,articles,auxiliary_verbs,conjunctions,impersonal_pronouns,negations,personal_pronouns,prepositions,quantifiers
Catherine Morland→Henry Tilney,-0.0277275467148884,0.0142857142857143,0.006423034330011,0.0836438923395445,0.0736924277907884,0.0481203007518796,0.0033794162826421,-0.0030721966205837,0.0402930402930403
Edmund→Fanny Price,0.0554177005789908,0.0597849462365591,0.0015884652981427,-0.00524521374246,-0.0094086021505376,0.0005659309564232,-0.0011687704534829,0.0352524840070777,0.031490015360983
Harriet Smith→Emma,0.0095238095238094,0.014313725490196,0.0088888888888888,0.02,-0.0458227848101265,-0.0444444444444444,-0.0122727272727273,-0.0064705882352941,-0.045
Henry Tilney→Catherine Morland,0.0496335347820496,-0.0036775106082036,0.0169274992015331,0.0341323606044815,0.0524604699275896,0.0188590287600188,0.0031971947194719,0.0356435643564356,0.0686881188118812
Fanny Price→Edmund,0.0365118752215526,0.0848351648351648,0.0259340659340658,0.0427541208791208,0.0056980056980057,0.0293040293040293,-0.0013566680233347,0.0021978021978023,-0.063003663003663
Mary Crawford→Edmund,0.0154545454545453,0.0536585365853657,-0.0012244897959182,0.0327272727272727,-0.0057142857142856,0.0517241379310344,-0.0008163265306122,0.0022222222222222,0.005
Mrs Smith→Anne Elliot,0.0459558823529411,0.0223123732251521,-0.0018382352941176,-0.0019607843137255,0.0021008403361344,-0.0619195046439629,0.0,0.0730223123732252,0.0441176470588235
Mr. Knightley→Emma,0.0391508133443616,-0.0275171982489055,0.0101936799184506,0.0094562647754137,0.0369451337193272,0.031111111111111,-0.0017993702204228,0.0110553697510219,0.0279720279720279
Mary Crawford→Fanny Price,-0.0207407407407407,0.0225442834138486,-0.0099715099715099,0.0074074074074074,0.0242165242165242,-0.0158730158730158,0.0,0.0251851851851852,0.0148148148148148
Isabella Thorpe→Catherine Morland,-0.0043859649122807,-0.0530048525569242,-0.0044657097288676,-0.021671826625387,-0.0070921985815602,-0.048582995951417,-0.0012759170653907,-0.0076133730552797,0.1278195488721804
Catherine Morland→John Thorpe,0.0375661375661375,0.0277777777777777,-0.0099052540913006,0.0925925925925925,-0.0185185185185186,0.0833333333333333,0.0232466509062253,0.0572390572390572,
