a_speaker,b_speaker,n_features,n_pairs,n_triggers_total,mean_conv,mean_conv_w,a_gender,a_category,b_gender,b_category
Sir Walter Elliot,Elizabeth,2.0,3.0,4.0,0.3333333333333333,0.3333333333333333,M,intermediate,F,minor
Marianne,Mrs. Jennings,1.0,3.0,2.0,0.3333333333333333,0.3333333333333333,F,major,F,intermediate
Jane Fairfax,Mr. Frank Churchill,6.0,3.0,13.0,0.2222222222222222,0.2051282051282051,F,intermediate,M,major
General Tilney,Eleanor Tilney,6.0,5.0,17.0,0.1999999999999999,0.1764705882352941,M,minor,F,intermediate
Mr Shepherd,Anne Elliot,2.0,3.0,5.0,0.1666666666666666,0.1333333333333333,M,minor,F,major
Henry Crawford,Tom Bertram,8.0,5.0,32.0,0.1458333333333333,0.11875,M,major,M,intermediate
John Middleton,Elinor,5.0,4.0,17.0,0.15,0.1029411764705882,M,intermediate,F,major
Mary Musgrove,Charles Musgrove,8.0,6.0,39.0,0.1208333333333333,0.1025641025641025,F,intermediate,M,intermediate
Mrs. Dashwood,John Middleton,6.0,3.0,14.0,0.1111111111111111,0.0952380952380952,F,intermediate,M,intermediate
Mr. Yates,Tom Bertram,8.0,3.0,21.0,0.125,0.0952380952380952,M,minor,M,intermediate
Mr. Bennet,Kitty,3.0,3.0,7.0,0.1111111111111111,0.0952380952380952,M,intermediate,F,minor
Mr. Allen,Catherine Morland,3.0,3.0,7.0,0.1111111111111111,0.0952380952380952,M,minor,F,major
Fanny Price,Lady Bertram,5.0,5.0,17.0,0.12,0.0941176470588235,F,major,F,intermediate
Mr. Elton,Mrs. Elton,7.0,4.0,24.0,0.1309523809523809,0.09375,M,intermediate,F,intermediate
Edmund,Maria Bertram,7.0,6.0,27.0,0.1071428571428571,0.0864197530864197,M,major,F,intermediate
Mr. John Knightley,Mr. Knightley,8.0,5.0,33.0,0.0958333333333333,0.0848484848484848,M,intermediate,M,major
Henry Tilney,Mrs. Allen,7.0,6.0,28.0,0.0904761904761904,0.0773809523809524,M,major,F,intermediate
Fanny Price,Sir Thomas,7.0,17.0,56.0,0.0721155128718154,0.0735294117647058,F,major,M,intermediate
Edward Ferrars,Marianne,8.0,19.0,96.0,0.0875618189859676,0.0729166666666666,M,intermediate,F,major
Elizabeth,Anne Elliot,3.0,4.0,7.0,0.0833333333333333,0.0714285714285714,F,minor,F,major
