A,B,i_text,j_text,article_i_count,article_j_count,article_i_present,article_j_present,auxverb_i_count,auxverb_j_count,auxverb_i_present,auxverb_j_present,conj_i_count,conj_j_count,conj_i_present,conj_j_present,adverb_i_count,adverb_j_count,adverb_i_present,adverb_j_present,ipron_i_count,ipron_j_count,ipron_i_present,ipron_j_present,negate_i_count,negate_j_count,negate_i_present,negate_j_present,ppron_i_count,ppron_j_count,ppron_i_present,ppron_j_present,prep_i_count,prep_j_count,prep_i_present,prep_j_present,quant_i_count,quant_j_count,quant_i_present,quant_j_present,i_tokens,j_tokens,i_merge_id,j_merge_id,i_addressees,A_gender,A_category,B_gender,B_category
Mr. Woodhouse,Emma,poor miss taylor i wish she were here again what a pity it is that mr weston ever thought of her,i cannot agree with you papa you know i cannot mr weston is such a good humoured pleasant excellent man that he thoroughly deserves a good wife and you would not have had miss taylor live with us for ever and bear all my odd humours when she might have a house of her own,1,3,1,1,2,6,1,1,1,3,1,1,3,3,1,1,3,4,1,1,0,3,0,1,4,10,1,1,1,4,1,1,0,0,0,0,21,57,0,1,Emma,M,intermediate,F,major
Emma,Mr. Woodhouse,i cannot agree with you papa you know i cannot mr weston is such a good humoured pleasant excellent man that he thoroughly deserves a good wife and you would not have had miss taylor live with us for ever and bear all my odd humours when she might have a house of her own,a house of her own but where is the advantage of a house of her own this is three times as large and you have never any odd humours my dear,3,3,1,1,6,2,1,1,3,3,1,1,3,2,1,1,4,3,1,1,3,1,1,1,10,4,1,1,4,3,1,1,0,0,0,0,57,31,1,2,Mr. Woodhouse,F,major,M,intermediate
Mr. Woodhouse,Emma,a house of her own but where is the advantage of a house of her own this is three times as large and you have never any odd humours my dear,how often we shall be going to see them and they coming to see us we shall be always meeting we must begin we must go and pay wedding visit very soon,3,0,1,0,2,6,1,1,3,3,1,1,2,4,1,1,3,0,1,0,1,0,1,0,4,7,1,1,3,0,1,0,0,0,0,0,31,32,2,3,Emma,M,intermediate,F,major
Emma,Mr. Woodhouse,how often we shall be going to see them and they coming to see us we shall be always meeting we must begin we must go and pay wedding visit very soon,my dear how am i to get so far randalls is such a distance i could not walk half so far,0,1,0,1,6,3,1,1,3,1,1,1,4,5,1,1,0,0,0,0,0,1,0,1,7,3,1,1,0,0,0,0,0,0,0,0,32,21,3,4,Mr. Woodhouse,F,major,M,intermediate
Mr. Woodhouse,Emma,my dear how am i to get so far randalls is such a distance i could not walk half so far,no papa nobody thought of your walking we must go in the carriage to be sure,1,1,1,1,3,2,1,1,1,0,1,0,5,0,1,0,0,1,0,1,1,0,1,0,3,2,1,1,0,2,0,1,0,1,0,1,21,16,4,5,Emma,M,intermediate,F,major
Emma,Mr. Woodhouse,no papa nobody thought of your walking we must go in the carriage to be sure,the carriage but james will not like to put the horses to for such a little way and where are the poor horses to be while we are paying our visit,1,4,1,1,2,4,1,1,0,4,0,1,0,0,0,0,1,0,1,0,0,1,0,1,2,2,1,1,2,2,1,1,1,0,1,0,16,31,5,6,Mr. Woodhouse,F,major,M,intermediate
Mr. Woodhouse,Emma,the carriage but james will not like to put the horses to for such a little way and where are the poor horses to be while we are paying our visit,they are to be put into mr weston s stable papa you know we have settled all that already we talked it all over with mr weston last night and as for james you may be very sure he will always like going to randalls because of his daughter s being housemaid there i only doubt whether he will ever take us anywhere else that was your doing papa you got hannah that good place nobody thought of hannah till you mentioned her james is so obliged to you,4,0,1,0,4,10,1,1,4,5,1,1,0,11,0,1,0,8,0,1,1,0,1,0,2,16,1,1,2,8,1,1,0,1,0,1,31,89,6,7,Emma,M,intermediate,F,major
Emma,Mr. Woodhouse,they are to be put into mr weston s stable papa you know we have settled all that already we talked it all over with mr weston last night and as for james you may be very sure he will always like going to randalls because of his daughter s being housemaid there i only doubt whether he will ever take us anywhere else that was your doing papa you got hannah that good place nobody thought of hannah till you mentioned her james is so obliged to you,i am very glad i did think of her it was very lucky for i would not have had poor james think himself slighted upon any account and i am sure she will make a very good servant she is a civil pretty spoken girl i have a great opinion of her whenever i see her she always curtseys and asks me how i do in a very pretty manner and when you have had her here to do needlework i observe she always turns the lock of the door the right way and never bangs it i am sure she will be an excellent servant and it will be a great comfort to poor miss taylor to have somebody about her that she is used to see whenever james goes over to see his daughter you know she will be hearing of us he will be able to tell her how we all are,0,9,0,1,10,20,1,1,5,13,1,1,11,9,1,1,8,20,1,1,0,2,0,1,16,33,1,1,8,8,1,1,1,1,1,1,89,155,7,8,Mr. Woodhouse,F,major,M,intermediate
Mr. Woodhouse,Mr. Knightley,it is very kind of you mr knightley to come out at this late hour to call upon us i am afraid you must have had a shocking walk,not at all sir it is a beautiful moonlight night and so mild that i must draw back from your great fire,1,1,1,1,4,2,1,1,1,2,1,1,2,4,1,1,2,1,1,1,0,1,0,1,5,3,1,1,3,1,1,1,0,0,0,0,29,22,9,10,Emma; Mr. Knightley,M,intermediate,M,major
Mr. Knightley,Mr. Woodhouse,not at all sir it is a beautiful moonlight night and so mild that i must draw back from your great fire,but you must have found it very damp and dirty i wish you may not catch cold,1,0,1,0,2,3,1,1,2,2,1,1,4,1,1,1,1,1,1,1,1,1,1,1,3,4,1,1,1,0,1,0,0,0,0,0,22,17,10,11,Emma; Mr. Woodhouse,M,major,M,intermediate
