a_speaker,b_speaker,w_ab,w_ba
Emma,Harriet Smith,-0.0083624635469978,-0.0074584717607973
Emma,Jane Fairfax,-0.0041928721174004,-0.0018181818181818
Emma,Miss Bates,-0.0033670033670033,0.0172727272727272
Emma,Mr. Elton,0.0237068965517241,0.0347826086956521
Emma,Mr. Frank Churchill,0.0184079295696607,-0.0142028514121537
Emma,Mr. John Knightley,-0.0096711798839458,0.0307692307692307
Emma,Mr. Knightley,0.0239467849223946,0.013670796616533
Emma,Mr. Weston,0.0264550264550264,0.0305584826132771
Emma,Mr. Woodhouse,0.0047393364928909,-0.0043202764976958
Emma,Mrs. Elton,0.0193452380952381,0.0034782608695652
Emma,Mrs. Weston,-0.0173277243589743,0.0115178571428571
Harriet Smith,Emma,-0.0074584717607973,-0.0083624635469978
Isabella,Mr. John Knightley,0.0,0.0
Isabella,Mr. Woodhouse,0.0104166666666666,0.0038819875776397
Jane Fairfax,Emma,-0.0018181818181818,-0.0041928721174004
Jane Fairfax,Miss Bates,-0.0255102040816326,0.0260869565217391
Jane Fairfax,Mr. Frank Churchill,0.2051282051282051,-0.0454545454545454
Jane Fairfax,Mr. John Knightley,0.0212765957446808,-0.0277777777777777
Jane Fairfax,Mrs. Elton,0.017094017094017,0.005177993527508
Miss Bates,Emma,0.0172727272727272,-0.0033670033670033
Miss Bates,Jane Fairfax,0.0260869565217391,-0.0255102040816326
Miss Bates,Mr. Knightley,0.0560064935064935,0.0454545454545454
Mr. Elton,Emma,0.0347826086956521,0.0237068965517241
Mr. Elton,Mr. John Knightley,0.0185185185185185,0.0
Mr. Elton,Mrs. Elton,0.09375,0.0
Mr. Elton,Mrs. Weston,0.0,0.0694444444444444
Mr. Frank Churchill,Emma,-0.0142028514121537,0.0184079295696607
Mr. Frank Churchill,Jane Fairfax,-0.0454545454545454,0.2051282051282051
Mr. Frank Churchill,Mr. Weston,0.0357142857142857,0.0185185185185185
Mr. Frank Churchill,Mr. Woodhouse,0.0,0.0
Mr. Frank Churchill,Mrs. Weston,-0.0092165898617511,-0.0231660231660231
Mr. John Knightley,Emma,0.0307692307692307,-0.0096711798839458
Mr. John Knightley,Isabella,0.0,0.0
Mr. John Knightley,Jane Fairfax,-0.0277777777777777,0.0212765957446808
Mr. John Knightley,Mr. Elton,0.0,0.0185185185185185
Mr. Knightley,Emma,0.013670796616533,0.0239467849223946
Mr. Knightley,Miss Bates,0.0454545454545454,0.0560064935064935
Mr. Knightley,Mr. Woodhouse,-0.0382978723404255,-0.0294396961063627
Mr. Knightley,Mrs. Elton,-0.0230664857530529,-0.0112903225806451
Mr. Knightley,Mrs. Weston,-0.0080246913580246,-0.0196078431372548
Mr. Weston,Emma,0.0305584826132771,0.0264550264550264
Mr. Weston,Mr. Frank Churchill,0.0185185185185185,0.0357142857142857
Mr. Weston,Mr. Woodhouse,0.0,0.0
Mr. Weston,Mrs. Elton,-0.0056179775280898,0.0047225501770956
Mr. Weston,Mrs. Weston,0.008695652173913,-0.0166666666666666
Mr. Woodhouse,Emma,-0.0043202764976958,0.0047393364928909
Mr. Woodhouse,Isabella,0.0038819875776397,0.0104166666666666
Mr. Woodhouse,Mr. Frank Churchill,0.0,0.0
Mr. Woodhouse,Mr. Knightley,-0.0294396961063627,-0.0382978723404255
Mr. Woodhouse,Mr. Weston,0.0,0.0
Mrs. Elton,Emma,0.0034782608695652,0.0193452380952381
Mrs. Elton,Jane Fairfax,0.005177993527508,0.017094017094017
Mrs. Elton,Mr. Elton,0.0,0.09375
Mrs. Elton,Mr. Knightley,-0.0112903225806451,-0.0230664857530529
Mrs. Elton,Mr. Weston,0.0047225501770956,-0.0056179775280898
Mrs. Weston,Emma,0.0115178571428571,-0.0173277243589743
Mrs. Weston,Mr. Elton,0.0694444444444444,0.0
Mrs. Weston,Mr. Frank Churchill,-0.0231660231660231,-0.0092165898617511
Mrs. Weston,Mr. Knightley,-0.0196078431372548,-0.0080246913580246
Mrs. Weston,Mr. Weston,-0.0166666666666666,0.008695652173913
