pair,adverbs,articles,auxiliary_verbs,conjunctions,impersonal_pronouns,negations,personal_pronouns,prepositions,quantifiers
Emma→Harriet Smith,0.003714595263891,-0.0197483675744545,0.0098901098901099,-0.0065934065934065,-0.0275499148738586,0.0356125356125356,-0.0105918178207334,-0.0409196067090803,
Emma→Miss Bates,0.0043290043290042,-0.0346320346320345,-0.0224089635854342,-0.0238095238095237,0.0595238095238095,,-0.0050125313283208,0.0238095238095238,
Emma→Mr. Elton,-0.0124999999999999,0.0817307692307692,0.0,0.0982142857142857,-0.0288461538461538,0.0673076923076922,0.0,0.0,
Emma→Mr. Frank Churchill,0.0398534127347686,0.0587680703959773,-0.0083465818759935,0.0067567567567567,0.0337837837837837,-0.0016380016380016,-0.0039169604386996,0.0002215330084182,
Emma→Mr. John Knightley,,,,,,,-0.009090909090909,,
Emma→Mr. Knightley,0.0495071193866374,0.1412698412698413,0.0012987012987013,-0.0141065830721003,0.0315443592552026,0.0532915360501567,-0.0030891438658429,-0.0196408529741862,
Emma→Mr. Weston,,,0.0,,,,0.0,,
Emma→Mr. Woodhouse,0.0104166666666666,-0.0357142857142857,0.0,-0.0072115384615384,0.0408653846153845,-0.0625,0.0,0.013392857142857,
Emma→Mrs. Elton,0.0,0.0,0.0,-0.0054945054945054,0.0,,0.0,0.0,
Emma→Mrs. Weston,0.0025641025641025,-0.0884173297966401,-0.0006747638326585,-0.0007541478129713,0.0088141025641025,-0.0480769230769231,0.0,-0.0330851943755169,
Harriet Smith→Emma,0.0095238095238094,0.014313725490196,0.0088888888888888,0.02,-0.0458227848101265,-0.0444444444444444,-0.0122727272727273,-0.0064705882352941,-0.045
Isabella→Mr. Woodhouse,0.0,0.0416666666666666,0.0,0.0,-0.0166666666666667,,0.0,0.034090909090909,
Jane Fairfax→Emma,0.0,,,,,,,,
Jane Fairfax→Mrs. Elton,-0.0230769230769231,-0.0230769230769231,0.0,0.0769230769230768,,-0.0559440559440559,0.0,-0.0279720279720279,
Miss Bates→Emma,0.0045454545454546,0.0170454545454545,-0.0181818181818181,-0.0119617224880382,0.0101010101010101,0.0852272727272727,0.0432900432900432,0.0181818181818181,
Miss Bates→Mr. Knightley,0.0549450549450549,0.0,-0.0054945054945054,0.0844155844155843,,,-0.0109890109890109,-0.0164835164835164,
Mr. Elton→Emma,0.0385964912280701,0.0488721804511278,0.0,0.0566801619433198,0.0756578947368421,0.0956937799043062,0.0,-0.0187969924812029,
Mr. Frank Churchill→Emma,-0.0173697270471464,0.0449927431059505,-0.0064102564102564,-0.0499557913351017,-0.0185185185185184,-0.0628205128205127,-0.0043905865823674,-0.0136612021857923,
Mr. John Knightley→Emma,0.0489510489510489,0.1153846153846153,-0.0128205128205127,0.0069930069930069,,,0.0,0.0512820512820512,
Mr. Knightley→Emma,0.0391508133443616,-0.0275171982489055,0.0101936799184506,0.0094562647754137,0.0369451337193272,0.031111111111111,-0.0017993702204228,0.0110553697510219,0.0279720279720279
Mr. Knightley→Mr. Woodhouse,,,,,,,0.0,,
Mr. Knightley→Mrs. Elton,,,0.0,-0.0181818181818181,,,0.0,-0.0181818181818181,
Mr. Knightley→Mrs. Weston,-0.0102564102564102,0.0256410256410256,0.0,0.0499999999999999,-0.0512820512820512,-0.0833333333333332,0.0,0.0,
Mr. Weston→Emma,,,0.0,-0.0615384615384615,0.0076923076923076,,0.0,0.0076923076923076,
Mr. Weston→Mrs. Elton,0.0,0.0,0.0,-0.0151515151515151,-0.0333333333333333,,0.0,0.0,
Mr. Woodhouse→Emma,0.0,-0.065340909090909,0.0291666666666666,0.0252016129032257,-0.0212499999999999,-0.0112499999999999,-0.001008064516129,-0.0124999999999999,
Mr. Woodhouse→Isabella,-0.0119047619047619,-0.0109890109890109,0.0,0.0,-0.0194805194805195,,0.0,0.0324675324675325,
Mr. Woodhouse→Mr. Knightley,-0.0559440559440559,-0.0692307692307693,-0.0128205128205127,-0.0192307692307692,,,0.0,-0.0461538461538461,
Mrs. Elton→Emma,0.0,-0.0190476190476189,0.0,0.0,0.0,0.0606060606060606,0.0,0.0,
Mrs. Elton→Jane Fairfax,-0.0142857142857143,0.0461538461538461,0.0,0.0499999999999999,-0.0333333333333333,0.0,0.0,-0.0095238095238096,
Mrs. Elton→Mr. Knightley,,,,,,,0.0,,
Mrs. Elton→Mr. Weston,0.0,,0.0,,,,0.0,0.0,
Mrs. Weston→Emma,0.0277777777777777,-0.0333333333333333,-0.0006410256410256,-0.0015151515151514,0.0111111111111111,0.0909090909090909,0.0,-0.0194444444444443,
Mrs. Weston→Mr. Knightley,-0.0073529411764705,-0.0490196078431371,0.0,-0.0313725490196078,-0.0735294117647058,-0.0147058823529411,0.0,0.0,
