merge_id,speaker,addressees,text_merged,first_turn_index,last_turn_index,source_quoteIDs
0,Mr. Woodhouse,['Emma'],poor miss taylor i wish she were here again what a pity it is that mr weston ever thought of her,0,0,Q0
1,Emma,['Mr. Woodhouse'],i cannot agree with you papa you know i cannot mr weston is such a good humoured pleasant excellent man that he thoroughly deserves a good wife and you would not have had miss taylor live with us for ever and bear all my odd humours when she might have a house of her own,1,1,Q1
2,Mr. Woodhouse,['Emma'],a house of her own but where is the advantage of a house of her own this is three times as large and you have never any odd humours my dear,2,2,Q2
3,Emma,['Mr. Woodhouse'],how often we shall be going to see them and they coming to see us we shall be always meeting we must begin we must go and pay wedding visit very soon,3,3,Q3
4,Mr. Woodhouse,['Emma'],my dear how am i to get so far randalls is such a distance i could not walk half so far,4,4,Q4
5,Emma,['Mr. Woodhouse'],no papa nobody thought of your walking we must go in the carriage to be sure,5,5,Q5
6,Mr. Woodhouse,['Emma'],the carriage but james will not like to put the horses to for such a little way and where are the poor horses to be while we are paying our visit,6,6,Q6
7,Emma,['Mr. Woodhouse'],they are to be put into mr weston s stable papa you know we have settled all that already we talked it all over with mr weston last night and as for james you may be very sure he will always like going to randalls because of his daughter s being housemaid there i only doubt whether he will ever take us anywhere else that was your doing papa you got hannah that good place nobody thought of hannah till you mentioned her james is so obliged to you,7,7,Q7
8,Mr. Woodhouse,['Emma'],i am very glad i did think of her it was very lucky for i would not have had poor james think himself slighted upon any account and i am sure she will make a very good servant she is a civil pretty spoken girl i have a great opinion of her whenever i see her she always curtseys and asks me how i do in a very pretty manner and when you have had her here to do needlework i observe she always turns the lock of the door the right way and never bangs it i am sure she will be an excellent servant and it will be a great comfort to poor miss taylor to have somebody about her that she is used to see whenever james goes over to see his daughter you know she will be hearing of us he will be able to tell her how we all are,8,8,Q8
9,Mr. Woodhouse,"['Emma', 'Mr. Knightley']",it is very kind of you mr knightley to come out at this late hour to call upon us i am afraid you must have had a shocking walk,9,9,Q9
10,Mr. Knightley,"['Emma', 'Mr. Woodhouse']",not at all sir it is a beautiful moonlight night and so mild that i must draw back from your great fire,10,10,Q10
11,Mr. Woodhouse,"['Emma', 'Mr. Knightley']",but you must have found it very damp and dirty i wish you may not catch cold,11,11,Q11
12,Mr. Knightley,"['Emma', 'Mr. Woodhouse']",dirty sir look at my shoes not a speck on them,12,12,Q12
13,Mr. Woodhouse,"['Emma', 'Mr. Knightley']",well that is quite surprising for we have had a vast deal of rain here it rained dreadfully hard for half an hour while we were at breakfast i wanted them to put off the wedding,13,13,Q13
14,Mr. Knightley,"['Emma', 'Mr. Woodhouse']",by the bye i have not wished you joy being pretty well aware of what sort of joy you must both be feeling i have been in no hurry with my congratulations but i hope it all went off tolerably well how did you all behave who cried most,14,14,Q14
15,Mr. Woodhouse,"['Emma', 'Mr. Knightley']",ah poor miss taylor tis a sad business,15,15,Q15
