a_speaker,b_speaker,n_features,n_pairs,n_triggers_total,mean_conv,mean_conv_w,a_gender,a_category,b_gender,b_category
Edmund,Fanny Price,9.0,93.0,659.0,-0.013473740168726855,-0.008566253854814253,M,major,F,major
Edmund,Henry Crawford,9.0,8.0,52.0,0.07037037037037036,0.012019230769230766,M,major,M,major
Edmund,Julia Bertram,7.0,2.0,14.0,0.0,0.0,M,major,F,intermediate
Edmund,Lady Bertram,8.0,11.0,64.0,-0.01103896103896105,-0.015625000000000014,M,major,F,intermediate
Edmund,Maria Bertram,7.0,6.0,27.0,0.04285714285714285,0.012345679012345664,M,major,F,intermediate
Edmund,Mary Crawford,8.0,47.0,290.0,-0.011475402913768862,-0.008217168011738819,M,major,F,major
Edmund,Mrs. Grant,6.0,2.0,12.0,0.0,0.0,M,major,F,intermediate
Edmund,Mrs. Norris,6.0,6.0,22.0,0.013888888888888895,0.015151515151515159,M,major,F,intermediate
Edmund,Sir Thomas,7.0,2.0,14.0,0.0,0.0,M,major,M,intermediate
Edmund,Tom Bertram,8.0,8.0,52.0,0.027529761904761904,0.01923076923076923,M,major,M,intermediate
Fanny Price,Edmund,9.0,91.0,511.0,0.021181897635750693,0.015462033074557546,F,major,M,major
Fanny Price,Henry Crawford,8.0,14.0,74.0,-0.05597909035409036,-0.049227799227799234,F,major,M,major
Fanny Price,Julia Bertram,4.0,2.0,8.0,0.0,0.0,F,major,F,intermediate
Fanny Price,Lady Bertram,4.0,5.0,15.0,0.016666666666666663,0.01333333333333333,F,major,F,intermediate
Fanny Price,Maria Bertram,3.0,2.0,6.0,0.0,0.0,F,major,F,intermediate
Fanny Price,Mary Crawford,9.0,29.0,171.0,-0.030771369381708196,-0.022383545069570496,F,major,F,major
Fanny Price,Mr. Rushworth,6.0,5.0,23.0,0.04444444444444443,0.017391304347826077,F,major,M,intermediate
Fanny Price,Mrs. Norris,5.0,4.0,13.0,0.0,0.0,F,major,F,intermediate
Fanny Price,Sir Thomas,7.0,17.0,52.0,-0.06134453781512604,-0.07579185520361992,F,major,M,intermediate
Fanny Price,Tom Bertram,8.0,3.0,22.0,0.0,0.0,F,major,M,intermediate
Fanny Price,William Price,8.0,4.0,24.0,0.10416666666666666,0.08333333333333333,F,major,M,minor
Henry Crawford,Edmund,7.0,10.0,66.0,0.020634920634920624,0.01818181818181817,M,major,M,major
Henry Crawford,Fanny Price,9.0,19.0,123.0,-0.01519512813372462,-0.015832263585793746,M,major,F,major
Henry Crawford,Julia Bertram,8.0,3.0,24.0,0.0,0.0,M,major,F,intermediate
Henry Crawford,Lady Bertram,1.0,2.0,2.0,0.0,0.0,M,major,F,intermediate
Henry Crawford,Maria Bertram,8.0,9.0,58.0,-0.005208333333333329,-0.005747126436781604,M,major,F,intermediate
Henry Crawford,Mary Crawford,8.0,21.0,139.0,0.011724777630350382,0.012332990750256932,M,major,F,major
Henry Crawford,Mrs. Grant,6.0,6.0,29.0,0.027777777777777773,0.022988505747126433,M,major,F,intermediate
Henry Crawford,Tom Bertram,6.0,5.0,26.0,-0.05555555555555556,-0.04615384615384616,M,major,M,intermediate
Julia Bertram,Edmund,6.0,3.0,16.0,0.0,0.0,F,intermediate,M,major
Julia Bertram,Fanny Price,6.0,4.0,24.0,0.0,0.0,F,intermediate,F,major
Julia Bertram,Henry Crawford,4.0,2.0,8.0,0.0,0.0,F,intermediate,M,major
Julia Bertram,Maria Bertram,8.0,4.0,30.0,0.02083333333333333,0.016666666666666663,F,intermediate,F,intermediate
Julia Bertram,Tom Bertram,3.0,2.0,6.0,0.0,0.0,F,intermediate,M,intermediate
Lady Bertram,Edmund,7.0,11.0,59.0,-0.057972582972582974,-0.044684129429892146,F,intermediate,M,major
Lady Bertram,Fanny Price,7.0,8.0,47.0,0.019557823129251695,-4.724353296277262e-18,F,intermediate,F,major
Lady Bertram,Henry Crawford,8.0,4.0,31.0,0.02083333333333333,0.016129032258064512,F,intermediate,M,major
Lady Bertram,Mrs. Norris,8.0,16.0,86.0,0.005927579365079372,0.0021802325581395375,F,intermediate,F,intermediate
Lady Bertram,Sir Thomas,6.0,9.0,45.0,-0.004166666666666689,-0.002469135802469154,F,intermediate,M,intermediate
Lady Bertram,Tom Bertram,2.0,2.0,4.0,0.0,0.0,F,intermediate,M,intermediate
Maria Bertram,Edmund,7.0,7.0,43.0,0.051020408163265314,0.04651162790697676,F,intermediate,M,major
Maria Bertram,Fanny Price,6.0,2.0,12.0,0.0,0.0,F,intermediate,F,major
Maria Bertram,Henry Crawford,8.0,9.0,56.0,0.027083333333333348,0.015873015873015883,F,intermediate,M,major
Maria Bertram,Mrs. Norris,8.0,4.0,26.0,0.0,0.0,F,intermediate,F,intermediate
Mary Crawford,Edmund,9.0,50.0,359.0,0.033352738444251934,0.024122562674094718,F,major,M,major
Mary Crawford,Fanny Price,8.0,27.0,198.0,-0.01133876590398327,-0.01084923307145527,F,major,F,major
Mary Crawford,Henry Crawford,8.0,24.0,154.0,-0.015298436308161717,-0.009469696969696977,F,major,M,major
Mary Crawford,Mrs. Grant,8.0,14.0,89.0,0.014491758241758246,0.015248796147672558,F,major,F,intermediate
Mary Crawford,Tom Bertram,8.0,5.0,38.0,0.024999999999999994,0.021052631578947364,F,major,M,intermediate
Mr. Rushworth,Fanny Price,5.0,5.0,21.0,-0.026666666666666682,-0.01904761904761906,M,intermediate,F,major
Mr. Rushworth,Maria Bertram,2.0,2.0,4.0,0.0,0.0,M,intermediate,F,intermediate
Mr. Rushworth,Mary Crawford,2.0,2.0,4.0,0.0,0.0,M,intermediate,F,major
Mr. Rushworth,Mrs. Norris,4.0,2.0,8.0,0.0,0.0,M,intermediate,F,intermediate
Mr. Yates,Tom Bertram,8.0,3.0,21.0,0.125,0.09523809523809523,M,minor,M,intermediate
Mrs. Grant,Henry Crawford,7.0,7.0,38.0,0.022448979591836764,0.018796992481203045,F,intermediate,M,major
Mrs. Grant,Mary Crawford,8.0,15.0,93.0,-0.04619859307359307,-0.03870967741935484,F,intermediate,F,major
Mrs. Grant,Mr. Rushworth,5.0,2.0,10.0,0.0,0.0,F,intermediate,M,intermediate
Mrs. Norris,Dr. Grant,6.0,2.0,12.0,0.0,0.0,F,intermediate,M,minor
Mrs. Norris,Edmund,7.0,4.0,27.0,0.023809523809523805,0.018518518518518514,F,intermediate,M,major
Mrs. Norris,Fanny Price,5.0,2.0,10.0,0.0,0.0,F,intermediate,F,major
Mrs. Norris,Lady Bertram,8.0,17.0,117.0,-0.003301528944911307,-0.005027652086475627,F,intermediate,F,intermediate
Mrs. Norris,Maria Bertram,6.0,4.0,24.0,0.0,0.0,F,intermediate,F,intermediate
Mrs. Norris,Mrs. Rushworth,8.0,4.0,20.0,0.0625,0.05,F,intermediate,F,minor
Mrs. Norris,Sir Thomas,8.0,9.0,61.0,0.027331349206349206,0.01639344262295082,F,intermediate,M,intermediate
Mrs. Rushworth,Mary Crawford,1.0,2.0,2.0,0.0,0.0,F,minor,F,major
Mrs. Rushworth,Mrs. Norris,8.0,4.0,30.0,-0.020833333333333343,-0.016666666666666673,F,minor,F,intermediate
Sir Thomas,Edmund,7.0,2.0,14.0,0.0,0.0,M,intermediate,M,major
Sir Thomas,Fanny Price,8.0,17.0,98.0,-0.04127949256625728,-0.029411764705882366,M,intermediate,F,major
Sir Thomas,Henry Crawford,4.0,2.0,8.0,0.0,0.0,M,intermediate,M,major
Sir Thomas,Lady Bertram,7.0,9.0,43.0,0.06173469387755105,0.010335917312661532,M,intermediate,F,intermediate
Sir Thomas,Mrs. Norris,8.0,11.0,70.0,0.04763257575757576,0.041558441558441565,M,intermediate,F,intermediate
Sir Thomas,Tom Bertram,4.0,2.0,8.0,0.0,0.0,M,intermediate,M,intermediate
Sir Thomas,William Price,4.0,2.0,8.0,0.0,0.0,M,intermediate,M,minor
Tom Bertram,Edmund,8.0,11.0,69.0,-0.009280303030303048,-0.017127799736495412,M,intermediate,M,major
Tom Bertram,Fanny Price,8.0,4.0,27.0,-1.3877787807814457e-17,-0.009259259259259271,M,intermediate,F,major
Tom Bertram,Henry Crawford,6.0,5.0,28.0,-0.01666666666666668,-0.0142857142857143,M,intermediate,M,major
Tom Bertram,Julia Bertram,4.0,2.0,8.0,0.0,0.0,M,intermediate,F,intermediate
Tom Bertram,Mary Crawford,8.0,4.0,30.0,0.0,0.0,M,intermediate,F,major
Tom Bertram,Mr. Rushworth,4.0,2.0,8.0,0.0,0.0,M,intermediate,M,intermediate
Tom Bertram,Mr. Yates,8.0,4.0,31.0,0.02083333333333333,0.016129032258064512,M,intermediate,M,minor
William Price,Fanny Price,5.0,5.0,22.0,0.040000000000000015,0.036363636363636376,M,minor,F,major
William Price,Sir Thomas,8.0,3.0,23.0,0.0,0.0,M,minor,M,intermediate
_unknowable,Mrs. Norris,8.0,3.0,23.0,0.04166666666666667,0.028985507246376815,M,minor,F,intermediate
