a_speaker,b_speaker,w_ab,w_ba
Edmund,Fanny Price,0.0172304077536834,0.0232898217242639
Edmund,Henry Crawford,-0.0212765957446808,-0.0162162162162162
Edmund,Julia Bertram,0.0,0.0
Edmund,Lady Bertram,-0.015625,0.0461760461760461
Edmund,Maria Bertram,0.0864197530864197,0.0232558139534883
Edmund,Mary Crawford,0.0193292463036422,0.0157660167130919
Edmund,Mrs. Norris,0.0151515151515151,0.0
Edmund,Sir Thomas,0.0,0.0
Edmund,Tom Bertram,0.0576923076923076,-0.0171277997364954
Fanny Price,Edmund,0.0232898217242639,0.0172304077536834
Fanny Price,Henry Crawford,0.0528756957328385,-0.0077021822849807
Fanny Price,Julia Bertram,0.0,0.0192307692307692
Fanny Price,Lady Bertram,0.0941176470588235,0.0212765957446808
Fanny Price,Maria Bertram,0.0,0.0
Fanny Price,Mary Crawford,0.0419439403105464,0.0050426012867327
Fanny Price,Mr. Rushworth,0.0285714285714285,0.0222222222222222
Fanny Price,Mrs. Norris,0.0,0.0
Fanny Price,Sir Thomas,0.0735294117647058,0.0624249699879951
Fanny Price,Tom Bertram,0.0,-0.03
Fanny Price,William Price,-0.05,0.0666666666666666
Henry Crawford,Edmund,-0.0162162162162162,-0.0212765957446808
Henry Crawford,Fanny Price,-0.0077021822849807,0.0528756957328385
Henry Crawford,Julia Bertram,0.0,0.0
Henry Crawford,Lady Bertram,0.0,0.0
Henry Crawford,Maria Bertram,-0.0229885057471264,0.0515873015873016
Henry Crawford,Mary Crawford,0.0123329907502569,0.0096354166666666
Henry Crawford,Mrs. Grant,0.0229885057471264,0.0348432055749129
Henry Crawford,Tom Bertram,0.11875,0.0484848484848484
Julia Bertram,Edmund,0.0,0.0
Julia Bertram,Fanny Price,0.0192307692307692,0.0
Julia Bertram,Henry Crawford,0.0,0.0
Julia Bertram,Tom Bertram,0.0,0.0
Lady Bertram,Edmund,0.0461760461760461,-0.015625
Lady Bertram,Fanny Price,0.0212765957446808,0.0941176470588235
Lady Bertram,Henry Crawford,0.0,0.0
Lady Bertram,Mrs. Norris,0.0138081395348837,0.0117647058823529
Lady Bertram,Sir Thomas,0.0226757369614512,0.0320987654320988
Maria Bertram,Edmund,0.0232558139534883,0.0864197530864197
Maria Bertram,Fanny Price,0.0,0.0
Maria Bertram,Henry Crawford,0.0515873015873016,-0.0229885057471264
Maria Bertram,Mrs. Norris,0.0,0.0185185185185185
Mary Crawford,Edmund,0.0157660167130919,0.0193292463036422
Mary Crawford,Fanny Price,0.0050426012867327,0.0419439403105464
Mary Crawford,Henry Crawford,0.0096354166666666,0.0123329907502569
Mary Crawford,Mrs. Grant,0.0040128410914927,0.0082474226804123
Mary Crawford,Tom Bertram,-0.0052631578947368,0.0
Mr. Rushworth,Fanny Price,0.0222222222222222,0.0285714285714285
Mr. Yates,Tom Bertram,0.0952380952380952,0.0161290322580645
Mrs. Grant,Henry Crawford,0.0348432055749129,0.0229885057471264
Mrs. Grant,Mary Crawford,0.0082474226804123,0.0040128410914927
Mrs. Norris,Edmund,0.0,0.0151515151515151
Mrs. Norris,Fanny Price,0.0,0.0
Mrs. Norris,Lady Bertram,0.0117647058823529,0.0138081395348837
Mrs. Norris,Maria Bertram,0.0185185185185185,0.0
Mrs. Norris,Mrs. Rushworth,0.0,0.05
Mrs. Norris,Sir Thomas,0.0327868852459016,0.0348692403486924
Mrs. Rushworth,Mrs. Norris,0.05,0.0
Sir Thomas,Edmund,0.0,0.0
Sir Thomas,Fanny Price,0.0624249699879951,0.0735294117647058
Sir Thomas,Lady Bertram,0.0320987654320988,0.0226757369614512
Sir Thomas,Mrs. Norris,0.0348692403486924,0.0327868852459016
Sir Thomas,William Price,0.0,0.0
Tom Bertram,Edmund,-0.0171277997364954,0.0576923076923076
Tom Bertram,Fanny Price,-0.03,0.0
Tom Bertram,Henry Crawford,0.0484848484848484,0.11875
Tom Bertram,Julia Bertram,0.0,0.0
Tom Bertram,Mary Crawford,0.0,-0.0052631578947368
Tom Bertram,Mr. Yates,0.0161290322580645,0.0952380952380952
William Price,Fanny Price,0.0666666666666666,-0.05
William Price,Sir Thomas,0.0,0.0
