pair,adverbs,articles,auxiliary_verbs,conjunctions,impersonal_pronouns,negations,personal_pronouns,prepositions,quantifiers
Edmund→Fanny Price,0.0554177005789908,0.0597849462365591,0.0015884652981427,-0.00524521374246,-0.0094086021505376,0.0005659309564232,-0.0011687704534829,0.0352524840070777,0.031490015360983
Edmund→Lady Bertram,,,-0.009090909090909,,-0.0272727272727273,,0.0,,
Edmund→Mary Crawford,-0.00747556066705,-0.0132259919493962,0.0212765957446808,0.006079027355623,0.0551861702127659,0.1452358926919519,-0.0018912529550827,0.0061590145576707,
Fanny Price→Edmund,0.0365118752215526,0.0848351648351648,0.0259340659340658,0.0427541208791208,0.0056980056980057,0.0293040293040293,-0.0013566680233347,0.0021978021978023,-0.063003663003663
Fanny Price→Henry Crawford,-0.0164835164835164,,-0.0119047619047619,,,,0.0,,
Fanny Price→Mary Crawford,-0.0089955022488755,0.1197822141560798,0.0,0.0689655172413793,0.0689655172413793,0.0795755968169761,0.0,0.1034482758620689,
Fanny Price→Sir Thomas,,,0.1352941176470589,,,,0.0588235294117647,,
Henry Crawford→Edmund,0.0,,0.0,,,,0.0,0.0,
Henry Crawford→Fanny Price,-0.0098684210526315,-0.0263157894736841,-0.0058479532163743,-0.0175438596491228,-0.0601503759398496,,0.0,0.0607287449392712,
Henry Crawford→Mary Crawford,0.0325814536340851,-0.0476190476190476,-0.0050125313283208,0.0714285714285715,0.072829131652661,-0.0285714285714285,-0.0050125313283208,-0.0079365079365079,
Lady Bertram→Edmund,,,-0.009090909090909,,,,0.0,,
Lady Bertram→Mrs. Norris,-0.0178571428571429,,0.0,,0.025,,0.0,-0.0374999999999999,
Mary Crawford→Edmund,0.0154545454545453,0.0536585365853657,-0.0012244897959182,0.0327272727272727,-0.0057142857142856,0.0517241379310344,-0.0008163265306122,0.0022222222222222,0.005
Mary Crawford→Fanny Price,-0.0207407407407407,0.0225442834138486,-0.0099715099715099,0.0074074074074074,0.0242165242165242,-0.0158730158730158,0.0,0.0251851851851852,0.0148148148148148
Mary Crawford→Henry Crawford,0.0307017543859648,0.05,-0.0036231884057971,-0.0328947368421053,0.0583333333333333,-0.0833333333333333,-0.0036231884057971,-0.0072463768115942,
Mary Crawford→Mrs. Grant,0.0857142857142857,,-0.0054945054945054,-0.0357142857142857,0.0357142857142857,,0.0,0.0,
Mrs. Grant→Mary Crawford,-0.0060606060606059,0.0999999999999999,-0.0047619047619047,0.0499999999999999,-0.0666666666666666,,0.0,-0.0095238095238096,
Mrs. Norris→Lady Bertram,0.0431372549019608,0.0168067226890756,0.0,0.0117647058823529,-0.0392156862745098,,0.0,-0.0183823529411765,
Sir Thomas→Fanny Price,0.1705882352941176,0.0647058823529411,0.1040723981900452,0.0756302521008402,0.0294117647058823,,-0.025735294117647,0.0470588235294117,
Sir Thomas→Mrs. Norris,,,-0.009090909090909,,,,0.0,-0.009090909090909,
Tom Bertram→Edmund,,,0.0,,-0.0363636363636363,,0.0,,
