a_speaker,b_speaker,w_ab,w_ba
Catherine Morland,Eleanor Tilney,0.0673076923076923,0.0017798118484617
Catherine Morland,General Tilney,1.1102230246251566e-17,0.0046296296296296
Catherine Morland,Henry Tilney,0.0224538213862057,0.0264133382544089
Catherine Morland,Isabella Thorpe,-0.0147875590113857,-0.0120640584512127
Catherine Morland,James Morland,-0.0758928571428571,0.0146520146520146
Catherine Morland,John Thorpe,0.0318887352082372,0.019605142332415
Catherine Morland,Mr. Allen,0.0,0.0952380952380952
Catherine Morland,Mrs. Allen,-0.0229301948051948,0.0225806451612903
Catherine Morland,Mrs. Morland,0.0,0.0476190476190476
Eleanor Tilney,Catherine Morland,0.0017798118484617,0.0673076923076923
Eleanor Tilney,Henry Tilney,-0.0194805194805194,-0.0012987012987013
Frederick Tilney,Isabella Thorpe,0.0,0.0
General Tilney,Catherine Morland,0.0046296296296296,1.1102230246251566e-17
Henry Tilney,Catherine Morland,0.0264133382544089,0.0224538213862057
Henry Tilney,Eleanor Tilney,-0.0012987012987013,-0.0194805194805194
Henry Tilney,Mrs. Allen,0.0773809523809524,-0.0567375886524822
Isabella Thorpe,Catherine Morland,-0.0120640584512127,-0.0147875590113857
Isabella Thorpe,Frederick Tilney,0.0,0.0
Isabella Thorpe,James Morland,0.008130081300813,0.0
Isabella Thorpe,Mrs. Thorpe,-0.0108695652173913,0.0
James Morland,Catherine Morland,0.0146520146520146,-0.0758928571428571
James Morland,Isabella Thorpe,0.0,0.008130081300813
James Morland,John Thorpe,-1.5139404881252134e-17,0.0
John Thorpe,Catherine Morland,0.019605142332415,0.0318887352082372
John Thorpe,James Morland,0.0,-1.5139404881252134e-17
Mr. Allen,Catherine Morland,0.0952380952380952,0.0
Mr. Allen,Mrs. Allen,0.0392156862745098,0.0
Mrs. Allen,Catherine Morland,0.0225806451612903,-0.0229301948051948
Mrs. Allen,Henry Tilney,-0.0567375886524822,0.0773809523809524
Mrs. Allen,Mr. Allen,0.0,0.0392156862745098
Mrs. Morland,Catherine Morland,0.0476190476190476,0.0
Mrs. Thorpe,Isabella Thorpe,0.0,-0.0108695652173913
