pair,adverbs,articles,auxiliary_verbs,conjunctions,impersonal_pronouns,negations,personal_pronouns,prepositions,quantifiers
Catherine Morland→Eleanor Tilney,0.0203804347826086,0.1789772727272727,-0.00375,0.0904605263157894,0.0710227272727272,0.1895833333333333,-0.0104166666666666,0.0817307692307692,
Catherine Morland→Henry Tilney,-0.0277275467148884,0.0142857142857143,0.006423034330011,0.0836438923395445,0.0736924277907884,0.0481203007518796,0.0033794162826421,-0.0030721966205837,0.0402930402930403
Catherine Morland→Isabella Thorpe,-0.0128205128205127,-0.1840659340659339,-0.0050167224080267,-0.0332167832167832,-0.0168997668997669,0.0166666666666667,-0.0003770739064856,0.0124069478908187,
Catherine Morland→John Thorpe,0.0375661375661375,0.0277777777777777,-0.0099052540913006,0.0925925925925925,-0.0185185185185186,0.0833333333333333,0.0232466509062253,0.0572390572390572,
Catherine Morland→Mrs. Allen,0.0148809523809523,,-0.03125,-0.0875,-0.0029761904761904,,0.0,-0.0091911764705882,
Eleanor Tilney→Catherine Morland,0.0768421052631578,-0.0745614035087719,0.0230263157894736,-0.0598086124401914,-0.0592105263157894,0.1611842105263158,-0.0119617224880382,-0.0487329434697856,
Henry Tilney→Catherine Morland,0.0496335347820496,-0.0036775106082036,0.0169274992015331,0.0341323606044815,0.0524604699275896,0.0188590287600188,0.0031971947194719,0.0356435643564356,0.0686881188118812
Henry Tilney→Eleanor Tilney,,,0.0,,,,0.0,-0.0181818181818181,
Isabella Thorpe→Catherine Morland,-0.0043859649122807,-0.0530048525569242,-0.0044657097288676,-0.021671826625387,-0.0070921985815602,-0.048582995951417,-0.0012759170653907,-0.0076133730552797,0.1278195488721804
John Thorpe→Catherine Morland,0.0333333333333333,0.0735772357723577,0.0148148148148147,0.011111111111111,0.0319148936170212,-0.0214285714285714,0.0240740740740741,-0.0153846153846153,
Mrs. Allen→Catherine Morland,0.0128205128205127,0.0641025641025641,0.0284280936454849,0.0576923076923077,-0.0104895104895105,0.1538461538461538,0.0,-0.0528846153846154,
