A,B,i_text,j_text,article_i_count,article_j_count,article_i_present,article_j_present,auxverb_i_count,auxverb_j_count,auxverb_i_present,auxverb_j_present,conj_i_count,conj_j_count,conj_i_present,conj_j_present,adverb_i_count,adverb_j_count,adverb_i_present,adverb_j_present,ipron_i_count,ipron_j_count,ipron_i_present,ipron_j_present,negate_i_count,negate_j_count,negate_i_present,negate_j_present,ppron_i_count,ppron_j_count,ppron_i_present,ppron_j_present,prep_i_count,prep_j_count,prep_i_present,prep_j_present,quant_i_count,quant_j_count,quant_i_present,quant_j_present,i_tokens,j_tokens,i_merge_id,j_merge_id,i_addressees,A_gender,A_category,B_gender,B_category
Mrs. Allen,Catherine Morland,i wish you could dance my dear i wish you could get a partner it would have been very shocking to have it torn would not it it is such a delicate muslin for my part i have not seen anything i like so well in the whole room i assure you,how uncomfortable it is not to have a single acquaintance here,3,1,1,1,8,1,1,1,0,1,0,1,3,1,1,1,5,1,1,1,2,1,1,1,14,1,1,1,2,0,1,0,1,0,1,0,52,11,1,2,Catherine Morland,F,intermediate,F,major
Catherine Morland,Mrs. Allen,how uncomfortable it is not to have a single acquaintance here,yes my dear it is very uncomfortable indeed,1,0,1,0,1,1,1,1,1,0,1,0,1,2,1,1,1,1,1,1,1,0,1,0,1,2,1,1,0,0,0,0,0,0,0,0,11,8,2,3,Mrs. Allen,F,major,F,intermediate
Mrs. Allen,Catherine Morland,yes my dear it is very uncomfortable indeed,what shall we do the gentlemen and ladies at this table look as if they wondered why we came here we seem forcing ourselves into their party,0,1,0,1,1,2,1,1,0,4,0,1,2,1,1,1,1,1,1,1,0,0,0,0,2,6,1,1,0,2,0,1,0,0,0,0,8,27,3,4,Catherine Morland,F,intermediate,F,major
Catherine Morland,Mrs. Allen,what shall we do the gentlemen and ladies at this table look as if they wondered why we came here we seem forcing ourselves into their party,aye so we do that is very disagreeable i wish we had a large acquaintance here,1,1,1,1,2,2,1,1,4,0,1,0,1,3,1,1,1,1,1,1,0,0,0,0,6,3,1,1,2,0,1,0,0,0,0,0,27,16,4,5,Mrs. Allen,F,major,F,intermediate
Mrs. Allen,Catherine Morland,aye so we do that is very disagreeable i wish we had a large acquaintance here,i wish we had any it would be somebody to go to,1,0,1,0,2,2,1,1,0,0,0,0,3,0,1,0,1,2,1,1,0,0,0,0,3,3,1,1,0,1,0,1,0,1,0,1,16,12,5,6,Catherine Morland,F,intermediate,F,major
Catherine Morland,Mrs. Allen,i wish we had any it would be somebody to go to,very true my dear and if we knew anybody we would join them directly the skinners were here last year i wish they were here now,0,1,0,1,2,3,1,1,0,2,0,1,0,5,0,1,2,1,1,1,0,0,0,0,3,6,1,1,1,0,1,0,1,1,1,1,12,26,6,7,Mrs. Allen,F,major,F,intermediate
Mrs. Allen,Catherine Morland,very true my dear and if we knew anybody we would join them directly the skinners were here last year i wish they were here now,had not we better go away as it is here are no tea things for us you see,1,0,1,0,3,3,1,1,2,1,1,1,5,3,1,1,1,1,1,1,0,1,0,1,6,4,1,1,0,1,0,1,1,0,1,0,26,18,7,8,Catherine Morland,F,intermediate,F,major
Catherine Morland,Mrs. Allen,had not we better go away as it is here are no tea things for us you see,no more there are indeed how very provoking but i think we had better sit still for one gets so tumbled in such a crowd how is my head my dear somebody gave me a push that has hurt it i am afraid,0,2,0,1,3,4,1,1,1,3,1,1,3,7,1,1,1,3,1,1,1,1,1,1,4,7,1,1,1,2,1,1,0,1,0,1,18,43,8,9,Mrs. Allen,F,major,F,intermediate
Mrs. Allen,Catherine Morland,no more there are indeed how very provoking but i think we had better sit still for one gets so tumbled in such a crowd how is my head my dear somebody gave me a push that has hurt it i am afraid,no indeed it looks very nice but dear mrs allen are you sure there is nobody you know in all this multitude of people i think you must know somebody,2,0,1,0,4,2,1,1,3,1,1,1,7,2,1,1,3,4,1,1,1,0,1,0,7,5,1,1,2,2,1,1,1,2,1,1,43,30,9,10,Catherine Morland,F,intermediate,F,major
Catherine Morland,Mrs. Allen,no indeed it looks very nice but dear mrs allen are you sure there is nobody you know in all this multitude of people i think you must know somebody,i don t upon my word i wish i did i wish i had a large acquaintance here with all my heart and then i should get you a partner i should be so glad to have you dance there goes a strange looking woman what an odd gown she has got on how old fashioned it is look at the back,0,5,0,1,2,6,1,1,1,3,1,1,2,3,1,1,4,2,1,1,0,0,0,0,5,13,1,1,2,3,1,1,2,0,1,0,30,62,10,11,Mrs. Allen,F,major,F,intermediate
