character,out_degree,in_degree,adaptability_out_strength,adaptability_in_strength,betweenness,betweenness_weighted,gender,category
Sir Walter Elliot,4,4,0.3555537599655246,0.0416666666666666,0.1023391812865497,0.15204678362573099,M,intermediate
Anne Elliot,10,13,0.1783198665946894,0.47456335073550787,0.6939571150097467,0.8508771929824561,F,major
Mary Musgrove,4,3,0.158119658119658,0.0189393939393939,0.10964912280701754,0.1023391812865497,F,intermediate
Mr Shepherd,2,1,0.1333333333333333,0.0096153846153846,0.0,0.0,M,minor
Elizabeth,3,3,0.132034632034632,0.3333333333333333,0.04532163742690058,0.14035087719298245,F,minor
Captain Wentworth,6,6,0.08322109988776641,0.0979776669650086,0.29434697855750486,0.33040935672514615,M,major
Mrs Croft,2,1,0.0636363636363636,0.0,0.0,0.0,,
Mrs Musgrove,3,3,0.0606060606060606,0.0092592592592592,0.0516569200779727,0.0,F,intermediate
Charles Musgrove,5,4,0.050189393939393895,0.1197069597069596,0.1154970760233918,0.19005847953216373,M,intermediate
Captain Harville,1,2,0.0387096774193548,0.0123076923076923,0.0,0.0,M,intermediate
William Walter Elliot,1,1,0.03125,0.0066445182724252,0.0,0.0,M,minor
Lady Russell,2,1,0.0249999999999999,0.0555555555555555,0.0,0.0,F,minor
Louisa Musgrove,1,1,0.0185185185185185,0.0296296296296296,0.0,0.0,F,minor
Mrs Smith,1,1,0.0144648023143683,0.0372294372294372,0.0,0.0,F,intermediate
Mary,2,2,0.0086206896551724,0.0288888888888888,0.0,0.0,,
Admiral Croft,2,2,0.0029629629629629,0.0186170212765957,0.06530214424951267,0.09941520467836257,M,intermediate
Admiral,1,2,0.0,0.0,0.0,0.0,,
Sophia Croft,1,2,0.0,0.0,0.0014619883040935672,0.0,F,minor
Mrs Clay,2,2,0.0,0.0606060606060606,0.0,0.0,F,minor
The Waiter,1,0,0.0,0.0,0.0,0.0,M,minor
