a_speaker,b_speaker,w_ab,w_ba
Admiral,Captain Wentworth,0.0,0.0
Admiral Croft,Anne Elliot,-0.0029629629629629,0.0186170212765957
Admiral Croft,Sophia Croft,0.0,0.0
Anne Elliot,Admiral Croft,0.0186170212765957,-0.0029629629629629
Anne Elliot,Captain Harville,-0.0123076923076923,0.0387096774193548
Anne Elliot,Captain Wentworth,0.0158227848101265,0.0443322109988776
Anne Elliot,Charles Musgrove,0.0171428571428571,0.03125
Anne Elliot,Elizabeth,0.0,0.0714285714285714
Anne Elliot,Mary,-0.0288888888888888,0.0086206896551724
Anne Elliot,Mrs Musgrove,0.0,0.0606060606060606
Anne Elliot,Mrs Smith,0.0372294372294372,0.0144648023143683
Anne Elliot,Sir Walter Elliot,0.0416666666666666,0.0126050420168067
Anne Elliot,William Walter Elliot,-0.0066445182724252,-0.03125
Captain Harville,Anne Elliot,0.0387096774193548,-0.0123076923076923
Captain Wentworth,Admiral,0.0,0.0
Captain Wentworth,Anne Elliot,0.0443322109988776,0.0158227848101265
Captain Wentworth,Louisa Musgrove,0.0296296296296296,-0.0185185185185185
Captain Wentworth,Mrs Croft,0.0,0.0636363636363636
Charles Musgrove,Anne Elliot,0.03125,0.0171428571428571
Charles Musgrove,Mary,0.0,0.0
Charles Musgrove,Mary Musgrove,-0.0189393939393939,0.1025641025641025
Charles Musgrove,Mrs Musgrove,0.0,0.0
Elizabeth,Anne Elliot,0.0714285714285714,0.0
Elizabeth,Mrs Clay,0.0606060606060606,0.0
Elizabeth,Sir Walter Elliot,0.0,0.3333333333333333
Lady Russell,Mary Musgrove,0.0,0.0555555555555555
Louisa Musgrove,Captain Wentworth,-0.0185185185185185,0.0296296296296296
Mary,Anne Elliot,0.0086206896551724,-0.0288888888888888
Mary,Charles Musgrove,0.0,0.0
Mary Musgrove,Charles Musgrove,0.1025641025641025,-0.0189393939393939
Mary Musgrove,Lady Russell,0.0555555555555555,0.0
Mr Shepherd,Sir Walter Elliot,0.0,-0.0096153846153846
Mrs Clay,Elizabeth,0.0,0.0606060606060606
Mrs Clay,Sir Walter Elliot,0.0,0.0
Mrs Croft,Captain Wentworth,0.0636363636363636,0.0
Mrs Musgrove,Anne Elliot,0.0606060606060606,0.0
Mrs Musgrove,Charles Musgrove,0.0,0.0
Mrs Smith,Anne Elliot,0.0144648023143683,0.0372294372294372
Sir Walter Elliot,Anne Elliot,0.0126050420168067,0.0416666666666666
Sir Walter Elliot,Elizabeth,0.3333333333333333,0.0
Sir Walter Elliot,Mr Shepherd,-0.0096153846153846,0.0
Sir Walter Elliot,Mrs Clay,0.0,0.0
Sophia Croft,Admiral Croft,0.0,0.0
William Walter Elliot,Anne Elliot,-0.03125,-0.0066445182724252
