A,B,i_text,j_text,article_i_count,article_j_count,article_i_present,article_j_present,auxverb_i_count,auxverb_j_count,auxverb_i_present,auxverb_j_present,conj_i_count,conj_j_count,conj_i_present,conj_j_present,adverb_i_count,adverb_j_count,adverb_i_present,adverb_j_present,ipron_i_count,ipron_j_count,ipron_i_present,ipron_j_present,negate_i_count,negate_j_count,negate_i_present,negate_j_present,ppron_i_count,ppron_j_count,ppron_i_present,ppron_j_present,prep_i_count,prep_j_count,prep_i_present,prep_j_present,quant_i_count,quant_j_count,quant_i_present,quant_j_present,i_tokens,j_tokens,i_merge_id,j_merge_id,i_addressees,A_gender,A_category,B_gender,B_category
Mr Shepherd,Sir Walter Elliot,i must take leave to observe sir walter that the present juncture is much in our favour this peace will be turning all our rich naval officers ashore they will be all wanting a home could not be a better time sir walter for having a choice of tenants very responsible tenants many a noble fortune has been made during the war if a rich admiral were to come in our way sir walter,wentworth oh ay mr wentworth the curate of monkford you misled me by the term gentleman i thought you were speaking of some man of property mr wentworth was nobody i remember quite unconnected nothing to do with the strafford family one wonders how the names of many of our nobility become so common,7,4,1,1,11,2,1,1,3,1,1,1,1,2,1,1,1,2,1,1,1,0,1,0,5,6,1,1,5,7,1,1,0,2,0,1,74,54,4,26,Anne Elliot; Mrs Clay; Sir Walter Elliot,M,minor,M,intermediate
Mr Shepherd,Sir Walter Elliot,i presume to observe sir walter that in the way of business gentlemen of the navy are well to deal with i have had a little knowledge of their methods of doing business and i am free to confess that they have very liberal notions and are as likely to make desirable tenants as any set of people one should meet with therefore sir walter what i would take leave to suggest is that if in consequence of any rumours getting abroad of your intention which must be contemplated as a possible thing because we know how difficult it is to keep the actions and designs of one part of the world from the notice and curiosity of the other consequence has its tax i john shepherd might conceal any family matters that i chose for nobody would think it worth their while to observe me but sir walter elliot has eyes upon him which it may be very difficult to elude and therefore thus much i venture upon that it will not greatly surprise me if with all our caution some rumour of the truth should get abroad in the supposition of which as i was going to observe since applications will unquestionably follow i should think any from our wealthy naval commanders particularly worth attending to and beg leave to add that two hours will bring me over at any time to save you the trouble of replying,he would be a very lucky man shepherd that s all i have to remark a prize indeed would kellynch hall be to him rather the greatest prize of all let him have taken ever so many before hey shepherd,11,3,1,1,20,5,1,1,20,0,1,0,12,5,1,1,8,4,1,1,1,0,1,0,27,4,1,1,26,3,1,1,1,0,1,0,240,40,6,5,Anne Elliot; Mrs Clay; Sir Walter Elliot,M,minor,M,intermediate
Mr Shepherd,Sir Walter Elliot,indeed,there are few among the gentlemen of the navy i imagine who would not be surprised to find themselves in a house of this description,0,3,0,1,0,2,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0,2,0,1,0,4,0,1,0,0,0,0,1,25,15,7,Anne Elliot; Mrs Clay; Sir Walter Elliot,M,minor,M,intermediate
Mr Shepherd,Sir Walter Elliot,wentworth was the very name mr wentworth was the very man he had the curacy of monkford you know sir walter some time back for two or three years came there about the year 5 i take it you remember him i am sure,yes it is in two points offensive to me i have two strong grounds of objection to it first as being the means of bringing persons of obscure birth into undue distinction and raising men to honours which their fathers and grandfathers never dreamt of and secondly as it cuts up a man s youth and vigour most horribly a sailor grows old sooner than any other man i have observed it all my life a man is in greater danger in the navy of being insulted by the rise of one whose father his father might have disdained to speak to and of becoming prematurely an object of disgust himself than in any other line one day last spring in town i was in company with two men striking instances of what i am talking of lord st ives whose father we all know to have been a country curate without bread to eat i was to give place to lord st ives and a certain admiral baldwin the most deplorable looking personage you can imagine his face the colour of mahogany rough and rugged to the last degree all lines and wrinkles nine grey hairs of a side and nothing but a dab of powder at top in the name of heaven who is that old fellow said i to a friend of mine who was standing near sir basil morley old fellow cried sir basil it is admiral baldwin what do you take his age to be sixty said i or perhaps sixty two forty replied sir basil forty and no more picture to yourselves my amazement i shall not easily forget admiral baldwin i never saw quite so wretched an example of what a sea faring life can do but to a degree i know it is the same with them all they are all knocked about and exposed to every climate and every weather till they are not fit to be seen it is a pity they are not knocked on the head at once before they reach admiral baldwin s age,4,22,1,1,3,27,1,1,1,18,1,1,4,14,1,1,3,13,1,1,0,6,0,1,7,34,1,1,2,47,1,1,0,1,0,1,44,347,25,16,Anne Elliot; Mrs Clay; Sir Walter Elliot,M,minor,M,intermediate
Sir Walter Elliot,Mr Shepherd,he would be a very lucky man shepherd that s all i have to remark a prize indeed would kellynch hall be to him rather the greatest prize of all let him have taken ever so many before hey shepherd,and a very well spoken genteel shrewd lady she seemed to be asked more questions about the house and terms and taxes than the admiral himself and seemed more conversant with business and moreover sir walter i found she was not quite unconnected in this country any more than her husband that is to say she is sister to a gentleman who did live amongst us once she told me so herself sister to the gentleman who lived a few years back at monkford bless me what was his name at this moment i cannot recollect his name though i have heard it so lately penelope my dear can you help me to the name of the gentleman who lived at monkford mrs croft s brother,3,8,1,1,5,9,1,1,0,7,0,1,5,8,1,1,4,13,1,1,0,2,0,1,4,19,1,1,3,13,1,1,0,0,0,0,40,127,5,21,Anne Elliot; Mr Shepherd; Mrs Clay,M,intermediate,M,minor
Sir Walter Elliot,Mr Shepherd,as to all that supposing i were induced to let my house i have by no means made up my mind as to the privileges to be annexed to it i am not particularly disposed to favour a tenant the park would be open to him of course and few navy officers or men of any other description can have had such a range but what restrictions i might impose on the use of the pleasure grounds is another thing i am not fond of the idea of my shrubberies being always approachable and i should recommend miss elliot to be on her guard with respect to her flower garden i am very little disposed to grant a tenant of kellynch hall any extraordinary favour i assure you be he sailor or soldier,i presume to observe sir walter that in the way of business gentlemen of the navy are well to deal with i have had a little knowledge of their methods of doing business and i am free to confess that they have very liberal notions and are as likely to make desirable tenants as any set of people one should meet with therefore sir walter what i would take leave to suggest is that if in consequence of any rumours getting abroad of your intention which must be contemplated as a possible thing because we know how difficult it is to keep the actions and designs of one part of the world from the notice and curiosity of the other consequence has its tax i john shepherd might conceal any family matters that i chose for nobody would think it worth their while to observe me but sir walter elliot has eyes upon him which it may be very difficult to elude and therefore thus much i venture upon that it will not greatly surprise me if with all our caution some rumour of the truth should get abroad in the supposition of which as i was going to observe since applications will unquestionably follow i should think any from our wealthy naval commanders particularly worth attending to and beg leave to add that two hours will bring me over at any time to save you the trouble of replying,8,11,1,1,14,20,1,1,6,20,1,1,4,12,1,1,6,8,1,1,2,1,1,1,17,27,1,1,17,26,1,1,0,1,0,1,133,240,9,6,Anne Elliot; Mr Shepherd; Mrs Clay,M,intermediate,M,minor
Sir Walter Elliot,Mr Shepherd,the profession has its utility but i should be sorry to see any friend of mine belonging to it,in all these cases there are established usages which make everything plain and easy between landlord and tenant your interest sir walter is in pretty safe hands depend upon me for taking care that no tenant has more than his just rights i venture to hint that sir walter elliot cannot be half so jealous for his own as john shepherd will be for him,1,0,1,0,2,5,1,1,1,6,1,1,0,3,0,1,2,5,1,1,0,1,0,1,4,6,1,1,2,7,1,1,0,1,0,1,19,66,14,10,Anne Elliot; Mr Shepherd; Mrs Clay,M,intermediate,M,minor
Sir Walter Elliot,Mr Shepherd,then i take it for granted that his face is about as orange as the cuffs and capes of my livery,indeed,1,0,1,0,1,0,1,0,3,0,1,0,3,1,1,1,2,0,1,0,0,0,0,0,4,0,1,0,2,0,1,0,0,0,0,0,21,1,20,15,Anne Elliot; Mr Shepherd; Mrs Clay,M,intermediate,M,minor
Sir Walter Elliot,Mrs Clay,there are few among the gentlemen of the navy i imagine who would not be surprised to find themselves in a house of this description,nay sir walter this is being severe indeed have a little mercy on the poor men we are not all born to be handsome the sea is no beautifier certainly sailors do grow old betimes i have observed it they soon lose the look of youth but then is not it the same with many other professions perhaps most other soldiers in active service are not at all better off and even in the quieter professions there is a toil and a labour of the mind if not of the body which seldom leaves a man s looks to the natural effect of time the lawyer plods quite care worn the physician is up at all hours and travelling in all weather and even the clergyman and even the clergyman you know is obliged to go into infected rooms and expose his health and looks to all the injury of a poisonous atmosphere in fact as i have long been convinced though every profession is necessary and honourable in its turn it is only the lot of those who are not obliged to follow any who can live in a regular way in the country choosing their own hours following their own pursuits and living on their own property without the torment of trying for more it is only their lot i say to hold the blessings of health and a good appearance to the utmost i know no other set of men but what lose something of their personableness when they cease to be quite young,3,25,1,1,2,20,1,1,0,16,0,1,0,20,0,1,1,9,1,1,1,5,1,1,2,19,1,1,4,26,1,1,0,1,0,1,25,257,7,17,Anne Elliot; Mr Shepherd; Mrs Clay,M,intermediate,F,minor
Sir Walter Elliot,Mrs Clay,yes it is in two points offensive to me i have two strong grounds of objection to it first as being the means of bringing persons of obscure birth into undue distinction and raising men to honours which their fathers and grandfathers never dreamt of and secondly as it cuts up a man s youth and vigour most horribly a sailor grows old sooner than any other man i have observed it all my life a man is in greater danger in the navy of being insulted by the rise of one whose father his father might have disdained to speak to and of becoming prematurely an object of disgust himself than in any other line one day last spring in town i was in company with two men striking instances of what i am talking of lord st ives whose father we all know to have been a country curate without bread to eat i was to give place to lord st ives and a certain admiral baldwin the most deplorable looking personage you can imagine his face the colour of mahogany rough and rugged to the last degree all lines and wrinkles nine grey hairs of a side and nothing but a dab of powder at top in the name of heaven who is that old fellow said i to a friend of mine who was standing near sir basil morley old fellow cried sir basil it is admiral baldwin what do you take his age to be sixty said i or perhaps sixty two forty replied sir basil forty and no more picture to yourselves my amazement i shall not easily forget admiral baldwin i never saw quite so wretched an example of what a sea faring life can do but to a degree i know it is the same with them all they are all knocked about and exposed to every climate and every weather till they are not fit to be seen it is a pity they are not knocked on the head at once before they reach admiral baldwin s age,they would look around them no doubt and bless their good fortune but i quite agree with my father in thinking a sailor might be a very desirable tenant i have known a good deal of the profession and besides their liberality they are so neat and careful in all their ways these valuable pictures of yours sir walter if you chose to leave them would be perfectly safe everything in and about the house would be taken such excellent care of the gardens and shrubberies would be kept in almost as high order as they are now you need not be afraid miss elliot of your own sweet flower gardens being neglected,22,6,1,1,27,15,1,1,18,9,1,1,14,8,1,1,13,2,1,1,6,2,1,1,34,15,1,1,47,12,1,1,1,1,1,1,347,113,16,8,Anne Elliot; Mr Shepherd; Mrs Clay,M,intermediate,F,minor
