a_speaker,b_speaker,n_features,n_pairs,n_triggers_total,mean_conv,mean_conv_w,a_gender,a_category,b_gender,b_category
Charlotte Lucas,Elizabeth,8.0,14.0,89.0,-0.034281690531690515,-0.029695024077046533,F,intermediate,F,major
Charlotte Lucas,Mrs. Bennet,6.0,4.0,21.0,-0.013888888888888895,-0.01190476190476191,F,intermediate,F,major
Colonel Fitzwilliam,Elizabeth,8.0,15.0,97.0,0.004595404595404591,-0.0006872852233677009,M,intermediate,F,major
Elizabeth,Charlotte Lucas,8.0,11.0,60.0,0.01569264069264066,-2.590520390792032e-17,F,major,F,intermediate
Elizabeth,Colonel Fitzwilliam,8.0,15.0,90.0,0.0008928571428571189,0.004444444444444425,F,major,M,intermediate
Elizabeth,George Wickham,8.0,35.0,187.0,0.05328254676080765,0.04155844155844158,F,major,M,intermediate
Elizabeth,Jane,9.0,62.0,388.0,-0.0027532196453624713,-0.016627868307283012,F,major,F,intermediate
Elizabeth,Lady Catherine De Bourgh,8.0,35.0,179.0,-0.04506441936163684,-0.03910614525139663,F,major,F,intermediate
Elizabeth,Lydia,6.0,6.0,22.0,0.027777777777777773,0.02272727272727272,F,major,F,intermediate
Elizabeth,Maria,6.0,3.0,13.0,0.05555555555555556,0.05128205128205129,F,major,F,minor
Elizabeth,Mary,4.0,2.0,8.0,0.0,0.0,F,major,F,minor
Elizabeth,Miss Bingley,6.0,3.0,15.0,0.0,0.0,F,major,F,intermediate
Elizabeth,Mr. Bennet,8.0,20.0,94.0,-0.024019607843137232,-0.01861702127659572,F,major,M,intermediate
Elizabeth,Mr. Bingley,7.0,6.0,32.0,0.0071428571428571175,0.01562499999999998,F,major,M,intermediate
Elizabeth,Mr. Collins,8.0,6.0,42.0,0.016666666666666663,0.011904761904761902,F,major,M,intermediate
Elizabeth,Mr. Darcy,8.0,80.0,515.0,-0.001474640982722139,-0.0014563106796116497,F,major,M,major
Elizabeth,Mr. Gardiner,5.0,3.0,15.0,0.0,0.0,F,major,M,minor
Elizabeth,Mrs. Bennet,8.0,13.0,71.0,0.0006954850704850579,-0.0021668472372697927,F,major,F,major
Elizabeth,Mrs. Gardiner,8.0,20.0,130.0,-0.012126517273576123,-0.013076923076923102,F,major,F,intermediate
Elizabeth,Mrs. Reynolds,5.0,4.0,11.0,0.0,0.0,F,major,F,minor
George Wickham,Elizabeth,8.0,35.0,224.0,-0.024012204455803966,-0.01760204081632654,M,intermediate,F,major
Jane,Elizabeth,8.0,73.0,464.0,0.0010009359136598228,0.0022732640529050576,F,intermediate,F,major
Jane,Lydia,2.0,2.0,4.0,0.0,0.0,F,intermediate,F,intermediate
Jane,Mr. Bennet,1.0,2.0,2.0,0.0,0.0,F,intermediate,M,intermediate
Jane,Mrs. Bennet,7.0,6.0,32.0,-0.03571428571428571,-0.026041666666666664,F,intermediate,F,major
Kitty,Mr. Bennet,2.0,2.0,4.0,0.0,0.0,F,minor,M,intermediate
Kitty,Mrs. Bennet,3.0,3.0,9.0,0.0,0.0,F,minor,F,major
Lady Catherine De Bourgh,Elizabeth,8.0,39.0,258.0,-0.01206833952956251,-0.013814351023653361,F,intermediate,F,major
Lady Catherine De Bourgh,Mrs. Bennet,7.0,4.0,21.0,-0.02380952380952382,-0.02380952380952382,F,intermediate,F,major
Lydia,Elizabeth,6.0,7.0,41.0,-0.007936507936507945,-0.006968641114982586,F,intermediate,F,major
Lydia,Jane,3.0,2.0,6.0,0.0,0.0,F,intermediate,F,intermediate
Lydia,Mr. Collins,3.0,2.0,6.0,0.0,0.0,F,intermediate,M,intermediate
