character,out_degree,in_degree,adaptability_out_strength,adaptability_in_strength,betweenness,betweenness_weighted,gender,category
Marianne,7,8,0.448452003076855,0.18097319754973762,0.06944444444444443,0.1,F,major
John Middleton,7,5,0.2476381461675577,0.0952380952380952,0.10694444444444445,0.175,M,intermediate
Mrs. Dashwood,6,6,0.2306572599907409,0.09063194205885705,0.1361111111111111,0.32916666666666666,F,intermediate
Elinor,12,13,0.1733950451413137,0.30094026310122124,0.5034722222222222,0.7375,F,major
Edward Ferrars,3,3,0.1439789377289376,0.0641237745098039,0.0,0.05416666666666667,M,intermediate
Mrs. Jennings,7,9,0.0972861637922147,0.4049539819069687,0.15277777777777776,0.10416666666666667,F,intermediate
Colonel Brandon,3,3,0.07931380993396489,0.09684785202026559,0.0,0.020833333333333332,M,intermediate
Thomas,1,1,0.0457317073170731,0.0560344827586206,0.0,0.0,,
Lucy Steele,3,2,0.0321787837219935,0.0394452863112457,0.0,0.0,F,intermediate
Mr. Willoughby,3,3,0.030144554044847244,0.1051984930274403,0.0,0.0,M,intermediate
Charlotte,3,3,0.0288602941176469,0.0253623188405796,0.06458333333333333,0.125,F,intermediate
Anne Steele,3,3,0.0272233893557422,0.0364695340501791,0.004166666666666667,0.0,F,intermediate
John Dashwood,3,3,0.0226401376401375,0.030039682539682498,0.125,0.125,M,intermediate
Mr. Palmer,2,1,0.0166666666666666,0.0156249999999999,0.0,0.0,M,minor
Fanny,1,1,0.0009920634920635,0.0166083916083915,0.0,0.0,F,minor
Margaret,3,3,0.0,0.0,0.0,0.0,F,minor
Lady Middleton,1,1,0.0,0.0666666666666666,0.0,0.0,F,minor
