a_speaker,b_speaker,w_ab,w_ba
Anne Steele,Elinor,0.0104166666666666,-0.0225806451612903
Anne Steele,Lucy Steele,0.0168067226890756,-0.0138888888888888
Anne Steele,Mrs. Jennings,0.0,0.0
Charlotte,Elinor,0.013235294117647,-0.008695652173913
Charlotte,Mr. Palmer,-0.0156249999999999,0.0166666666666666
Colonel Brandon,Elinor,0.0151162790697674,0.0073891625615763
Colonel Brandon,John Middleton,0.0,0.0666666666666666
Colonel Brandon,Mrs. Jennings,0.0641975308641975,-0.0227920227920227
Edward Ferrars,Elinor,0.071062271062271,0.0036764705882353
Edward Ferrars,Marianne,0.0729166666666666,0.0359375
Edward Ferrars,Mrs. Dashwood,-1.1102230246251566e-17,-0.0245098039215686
Elinor,Anne Steele,-0.0225806451612903,0.0104166666666666
Elinor,Charlotte,-0.008695652173913,0.013235294117647
Elinor,Colonel Brandon,0.0073891625615763,0.0151162790697674
Elinor,Edward Ferrars,0.0036764705882353,0.071062271062271
Elinor,John Dashwood,0.029047619047619,-0.006031746031746
Elinor,John Middleton,0.0,0.1029411764705882
Elinor,Lucy Steele,0.0226385636221701,0.0182898948331047
Elinor,Margaret,0.0,0.0
Elinor,Marianne,0.0191064323607426,0.0096976016684045
Elinor,Mr. Willoughby,0.0107540485829959,0.0107897153351698
Elinor,Mrs. Dashwood,0.0420833333333333,0.0247660979636764
Elinor,Mrs. Jennings,-0.0074231177094379,0.0185935198821796
Fanny,John Dashwood,0.0009920634920635,0.0166083916083915
John Dashwood,Elinor,-0.006031746031746,0.029047619047619
John Dashwood,Fanny,0.0166083916083915,0.0009920634920635
John Dashwood,Mrs. Jennings,0.0,0.0
John Middleton,Colonel Brandon,0.0666666666666666,0.0
John Middleton,Elinor,0.1029411764705882,0.0
John Middleton,Marianne,-0.0113636363636363,0.0
John Middleton,Mrs. Dashwood,0.0,0.0952380952380952
John Middleton,Mrs. Jennings,0.0,0.0
Lucy Steele,Anne Steele,-0.0138888888888888,0.0168067226890756
Lucy Steele,Elinor,0.0182898948331047,0.0226385636221701
Margaret,Elinor,0.0,0.0
Margaret,Marianne,0.0,0.0
Margaret,Mrs. Jennings,0.0,0.0
Marianne,Edward Ferrars,0.0359375,0.0729166666666666
Marianne,Elinor,0.0096976016684045,0.0191064323607426
Marianne,John Middleton,0.0,-0.0113636363636363
Marianne,Margaret,0.0,0.0
Marianne,Mr. Willoughby,0.0666666666666666,0.0193548387096774
Marianne,Mrs. Dashwood,0.0028169014084506,0.0023310023310023
Marianne,Mrs. Jennings,0.3333333333333333,0.0559006211180124
Mr. Palmer,Charlotte,0.0166666666666666,-0.0156249999999999
Mr. Willoughby,Elinor,0.0107897153351698,0.0107540485829959
Mr. Willoughby,Marianne,0.0193548387096774,0.0666666666666666
Mr. Willoughby,Mrs. Dashwood,4.6746232615796056e-17,0.0277777777777778
Mrs. Dashwood,Edward Ferrars,-0.0245098039215686,-1.1102230246251566e-17
Mrs. Dashwood,Elinor,0.0247660979636764,0.0420833333333333
Mrs. Dashwood,John Middleton,0.0952380952380952,0.0
Mrs. Dashwood,Marianne,0.0023310023310023,0.0028169014084506
Mrs. Dashwood,Mr. Willoughby,0.0277777777777778,4.6746232615796056e-17
Mrs. Dashwood,Thomas,0.0560344827586206,0.0457317073170731
Mrs. Jennings,Anne Steele,0.0,0.0
Mrs. Jennings,Colonel Brandon,-0.0227920227920227,0.0641975308641975
Mrs. Jennings,Elinor,0.0185935198821796,-0.0074231177094379
Mrs. Jennings,John Dashwood,0.0,0.0
Mrs. Jennings,John Middleton,0.0,0.0
Mrs. Jennings,Margaret,0.0,0.0
Mrs. Jennings,Marianne,0.0559006211180124,0.3333333333333333
Thomas,Mrs. Dashwood,0.0457317073170731,0.0560344827586206
