family,gender,mean_conv
adverbs,F,0.022261489182456743
adverbs,M,0.012407187501681597
articles,F,-0.0166089498539112
articles,M,0.01314879029019411
auxiliary_verbs,F,-0.0034690121441957058
auxiliary_verbs,M,0.01697449310443493
conjunctions,F,0.005699039888060341
conjunctions,M,0.013569298408507915
impersonal_pronouns,F,0.006350710473424998
impersonal_pronouns,M,0.03718544097106878
negations,F,0.01210867371100486
negations,M,-0.00649902039775629
personal_pronouns,F,0.0022172909144903127
personal_pronouns,M,0.004691083872815966
prepositions,F,-0.0030945074772502205
prepositions,M,0.01120576648108727
quantifiers,F,0.012076933882436074
quantifiers,M,0.023840635220722335
