family,gender,mean_conv
adverbs,F,0.021203807787223035
adverbs,M,0.013855595025498739
articles,F,0.019920299578689425
articles,M,0.011065530938154275
auxiliary_verbs,F,0.020786384777200188
auxiliary_verbs,M,0.008490293394301704
conjunctions,F,-0.008222899134309824
conjunctions,M,0.013744561911253525
impersonal_pronouns,F,0.01715744640799877
impersonal_pronouns,M,0.04151215181278006
negations,F,0.008424435046007739
negations,M,0.013476417629620357
personal_pronouns,F,0.015954933471861898
personal_pronouns,M,-0.00043265967057564694
prepositions,F,0.013420549164435115
prepositions,M,-0.002748719909619349
quantifiers,F,-0.011158358954975219
quantifiers,M,0.00021779722981626515
