family,gender,mean_conv
adverbs,F,-0.04829931972789115
adverbs,M,-0.00942857142857143
articles,F,0.036596119929453254
articles,M,-0.016213151927437646
auxiliary_verbs,F,0.0018398268398268384
auxiliary_verbs,M,-0.013341543513957312
conjunctions,F,-0.019444444444444445
conjunctions,M,-0.02607142857142859
impersonal_pronouns,F,-0.04512471655328798
impersonal_pronouns,M,-0.033521303258145375
negations,F,-0.03611111111111112
negations,M,-0.020833333333333356
personal_pronouns,F,-0.01140873015873016
personal_pronouns,M,-0.0024916943521594713
prepositions,F,-0.05057319223985891
prepositions,M,-0.01251932591218306
quantifiers,F,0.031190476190476178
quantifiers,M,-0.038333333333333344
