family,importance,mean_conv
adverbs,intermediate,0.008179321579958716
adverbs,major,0.021390748900495724
adverbs,minor,-0.01666666666666668
articles,intermediate,-0.005235375341978013
articles,major,0.007467741671526472
articles,minor,0.029166666666666664
auxiliary_verbs,intermediate,0.017283011231052678
auxiliary_verbs,major,0.008233353237373666
auxiliary_verbs,minor,0.015476190476190477
conjunctions,intermediate,0.0030236083221007216
conjunctions,major,0.004465842014560604
conjunctions,minor,0.1476190476190476
impersonal_pronouns,intermediate,0.03815418506684715
impersonal_pronouns,major,0.029812745257281604
impersonal_pronouns,minor,-0.075
negations,intermediate,0.002923452234753058
negations,major,0.0007239468335902397
negations,minor,-0.16666666666666669
personal_pronouns,intermediate,0.002982749192433578
personal_pronouns,major,0.003491225197390137
personal_pronouns,minor,0.011111111111111115
prepositions,intermediate,-0.010821911578461334
prepositions,major,0.004293530566472521
prepositions,minor,0.08541666666666665
quantifiers,intermediate,-0.013070086060646706
quantifiers,major,0.03704654929942678
quantifiers,minor,-0.05416666666666668
