character,out_degree,in_degree,adaptability_out_strength,adaptability_in_strength,betweenness,betweenness_weighted,gender,category
Oliver Twist,18,21,1.4269174951232095,0.6491090295986252,0.2151287089530124,0.33421052631578946,M,major
Fagin,13,14,0.7300771045111072,0.5281881702708348,0.09674441618752763,0.10157894736842105,M,major
Mr. Bumble,14,13,0.4980471482387824,1.0078155506782858,0.12022261536193425,0.21649122807017543,M,major
Bill Sikes,9,9,0.43365583590947576,0.3459716654580959,0.04811157796451912,0.06403508771929824,M,major
Mr. Giles,7,6,0.3845214045214044,0.467980957677843,0.02567342915369231,0.0963157894736842,M,intermediate
Josiah Bounderby,11,12,0.38290162078688544,0.356524343265557,0.011395711500974657,0.022982456140350875,M,major
Noah Claypole,6,4,0.37598963624990794,0.2701423986522507,0.02023586539879109,0.05947368421052631,M,major
Mr. Brownlow,12,13,0.373920050051633,0.3549564611736081,0.13169565885897155,0.13877192982456138,M,major
Mrs. Corney,6,6,0.36628250442760957,0.2363688356157807,0.09052631578947368,0.09175438596491227,F,major
Mrs. Maylie,5,5,0.3448049989226457,0.1997215679200971,0.007146078580289108,0.07578947368421052,F,intermediate
Thomas Gradgrind,9,10,0.3317431628000069,0.1668283966686636,0.00905653021442495,0.011403508771929824,M,major
The Artful Dodger,7,6,0.3205759568964575,0.4805574913694102,0.04745614035087719,0.09473684210526315,M,intermediate
Mr. Losberne,9,9,0.2944946054403198,0.501333953500724,0.07168724525961366,0.07999999999999999,M,major
Rose Maylie,8,8,0.2722461218435801,0.1623490565816967,0.03703802118933697,0.0,F,major
Louisa Bounderby,10,9,0.24858716461496802,0.406090572750707,0.009506822612085769,0.01631578947368421,F,major
Stephen Blackpool,6,8,0.2439812776677182,0.10935846620069381,0.006710526315789473,0.008070175438596491,M,major
Young Thomas,7,7,0.2183289210426108,0.3309555637509927,0.0017436647173489277,0.00543859649122807,M,major
Charley Bates,4,4,0.2012803580600189,0.3235968830396073,0.0,0.10017543859649122,M,intermediate
Mr. Gamfield,3,2,0.1967032967032966,0.0476190476190476,0.0003508771929824561,0.00017543859649122806,M,minor
Harry Maylie,4,4,0.1711378996042859,0.06887533718653249,0.0,0.0,M,intermediate
The Parish Apothecary's Apprentice,1,1,0.1666666666666666,0.1666666666666666,0.0,0.0,M,minor
The Magistrate With Spectacles,2,2,0.1666666666666666,0.0166666666666666,0.006213450292397661,0.009122807017543859,M,minor
The Landlord Of The Cripples,1,1,0.1651785714285714,0.1666666666666666,0.0,0.0,M,minor
Monks,5,5,0.1611177959279895,0.1030077636769624,0.024803602142611424,0.010526315789473684,M,major
Mr. Sowerberry,3,2,0.1590612673996727,0.0357952704891479,0.0,0.0,M,intermediate
Mr. Fang,3,3,0.1587601626016259,0.07114234449760751,0.020362573099415204,0.0375438596491228,M,intermediate
Barney,2,4,0.1499999999999999,0.0606060606060606,0.0003070175438596491,0.0,M,minor
Mr. Limbkins,3,2,0.1476190476190476,0.0538461538461538,0.010643274853801168,0.009298245614035087,M,minor
Cecilia Jupe,7,7,0.1464411564882033,0.21430710108209922,0.003086744639376218,0.004736842105263157,F,major
The Magistrate At The Dodger's Trial,1,1,0.1428571428571428,0.0,0.0,0.0,M,minor
Mrs. Sowerberry,4,4,0.1408730158730158,0.17059727116653112,0.009505639097744361,0.0,F,intermediate
The Turnkey,2,2,0.13888888888888878,0.1354166666666666,0.001232001572558848,0.022280701754385963,M,minor
Mr. James Harthouse,6,6,0.1359395237536029,0.18090202488544432,0.00591374269005848,0.005614035087719298,M,major
Rachel Gradgrind,4,4,0.1255672868743995,0.0739185110663983,0.0002607212475633528,0.0,F,intermediate
Mr. Blathers,3,4,0.124136693989635,0.0799999999999999,0.01894736842105263,0.01894736842105263,M,intermediate
Mr. Brittles,3,3,0.1129310344827585,0.1696969696969697,0.0038645825422141205,0.0,M,minor
Mrs. Sparsit,4,6,0.10547536966970289,0.19926297286420508,0.0017982456140350875,0.00017543859649122806,F,major
Nance,6,7,0.10344336413845039,0.19807071980210408,0.036020415715462155,0.02421052631578947,F,major
Toby Crackit,5,5,0.100595238095238,0.1623426573426573,0.01663327436237653,0.010701754385964912,M,intermediate
Jane,1,1,0.0909090909090909,0.0285714285714285,0.0,0.0,F,minor
Master Kidderminster,2,2,0.0875,0.0,0.0,0.0,M,minor
The Old Woman,3,3,0.0872507122507121,0.0741666666666666,0.00028118908382066275,0.0003508771929824561,F,intermediate
The Tinker,2,1,0.0833333333333333,0.0476190476190476,0.0,0.0,M,minor
