pair,adverbs,articles,auxiliary_verbs,conjunctions,impersonal_pronouns,negations,personal_pronouns,prepositions,quantifiers
Bill Sikes→Fagin,0.0490196078431373,-0.0691056910569106,-0.0059825126553152,-0.056910569105691,0.012794882047181,0.0848356309650053,0.0196182396606574,-0.0199920031987205,0.024390243902439
Fagin→Bill Sikes,0.0,0.0473867595818815,0.056910569105691,0.0480182926829267,0.0704607046070461,0.1829268292682926,0.0085365853658536,0.0917285259809119,0.1128048780487804
Cecilia Jupe→Louisa Bounderby,-0.0404761904761904,-0.0246753246753246,0.0017857142857142,-0.0619047619047619,-0.0527472527472526,0.0357142857142857,-0.0160714285714286,0.001058201058201,0.0
Josiah Bounderby→Mr. James Harthouse,0.1161616161616161,0.0793650793650793,0.0333333333333333,0.0555555555555555,-0.0873015873015872,0.0858585858585858,0.0444444444444444,0.1269841269841269,0.0726495726495726
Fagin→Noah Claypole,-0.0398167723749118,0.0378787878787879,-0.0240206947524019,0.0177489177489177,0.0913185913185913,-0.006060606060606,0.0303030303030302,0.0075757575757575,-0.0565110565110564
Josiah Bounderby→Mrs. Sparsit,0.0888594164456233,0.0496215306980656,0.0104679802955665,0.0411877394636015,0.0526561043802422,0.0689655172413793,-0.0026525198938991,-0.0397607318789584,0.0250783699059561
Mrs. Sparsit→Josiah Bounderby,0.116256157635468,0.0459770114942528,-0.0179910044977511,0.1337931034482758,-0.0721982758620689,-0.04047976011994,0.0028735632183907,-0.0012615643397813,0.0762250453720507
Thomas Gradgrind→Josiah Bounderby,0.0284857571214393,0.073268921095008,-0.0251716247139588,-0.0086956521739131,-0.0590062111801242,0.1381074168797953,0.0119565217391305,-0.0043478260869564,-0.0012787723785166
Young Thomas→Mr. James Harthouse,-0.1032520325203252,-0.0646341463414634,-0.0442073170731707,0.0341463414634146,-0.1190243902439024,0.0012195121951219,-0.0087554721701063,-0.0674796747967479,-0.2826398852223816
Rachel Gradgrind→Stephen Blackpool,0.0193548387096773,-0.1589861751152073,0.053763440860215,-0.0201612903225806,0.2161290322580644,-0.0347394540942928,-0.0053763440860215,-0.010752688172043,0.0023041474654377
Stephen Blackpool→Josiah Bounderby,0.0606060606060605,-0.0252525252525251,0.0151515151515151,0.0175438596491228,0.1090909090909091,0.1565656565656566,0.0202020202020202,0.0812121212121211,0.0909090909090909
Mr. Bumble→Mrs. Corney,0.1155327342747111,0.040650406504065,-0.0083440308087291,0.0429268292682926,-0.0565853658536585,-0.0463414634146341,-0.0055074744295831,-0.018970189701897,-0.018651362984218
Mr. James Harthouse→Louisa Bounderby,0.0416666666666666,0.0514705882352941,0.1228070175438597,0.0083333333333333,0.1153846153846154,-0.1089743589743589,0.0059523809523809,0.0378787878787878,0.1041666666666666
Monks→Mr. Brownlow,-0.0681818181818182,-0.0555555555555555,-0.0256410256410256,-0.0902777777777777,-0.0366666666666666,0.0448717948717948,-0.0179211469534049,-0.014957264957265,-0.2222222222222222
Mr. Brownlow→Monks,0.0242914979757083,0.019298245614035,0.0517826825127334,-0.0335753176043557,0.0127591706539075,0.1578947368421052,-0.0185758513931888,-0.0095693779904305,-0.0194931773879142
Louisa Bounderby→Thomas Gradgrind,-0.1215094339622641,-0.0883813306852036,-0.0601976639712488,-0.0361635220125786,-0.0371069182389937,0.0349056603773584,0.0031446540880503,-0.0287984111221449,0.0125786163522012
Louisa Bounderby→Young Thomas,-0.0192307692307692,0.0240384615384615,0.0205128205128205,0.0466200466200465,-0.0073260073260074,0.1153846153846153,-0.0085470085470086,-0.0539345711759504,0.0564102564102564
Josiah Bounderby→Thomas Gradgrind,-0.0401785714285714,-0.0476190476190476,-0.044973544973545,-0.1563146997929607,-0.0158730158730158,-0.0980392156862745,0.0128205128205127,-0.0142857142857142,-0.0392156862745097
Josiah Bounderby→Stephen Blackpool,0.0,-0.0992063492063492,-0.0595238095238095,-0.1547619047619048,0.0477777777777778,-0.2420634920634921,-0.0641025641025641,0.0,0.0555555555555555
Thomas Gradgrind→Louisa Bounderby,-0.0625,-0.0439560439560439,-0.0456043956043955,-0.1137123745819398,-0.0294871794871794,-0.0664335664335664,-0.0210196779964221,-0.0938914027149321,-0.1778846153846153
Young Thomas→Louisa Bounderby,-0.0538461538461538,0.0634278002699055,-0.0263736263736263,-0.1575091575091575,0.0389036251105217,-0.1333333333333333,0.0213675213675212,-0.0371352785145888,-0.1179487179487179
Nance→Rose Maylie,-0.0185185185185185,-0.0339366515837104,-0.0106951871657754,0.0365111561866126,-0.0020283975659229,-0.0196078431372549,-0.0183823529411765,-0.0415821501014198,0.0392156862745097
Mrs. Corney→Monks,-0.1538461538461538,-0.1179487179487179,-0.0351170568561872,0.0897435897435897,-0.0040485829959514,-0.1076923076923077,-0.053113553113553,-0.1221719457013574,0.0
Nance→Bill Sikes,-0.0661268556005398,-0.0128205128205127,0.0695970695970695,0.0358974358974358,0.0133333333333334,-0.1794871794871795,-0.0198511166253102,0.0512820512820513,0.082051282051282
Noah Claypole→Mrs. Bolter,0.0204603580562659,-0.062111801242236,-0.0217391304347825,0.0802675585284281,-0.0496894409937888,,-0.0521739130434782,-0.0230179028132992,0.0158102766798419
Nance→Mr. Brownlow,-0.0952380952380952,0.0454545454545454,-0.0654761904761904,0.0384615384615384,-0.0238095238095237,0.1153846153846154,-0.025,0.0,
Noah Claypole→Fagin,0.0492359932088285,0.1497695852534561,0.1265884652981427,0.007168458781362,0.1381048387096773,,-0.063667232597623,-0.0276497695852534,0.1021505376344085
Mr. Brownlow→Nance,-0.0583333333333332,-0.0113636363636363,0.0416666666666666,-0.1666666666666666,0.0166666666666666,0.0946969696969697,-0.0297619047619047,-0.025,
Mr. James Harthouse→Young Thomas,0.1036036036036036,0.0790020790020789,0.0623700623700623,0.0245700245700245,-0.0057915057915057,,0.0207207207207207,0.0245700245700245,0.0945945945945945
Harry Maylie→Rose Maylie,0.1082251082251082,-0.2510822510822511,0.0476190476190476,-0.0476190476190475,0.0505952380952381,,0.0,0.0,-0.1125541125541125
Bitzer→Mrs. Sparsit,0.0288461538461538,-0.082995951417004,-0.0138461538461538,-0.0692307692307692,0.0435897435897436,,-0.0020242914979757,0.0,-0.141025641025641
Bill Sikes→Nance,0.0385109114249037,-0.0615058324496288,-0.0609756097560976,-0.0146341463414633,-0.0429268292682927,,-0.015820698747528,0.04121110176619,0.0853658536585366
