a_speaker,b_speaker,n_features,n_pairs,n_triggers_total,mean_conv,mean_conv_w,a_gender,a_category,b_gender,b_category
Oliver Twist,The Doctor,1,4,2,0.5,0.5,M,major,M,minor
Oliver Twist,The Artful Dodger,9,10,37,0.2555555555555556,0.2378378378378378,M,major,M,intermediate
Noah Claypole,Mr. Bumble,5,4,13,0.2,0.1923076923076923,M,major,M,major
The Magistrate With Spectacles,Mr. Bumble,3,3,6,0.1666666666666666,0.1666666666666666,M,minor,M,major
The Parish Apothecary's Apprentice,Mrs. Corney,3,3,6,0.1666666666666666,0.1666666666666666,M,minor,F,major
The Landlord Of The Cripples,Fagin,9,7,32,0.1645502645502645,0.1651785714285714,M,minor,M,major
Oliver Twist,Noah Claypole,8,10,28,0.1791666666666666,0.1642857142857142,M,major,M,major
Mr. Bumble,Oliver Twist,7,8,27,0.1761904761904762,0.1481481481481481,M,major,M,major
The Magistrate At The Dodger's Trial,The Jailer At The Dodger's Trial,3,3,7,0.1666666666666666,0.1428571428571428,M,minor,M,minor
Mr. Fang,The Book-stall Keeper,6,5,20,0.1583333333333333,0.1299999999999999,M,intermediate,M,minor
Mr. Giles,Mr. Losberne,9,6,30,0.1388888888888889,0.1222222222222222,M,intermediate,M,major
Mrs. Corney,Mrs. Thingummy,8,6,22,0.1041666666666666,0.1136363636363636,F,major,F,intermediate
Young Thomas,Mrs. Sparsit,9,8,34,0.1175925925925926,0.1066176470588235,M,major,F,major
Josiah Bounderby,Cecilia Jupe,8,6,30,0.1270833333333333,0.1055555555555555,M,major,F,major
The Artful Dodger,Bill Sikes,5,3,10,0.1,0.1,M,intermediate,M,major
Mr. Limbkins,The Gentleman In The White Waistcoat,4,3,10,0.125,0.1,M,minor,M,minor
Mr. Brittles,Mr. Losberne,5,4,15,0.0999999999999999,0.0999999999999999,M,minor,M,major
Mr. Sowerberry,Mrs. Sowerberry,9,7,31,0.1195767195767196,0.0921658986175115,M,intermediate,F,intermediate
Jane,Louisa Bounderby,5,4,11,0.1,0.0909090909090909,F,minor,F,major
Fagin,Toby Crackit,5,6,11,0.1,0.0909090909090909,M,major,M,intermediate
