A,B,i_merge_id,j_merge_id,i_text,j_text,i_addressees,A_gender,A_category,B_gender,B_category,novel
Thomas Gradgrind,Cecilia Jupe,2,3,girl number twenty i don t know that girl who is that girl,sissy jupe sir,Bitzer; Cecilia Jupe; Josiah Bounderby; Mr. M'choakumchild,M,major,F,major,HardTimes
Cecilia Jupe,Thomas Gradgrind,3,4,sissy jupe sir,sissy is not a name don t call yourself sissy call yourself cecilia,Bitzer; Josiah Bounderby; Mr. M'choakumchild; Thomas Gradgrind,F,major,M,major,HardTimes
Thomas Gradgrind,Cecilia Jupe,4,5,sissy is not a name don t call yourself sissy call yourself cecilia,it s father as calls me sissy sir,Bitzer; Cecilia Jupe; Josiah Bounderby; Mr. M'choakumchild,M,major,F,major,HardTimes
Cecilia Jupe,Thomas Gradgrind,5,6,it s father as calls me sissy sir,then he has no business to do it tell him he mustn t cecilia jupe let me see what is your father,Bitzer; Josiah Bounderby; Mr. M'choakumchild; Thomas Gradgrind,F,major,M,major,HardTimes
Thomas Gradgrind,Cecilia Jupe,6,7,then he has no business to do it tell him he mustn t cecilia jupe let me see what is your father,he belongs to the horse riding if you please sir,Bitzer; Cecilia Jupe; Josiah Bounderby; Mr. M'choakumchild,M,major,F,major,HardTimes
Cecilia Jupe,Thomas Gradgrind,7,8,he belongs to the horse riding if you please sir,we don t want to know anything about that here you mustn t tell us about that here your father breaks horses don t he,Bitzer; Josiah Bounderby; Mr. M'choakumchild; Thomas Gradgrind,F,major,M,major,HardTimes
Thomas Gradgrind,Cecilia Jupe,8,9,we don t want to know anything about that here you mustn t tell us about that here your father breaks horses don t he,if you please sir when they can get any to break they do break horses in the ring sir,Bitzer; Cecilia Jupe; Josiah Bounderby; Mr. M'choakumchild,M,major,F,major,HardTimes
Cecilia Jupe,Thomas Gradgrind,9,10,if you please sir when they can get any to break they do break horses in the ring sir,you mustn t tell us about the ring here very well then describe your father as a horsebreaker he doctors sick horses i dare say,Bitzer; Josiah Bounderby; Mr. M'choakumchild; Thomas Gradgrind,F,major,M,major,HardTimes
Thomas Gradgrind,Cecilia Jupe,10,11,you mustn t tell us about the ring here very well then describe your father as a horsebreaker he doctors sick horses i dare say,oh yes sir,Bitzer; Cecilia Jupe; Josiah Bounderby; Mr. M'choakumchild,M,major,F,major,HardTimes
Cecilia Jupe,Thomas Gradgrind,11,12,oh yes sir,very well then he is a veterinary surgeon a farrier and horsebreaker give me your definition of a horse girl number twenty unable to define a horse girl number twenty possessed of no facts in reference to one of the commonest of animals some boy s definition of a horse bitzer yours bitzer your definition of a horse,Bitzer; Josiah Bounderby; Mr. M'choakumchild; Thomas Gradgrind,F,major,M,major,HardTimes
Thomas Gradgrind,Bitzer,12,13,very well then he is a veterinary surgeon a farrier and horsebreaker give me your definition of a horse girl number twenty unable to define a horse girl number twenty possessed of no facts in reference to one of the commonest of animals some boy s definition of a horse bitzer yours bitzer your definition of a horse,quadruped graminivorous forty teeth namely twenty four grinders four eye teeth and twelve incisive sheds coat in the spring in marshy countries sheds hoofs too hoofs hard but requiring to be shod with iron age known by marks in mouth,Bitzer; Cecilia Jupe; Josiah Bounderby; Mr. M'choakumchild,M,major,M,intermediate,HardTimes
Bitzer,Thomas Gradgrind,13,14,quadruped graminivorous forty teeth namely twenty four grinders four eye teeth and twelve incisive sheds coat in the spring in marshy countries sheds hoofs too hoofs hard but requiring to be shod with iron age known by marks in mouth,now girl number twenty you know what a horse is,Cecilia Jupe; Josiah Bounderby; Mr. M'choakumchild; Thomas Gradgrind,M,intermediate,M,major,HardTimes
Thomas Gradgrind,Josiah Bounderby,14,15,now girl number twenty you know what a horse is,very well that s a horse now let me ask you girls and boys would you paper a room with representations of horses,Bitzer; Cecilia Jupe; Josiah Bounderby; Mr. M'choakumchild,M,major,M,major,HardTimes
Josiah Bounderby,Thomas Gradgrind,17,18,of course no why wouldn t you you must paper it,you must paper it whether you like it or not don t tell us you wouldn t paper it what do you mean boy,Bitzer; Cecilia Jupe; Mr. M'choakumchild; Thomas Gradgrind,M,major,M,major,HardTimes
Thomas Gradgrind,Josiah Bounderby,18,19,you must paper it whether you like it or not don t tell us you wouldn t paper it what do you mean boy,i ll explain to you then why you wouldn t paper a room with representations of horses do you ever see horses walking up and down the sides of rooms in reality in fact do you of course no why then you are not to see anywhere what you don t see in fact you are not to have anywhere what you don t have in fact what is called taste is only another name for fact this is a new principle a discovery a great discovery now i ll try you again suppose you were going to carpet a room would you use a carpet having a representation of flowers upon it girl number twenty so you would carpet your room or your husband s room if you were a grown woman and had a husband with representations of flowers would you why would you,Bitzer; Cecilia Jupe; Josiah Bounderby; Mr. M'choakumchild,M,major,M,major,HardTimes
_group,Cecilia Jupe,20,21,yes sir no sir,if you please sir i am very fond of flowers,Bitzer; Cecilia Jupe; Mr. M'choakumchild; Thomas Gradgrind,F,minor,F,major,HardTimes
Josiah Bounderby,Cecilia Jupe,22,23,and is that why you would put tables and chairs upon them and have people walking over them with heavy boots,it wouldn t hurt them sir they wouldn t crush and wither if you please sir they would be the pictures of what was very pretty and pleasant and i would fancy,Bitzer; Cecilia Jupe; Mr. M'choakumchild; Thomas Gradgrind,M,major,F,major,HardTimes
Cecilia Jupe,Josiah Bounderby,23,24,it wouldn t hurt them sir they wouldn t crush and wither if you please sir they would be the pictures of what was very pretty and pleasant and i would fancy,ay ay ay but you mustn t fancy that s it you are never to fancy,Bitzer; Josiah Bounderby; Mr. M'choakumchild; Thomas Gradgrind,F,major,M,major,HardTimes
Josiah Bounderby,Thomas Gradgrind,24,25,ay ay ay but you mustn t fancy that s it you are never to fancy,you are not cecilia jupe to do anything of that kind,Bitzer; Cecilia Jupe; Mr. M'choakumchild; Thomas Gradgrind,M,major,M,major,HardTimes
Josiah Bounderby,Thomas Gradgrind,26,27,fact fact fact,fact fact fact,Bitzer; Cecilia Jupe; Mr. M'choakumchild; Thomas Gradgrind,M,major,M,major,HardTimes
Thomas Gradgrind,Josiah Bounderby,27,28,fact fact fact,you are to be in all things regulated and governed by fact we hope to have before long a board of fact composed of commissioners of fact who will force the people to be a people of fact and of nothing but fact you must discard the word fancy altogether you have nothing to do with it you are not to have in any object of use or ornament what would be a contradiction in fact you don t walk upon flowers in fact you cannot be allowed to walk upon flowers in carpets you don t find that foreign birds and butterflies come and perch upon your crockery you cannot be permitted to paint foreign birds and butterflies upon your crockery you never meet with quadrupeds going up and down walls you must not have quadrupeds represented upon walls you must use for all these purposes combinations and modifications in primary colours of mathematical figures which are susceptible of proof and demonstration this is the new discovery this is fact this is taste now if mr m choakumchild will proceed to give his first lesson here mr gradgrind i shall be happy at your request to observe his mode of procedure,Bitzer; Cecilia Jupe; Josiah Bounderby; Mr. M'choakumchild,M,major,M,major,HardTimes
