a_speaker,b_speaker,family,n_pairs,n_triggers,n_b_positives_given_trigger,p1,p0,conv,a_gender,a_category,b_gender,b_category
Bitzer,Mrs. Sparsit,adverbs,26,16,6,0.375,0.34615384615384615,0.028846153846153855,M,intermediate,F,major
Bitzer,Mrs. Sparsit,articles,26,19,8,0.42105263157894735,0.34615384615384615,0.0748987854251012,M,intermediate,F,major
Bitzer,Mrs. Sparsit,auxiliary_verbs,26,25,16,0.64,0.6538461538461539,-0.013846153846153841,M,intermediate,F,major
Bitzer,Mrs. Sparsit,conjunctions,26,15,4,0.26666666666666666,0.2692307692307692,-0.002564102564102555,M,intermediate,F,major
Bitzer,Mrs. Sparsit,impersonal_pronouns,26,15,4,0.26666666666666666,0.4230769230769231,-0.1564102564102564,M,intermediate,F,major
Bitzer,Mrs. Sparsit,negations,26,7,1,0.14285714285714285,0.15384615384615385,-0.010989010989011005,M,intermediate,F,major
Bitzer,Mrs. Sparsit,personal_pronouns,26,19,9,0.47368421052631576,0.4230769230769231,0.05060728744939269,M,intermediate,F,major
Bitzer,Mrs. Sparsit,prepositions,26,20,9,0.45,0.5,-0.04999999999999999,M,intermediate,F,major
Bitzer,Mrs. Sparsit,quantifiers,26,12,4,0.3333333333333333,0.3076923076923077,0.025641025641025605,M,intermediate,F,major
Bitzer,Thomas Gradgrind,adverbs,7,7,3,0.42857142857142855,0.42857142857142855,0.0,M,intermediate,M,major
Bitzer,Thomas Gradgrind,articles,7,6,4,0.6666666666666666,0.7142857142857143,-0.04761904761904767,M,intermediate,M,major
Bitzer,Thomas Gradgrind,auxiliary_verbs,7,7,7,1.0,1.0,0.0,M,intermediate,M,major
Bitzer,Thomas Gradgrind,conjunctions,7,6,2,0.3333333333333333,0.42857142857142855,-0.09523809523809523,M,intermediate,M,major
Bitzer,Thomas Gradgrind,impersonal_pronouns,7,5,5,1.0,0.8571428571428571,0.1428571428571429,M,intermediate,M,major
Bitzer,Thomas Gradgrind,negations,7,4,0,0.0,0.0,0.0,M,intermediate,M,major
Bitzer,Thomas Gradgrind,personal_pronouns,7,5,4,0.8,0.8571428571428571,-0.05714285714285705,M,intermediate,M,major
Bitzer,Thomas Gradgrind,prepositions,7,7,5,0.7142857142857143,0.7142857142857143,0.0,M,intermediate,M,major
Bitzer,Thomas Gradgrind,quantifiers,7,5,2,0.4,0.42857142857142855,-0.028571428571428525,M,intermediate,M,major
Cecilia Jupe,Josiah Bounderby,adverbs,6,4,2,0.5,0.6666666666666666,-0.16666666666666663,F,major,M,major
Cecilia Jupe,Josiah Bounderby,articles,6,5,4,0.8,0.8333333333333334,-0.033333333333333326,F,major,M,major
Cecilia Jupe,Josiah Bounderby,auxiliary_verbs,6,3,2,0.6666666666666666,0.6666666666666666,0.0,F,major,M,major
Cecilia Jupe,Josiah Bounderby,conjunctions,6,4,3,0.75,0.8333333333333334,-0.08333333333333337,F,major,M,major
Cecilia Jupe,Josiah Bounderby,impersonal_pronouns,6,4,3,0.75,0.8333333333333334,-0.08333333333333337,F,major,M,major
Cecilia Jupe,Josiah Bounderby,personal_pronouns,6,4,3,0.75,0.6666666666666666,0.08333333333333337,F,major,M,major
Cecilia Jupe,Josiah Bounderby,prepositions,6,5,4,0.8,0.8333333333333334,-0.033333333333333326,F,major,M,major
Cecilia Jupe,Josiah Bounderby,quantifiers,6,3,3,1.0,0.6666666666666666,0.33333333333333337,F,major,M,major
Cecilia Jupe,Louisa Bounderby,adverbs,31,23,13,0.5652173913043478,0.4838709677419355,0.08134642356241228,F,major,F,major
Cecilia Jupe,Louisa Bounderby,articles,31,21,7,0.3333333333333333,0.3225806451612903,0.010752688172043001,F,major,F,major
Cecilia Jupe,Louisa Bounderby,auxiliary_verbs,31,30,21,0.7,0.7096774193548387,-0.00967741935483879,F,major,F,major
Cecilia Jupe,Louisa Bounderby,conjunctions,31,28,13,0.4642857142857143,0.41935483870967744,0.044930875576036866,F,major,F,major
Cecilia Jupe,Louisa Bounderby,impersonal_pronouns,31,25,13,0.52,0.4838709677419355,0.03612903225806452,F,major,F,major
Cecilia Jupe,Louisa Bounderby,negations,31,18,6,0.3333333333333333,0.3225806451612903,0.010752688172043001,F,major,F,major
Cecilia Jupe,Louisa Bounderby,personal_pronouns,31,30,26,0.8666666666666667,0.8709677419354839,-0.004301075268817178,F,major,F,major
Cecilia Jupe,Louisa Bounderby,prepositions,31,26,17,0.6538461538461539,0.6451612903225806,0.008684863523573227,F,major,F,major
Cecilia Jupe,Louisa Bounderby,quantifiers,31,20,8,0.4,0.2903225806451613,0.10967741935483871,F,major,F,major
Cecilia Jupe,Mr. James Harthouse,adverbs,15,9,7,0.7777777777777778,0.7333333333333333,0.04444444444444451,F,major,M,major
Cecilia Jupe,Mr. James Harthouse,articles,15,7,3,0.42857142857142855,0.7333333333333333,-0.30476190476190473,F,major,M,major
Cecilia Jupe,Mr. James Harthouse,auxiliary_verbs,15,11,10,0.9090909090909091,0.8,0.10909090909090902,F,major,M,major
Cecilia Jupe,Mr. James Harthouse,conjunctions,15,8,5,0.625,0.7333333333333333,-0.10833333333333328,F,major,M,major
Cecilia Jupe,Mr. James Harthouse,impersonal_pronouns,15,6,3,0.5,0.6,-0.09999999999999998,F,major,M,major
Cecilia Jupe,Mr. James Harthouse,negations,15,8,5,0.625,0.5333333333333333,0.09166666666666667,F,major,M,major
Cecilia Jupe,Mr. James Harthouse,personal_pronouns,15,13,12,0.9230769230769231,0.9333333333333333,-0.01025641025641022,F,major,M,major
Cecilia Jupe,Mr. James Harthouse,prepositions,15,11,9,0.8181818181818182,0.8666666666666667,-0.048484848484848464,F,major,M,major
Cecilia Jupe,Mr. James Harthouse,quantifiers,15,3,1,0.3333333333333333,0.4,-0.06666666666666671,F,major,M,major
Cecilia Jupe,Rachel Gradgrind,adverbs,11,7,5,0.7142857142857143,0.7272727272727273,-0.012987012987012991,F,major,F,intermediate
Cecilia Jupe,Rachel Gradgrind,articles,11,10,6,0.6,0.6363636363636364,-0.036363636363636376,F,major,F,intermediate
Cecilia Jupe,Rachel Gradgrind,auxiliary_verbs,11,10,7,0.7,0.7272727272727273,-0.027272727272727337,F,major,F,intermediate
Cecilia Jupe,Rachel Gradgrind,conjunctions,11,7,5,0.7142857142857143,0.5454545454545454,0.1688311688311689,F,major,F,intermediate
Cecilia Jupe,Rachel Gradgrind,impersonal_pronouns,11,8,6,0.75,0.5454545454545454,0.20454545454545459,F,major,F,intermediate
Cecilia Jupe,Rachel Gradgrind,negations,11,5,3,0.6,0.45454545454545453,0.14545454545454545,F,major,F,intermediate
Cecilia Jupe,Rachel Gradgrind,personal_pronouns,11,10,8,0.8,0.7272727272727273,0.07272727272727275,F,major,F,intermediate
Cecilia Jupe,Rachel Gradgrind,prepositions,11,8,6,0.75,0.6363636363636364,0.11363636363636365,F,major,F,intermediate
Cecilia Jupe,Rachel Gradgrind,quantifiers,11,6,4,0.6666666666666666,0.5454545454545454,0.12121212121212122,F,major,F,intermediate
Cecilia Jupe,Thomas Gradgrind,adverbs,22,12,8,0.6666666666666666,0.6363636363636364,0.030303030303030276,F,major,M,major
Cecilia Jupe,Thomas Gradgrind,articles,22,8,5,0.625,0.6363636363636364,-0.011363636363636354,F,major,M,major
Cecilia Jupe,Thomas Gradgrind,auxiliary_verbs,22,14,12,0.8571428571428571,0.8636363636363636,-0.006493506493506551,F,major,M,major
Cecilia Jupe,Thomas Gradgrind,conjunctions,22,16,10,0.625,0.6818181818181818,-0.05681818181818177,F,major,M,major
Cecilia Jupe,Thomas Gradgrind,impersonal_pronouns,22,5,3,0.6,0.6363636363636364,-0.036363636363636376,F,major,M,major
Cecilia Jupe,Thomas Gradgrind,negations,22,4,2,0.5,0.5,0.0,F,major,M,major
Cecilia Jupe,Thomas Gradgrind,personal_pronouns,22,18,17,0.9444444444444444,0.9545454545454546,-0.010101010101010166,F,major,M,major
Cecilia Jupe,Thomas Gradgrind,prepositions,22,15,12,0.8,0.8636363636363636,-0.0636363636363636,F,major,M,major
Cecilia Jupe,Thomas Gradgrind,quantifiers,22,6,2,0.3333333333333333,0.3181818181818182,0.015151515151515138,F,major,M,major
Jane,Louisa Bounderby,personal_pronouns,4,3,3,1.0,1.0,0.0,F,minor,F,major
Josiah Bounderby,Cecilia Jupe,adverbs,5,3,2,0.6666666666666666,0.8,-0.13333333333333341,M,major,F,major
Josiah Bounderby,Cecilia Jupe,articles,5,4,4,1.0,1.0,0.0,M,major,F,major
Josiah Bounderby,Cecilia Jupe,auxiliary_verbs,5,3,1,0.3333333333333333,0.6,-0.26666666666666666,M,major,F,major
Josiah Bounderby,Cecilia Jupe,conjunctions,5,4,3,0.75,0.8,-0.050000000000000044,M,major,F,major
Josiah Bounderby,Cecilia Jupe,impersonal_pronouns,5,5,3,0.6,0.6,0.0,M,major,F,major
Josiah Bounderby,Cecilia Jupe,personal_pronouns,5,3,2,0.6666666666666666,0.8,-0.13333333333333341,M,major,F,major
Josiah Bounderby,Cecilia Jupe,prepositions,5,4,3,0.75,0.8,-0.050000000000000044,M,major,F,major
Josiah Bounderby,Cecilia Jupe,quantifiers,5,4,2,0.5,0.6,-0.09999999999999998,M,major,F,major
Josiah Bounderby,Louisa Bounderby,adverbs,8,8,3,0.375,0.375,0.0,M,major,F,major
Josiah Bounderby,Louisa Bounderby,articles,8,4,2,0.5,0.5,0.0,M,major,F,major
Josiah Bounderby,Louisa Bounderby,auxiliary_verbs,8,8,7,0.875,0.875,0.0,M,major,F,major
Josiah Bounderby,Louisa Bounderby,conjunctions,8,5,2,0.4,0.375,0.025000000000000022,M,major,F,major
Josiah Bounderby,Louisa Bounderby,impersonal_pronouns,8,8,5,0.625,0.625,0.0,M,major,F,major
Josiah Bounderby,Louisa Bounderby,personal_pronouns,8,7,7,1.0,1.0,0.0,M,major,F,major
Josiah Bounderby,Louisa Bounderby,prepositions,8,8,6,0.75,0.75,0.0,M,major,F,major
Josiah Bounderby,Louisa Bounderby,quantifiers,8,3,1,0.3333333333333333,0.25,0.08333333333333331,M,major,F,major
Josiah Bounderby,Mr. E. W. B. Childers,adverbs,5,3,3,1.0,1.0,0.0,M,major,M,intermediate
Josiah Bounderby,Mr. E. W. B. Childers,articles,5,4,4,1.0,1.0,0.0,M,major,M,intermediate
Josiah Bounderby,Mr. E. W. B. Childers,conjunctions,5,4,4,1.0,1.0,0.0,M,major,M,intermediate
Josiah Bounderby,Mr. E. W. B. Childers,personal_pronouns,5,4,4,1.0,1.0,0.0,M,major,M,intermediate
Josiah Bounderby,Mr. E. W. B. Childers,prepositions,5,3,3,1.0,1.0,0.0,M,major,M,intermediate
Josiah Bounderby,Mr. James Harthouse,adverbs,18,11,7,0.6363636363636364,0.6111111111111112,0.025252525252525193,M,major,M,major
Josiah Bounderby,Mr. James Harthouse,articles,18,14,5,0.35714285714285715,0.2777777777777778,0.07936507936507936,M,major,M,major
Josiah Bounderby,Mr. James Harthouse,auxiliary_verbs,18,15,8,0.5333333333333333,0.5,0.033333333333333326,M,major,M,major
Josiah Bounderby,Mr. James Harthouse,conjunctions,18,15,3,0.2,0.2777777777777778,-0.07777777777777778,M,major,M,major
Josiah Bounderby,Mr. James Harthouse,impersonal_pronouns,18,14,8,0.5714285714285714,0.4444444444444444,0.12698412698412698,M,major,M,major
Josiah Bounderby,Mr. James Harthouse,negations,18,11,3,0.2727272727272727,0.2777777777777778,-0.005050505050505083,M,major,M,major
Josiah Bounderby,Mr. James Harthouse,personal_pronouns,18,15,9,0.6,0.5555555555555556,0.0444444444444444,M,major,M,major
Josiah Bounderby,Mr. James Harthouse,prepositions,18,14,6,0.42857142857142855,0.4444444444444444,-0.015873015873015872,M,major,M,major
Josiah Bounderby,Mr. James Harthouse,quantifiers,18,13,3,0.23076923076923078,0.3888888888888889,-0.1581196581196581,M,major,M,major
Josiah Bounderby,Mrs. Sparsit,adverbs,56,37,20,0.5405405405405406,0.625,-0.08445945945945943,M,major,F,major
Josiah Bounderby,Mrs. Sparsit,articles,56,40,16,0.4,0.42857142857142855,-0.028571428571428525,M,major,F,major
Josiah Bounderby,Mrs. Sparsit,auxiliary_verbs,56,54,44,0.8148148148148148,0.8214285714285714,-0.006613756613756627,M,major,F,major
