a_speaker,b_speaker,n_features,n_pairs,n_triggers_total,mean_conv,mean_conv_w,a_gender,a_category,b_gender,b_category
Bitzer,Mrs. Sparsit,9,26,148,-0.005979585716427828,-0.004417879417879423,M,intermediate,F,major
Bitzer,Thomas Gradgrind,9,7,52,-0.009523809523809509,-0.010989010989010976,M,intermediate,M,major
Cecilia Jupe,Josiah Bounderby,8,6,32,0.00208333333333334,-0.010416666666666661,F,major,M,major
Cecilia Jupe,Louisa Bounderby,9,31,221,0.03203283288837285,0.029192818566632597,F,major,F,major
Cecilia Jupe,Mr. James Harthouse,9,15,76,-0.04370012703346035,-0.028070175438596478,F,major,M,major
Cecilia Jupe,Rachel Gradgrind,9,11,71,0.08330928330928332,0.07298335467349552,F,major,F,intermediate
Cecilia Jupe,Thomas Gradgrind,9,22,98,-0.015480198813532155,-0.019944341372912816,F,major,M,major
Jane,Louisa Bounderby,1,4,3,0.0,0.0,F,minor,F,major
Josiah Bounderby,Cecilia Jupe,8,5,30,-0.0916666666666667,-0.08000000000000003,M,major,F,major
Josiah Bounderby,Louisa Bounderby,8,8,51,0.013541666666666667,0.007352941176470589,M,major,F,major
Josiah Bounderby,Mr. E. W. B. Childers,5,5,18,0.0,0.0,M,major,M,intermediate
Josiah Bounderby,Mr. James Harthouse,9,18,122,0.00583983917317249,0.006830601092896162,M,major,M,major
Josiah Bounderby,Mrs. Sparsit,9,56,342,-0.00957489696260383,-0.014828738512949058,M,major,F,major
Josiah Bounderby,Rachel Gradgrind,9,7,48,-0.047883597883597834,-0.04166666666666662,M,major,F,intermediate
Josiah Bounderby,Stephen Blackpool,9,36,215,-0.04425993759327093,-0.04121447028423773,M,major,M,major
Josiah Bounderby,Thomas Gradgrind,9,40,234,-0.024112030040822637,-0.01848290598290601,M,major,M,major
Josiah Bounderby,Young Thomas,6,6,25,-0.075,-0.05333333333333332,M,major,M,major
Louisa Bounderby,Cecilia Jupe,9,29,120,-0.039165532461678504,-0.03045977011494254,F,major,F,major
