family,gender,mean_conv
adverbs,F,0.019534532872640346
adverbs,M,0.007093947023034313
articles,F,-0.023148747216633604
articles,M,0.00675635224860315
auxiliary_verbs,F,0.008004052024985553
auxiliary_verbs,M,-0.0011038796735260475
conjunctions,F,0.031076213570024387
conjunctions,M,0.005353123196278514
impersonal_pronouns,F,-0.003110535396423294
impersonal_pronouns,M,0.030280609569105853
negations,F,0.029111220246658256
negations,M,0.0046210172601181335
personal_pronouns,F,0.0037000348114782666
personal_pronouns,M,0.016287260264484543
prepositions,F,0.004037033514559134
prepositions,M,0.014391081054097851
quantifiers,F,-0.002280209474815448
quantifiers,M,0.010041528977529047
