family,gender,mean_conv
adverbs,F,-0.06250000000000001
adverbs,M,-0.03412698412698412
articles,F,-0.016666666666666663
articles,M,-0.042658730158730174
auxiliary_verbs,F,-0.018518518518518528
auxiliary_verbs,M,-0.022108843537414966
conjunctions,F,-0.013888888888888895
conjunctions,M,-0.09841269841269844
impersonal_pronouns,F,-0.08333333333333334
impersonal_pronouns,M,-0.04988662131519273
negations,M,0.04444444444444443
personal_pronouns,F,-0.0033333333333333327
personal_pronouns,M,0.007440476190476192
prepositions,F,-0.009523809523809521
prepositions,M,-0.056596578025149454
quantifiers,F,0.0
quantifiers,M,0.011904761904761904
