family,gender,mean_conv
adverbs,F,-0.03677726492688169
adverbs,M,0.020177628824587318
articles,F,0.016404959409334337
articles,M,0.0098293307530403
auxiliary_verbs,F,-0.002899106750648835
auxiliary_verbs,M,-0.0028343196648894856
conjunctions,F,-0.018852001535648526
conjunctions,M,0.018639796337113625
impersonal_pronouns,F,0.0015405499066102066
impersonal_pronouns,M,-0.03383858102940427
negations,F,-0.03548190644978991
negations,M,0.025982872133546622
personal_pronouns,F,-0.007987348110546601
personal_pronouns,M,0.004724351830221403
prepositions,F,-0.006307953645867385
prepositions,M,-0.009536859532483725
quantifiers,F,0.004202733199293627
quantifiers,M,0.028343251045622807
