family,gender,mean_conv
adverbs,F,-0.0032800057305165786
adverbs,M,-0.001671936903897389
articles,F,0.03266368820275503
articles,M,7.585291940070688e-05
auxiliary_verbs,F,0.0037023755792416975
auxiliary_verbs,M,-0.007486836467443255
conjunctions,F,0.041089594440936024
conjunctions,M,-0.021785931181978274
impersonal_pronouns,F,-0.0364715270920665
impersonal_pronouns,M,-0.0066794507338617404
negations,F,-0.01270653569504144
negations,M,0.008350327033096199
personal_pronouns,F,0.0018677343243225682
personal_pronouns,M,-0.0018457031263580438
prepositions,F,0.0008082915491332554
prepositions,M,-0.014462229117407261
quantifiers,F,0.043330794800230533
quantifiers,M,0.0030587403865673444
