family,importance,mean_conv
adverbs,intermediate,-0.018137649387649387
adverbs,major,0.01848668580434196
adverbs,minor,0.08333333333333331
articles,intermediate,-0.03543004453935628
articles,major,0.004149470582133249
auxiliary_verbs,intermediate,-0.014235158780613348
auxiliary_verbs,major,0.008575769991735822
auxiliary_verbs,minor,-0.08333333333333337
conjunctions,intermediate,-0.004052260870442687
conjunctions,major,0.017214828970938515
conjunctions,minor,0.16666666666666663
impersonal_pronouns,intermediate,-0.009708115958115965
impersonal_pronouns,major,0.023579874037001004
negations,intermediate,0.056990540323873656
negations,major,0.0037238980302335004
personal_pronouns,intermediate,-0.0074586681874131205
personal_pronouns,major,0.016567334836994053
personal_pronouns,minor,0.0
prepositions,intermediate,-0.013991563991563998
prepositions,major,0.012505232592020342
prepositions,minor,0.25
quantifiers,intermediate,-0.029244644244644253
quantifiers,major,0.01399901446874102
