family,importance,mean_conv
adverbs,intermediate,-0.08333333333333334
adverbs,major,-0.03601190476190476
articles,intermediate,0.04166666666666666
articles,major,-0.0481859410430839
auxiliary_verbs,intermediate,-0.02777777777777779
auxiliary_verbs,major,-0.01831501831501832
conjunctions,intermediate,-0.08333333333333336
conjunctions,major,-0.05222222222222224
impersonal_pronouns,intermediate,-0.08333333333333334
impersonal_pronouns,major,-0.04988662131519273
negations,intermediate,0.16666666666666663
negations,major,0.013888888888888881
personal_pronouns,intermediate,0.0
personal_pronouns,major,0.002014652014652016
personal_pronouns,minor,0.0
prepositions,intermediate,-0.041666666666666685
prepositions,major,-0.03450085268267086
prepositions,minor,0.0
quantifiers,intermediate,0.0
quantifiers,major,0.009523809523809523
