family,importance,mean_conv
adverbs,intermediate,-0.024419883751681
adverbs,major,0.006536220013108829
adverbs,minor,-0.04166666666666667
articles,intermediate,0.023257344782174998
articles,major,0.0042039288989256345
articles,minor,0.08333333333333333
auxiliary_verbs,intermediate,-0.005441677498129103
auxiliary_verbs,major,-0.005254410505493064
auxiliary_verbs,minor,0.055555555555555546
conjunctions,intermediate,-0.025082649798019822
conjunctions,major,0.016624998258727104
conjunctions,minor,-0.04166666666666667
impersonal_pronouns,intermediate,-0.012190381829850524
impersonal_pronouns,major,-0.021728798406824314
impersonal_pronouns,minor,0.0
negations,intermediate,-0.019012335885785017
negations,major,0.004787229710956969
personal_pronouns,intermediate,-0.014679369200991084
personal_pronouns,major,0.0038055693918962845
personal_pronouns,minor,0.0
prepositions,intermediate,-0.00654294050878491
prepositions,major,-0.00787784929640085
prepositions,minor,-0.020833333333333343
quantifiers,intermediate,0.002599179150047635
quantifiers,major,0.023873117911263012
quantifiers,minor,0.0
