family,importance,mean_conv
adverbs,intermediate,0.04850602966544996
adverbs,major,0.017642252541114935
adverbs,minor,0.09999999999999998
articles,intermediate,-0.010895839265404461
articles,major,-0.017792617335328213
auxiliary_verbs,intermediate,-0.016648805701229275
auxiliary_verbs,major,-0.008261785624251968
auxiliary_verbs,minor,-0.09999999999999998
conjunctions,intermediate,-0.0060854034585918525
conjunctions,major,-0.013958299459709162
conjunctions,minor,0.06666666666666665
impersonal_pronouns,intermediate,0.018139080457921064
impersonal_pronouns,major,-0.01924629723294686
impersonal_pronouns,minor,-0.26666666666666666
negations,intermediate,0.005985133023176492
negations,major,-0.004777831610571837
personal_pronouns,intermediate,-0.0015126120716182911
personal_pronouns,major,0.00150886360872877
personal_pronouns,minor,0.0
prepositions,intermediate,0.0158842860347877
prepositions,major,-0.008502492744256141
quantifiers,intermediate,0.006513484502614943
quantifiers,major,0.012990792242978388
