character,out_degree,in_degree,adaptability_out_strength,adaptability_in_strength,betweenness,betweenness_weighted,gender,category
Josiah Bounderby,9,9,0.29627951890094095,0.3122580833902022,0.20341269841269843,0.5238095238095238,M,major
Young Thomas,5,5,0.27341262223862034,0.16552183391713748,0.024013605442176872,0.0380952380952381,M,major
Thomas Gradgrind,9,7,0.26998008691572106,0.1175670980979154,0.2909863945578231,0.22380952380952382,M,major
Louisa Bounderby,9,9,0.2399747983895048,0.2922486400712824,0.22319727891156466,0.40952380952380957,F,major
Mr. James Harthouse,5,5,0.1595362644461277,0.1929774772322656,0.015045351473922905,0.05238095238095239,M,major
Rachel Gradgrind,4,4,0.1344649291340466,0.03373001862502931,0.0038548752834467125,0.0,F,intermediate
Cecilia Jupe,5,7,0.11723939996349832,0.197274851505889,0.045544217687074826,0.04761904761904762,F,major
Mrs. Sparsit,4,4,0.0986312864144165,0.2555543639374348,0.029807256235827664,0.014285714285714287,F,major
Stephen Blackpool,4,5,0.0879733229984363,0.12372343237670008,0.04171201814058957,0.1285714285714286,M,major
Master Kidderminster,1,0,0.0781249999999999,0.0,0.0,0.0,M,minor
Mr. Sleary,2,1,0.0765750087017055,0.0097680097680098,0.0,0.0,M,intermediate
Bitzer,2,2,0.0589174339174338,0.1011214674581011,0.010634920634920636,0.0,M,intermediate
The Old Woman,2,2,0.039039039039039,0.0325,0.007029478458049887,0.0,F,intermediate
Mr. E. W. B. Childers,2,3,0.0309343434343434,0.1126077586206895,0.06666666666666668,0.06666666666666668,M,intermediate
Mrs. Gradgrind,2,2,0.0105263157894736,0.0037037037037037,0.0,0.0,F,intermediate
Jane,1,1,0.0,0.0210526315789473,0.0,0.0,F,minor
