a_speaker,b_speaker,w_ab,w_ba
Bitzer,Mrs. Sparsit,-0.0314449064449064,-0.0205353868720205
Bitzer,Thomas Gradgrind,0.0274725274725274,0.0805860805860806
Cecilia Jupe,Josiah Bounderby,0.0833333333333333,0.0533333333333333
Cecilia Jupe,Louisa Bounderby,-0.0070062764559918,0.0278735632183907
Cecilia Jupe,Mr. James Harthouse,-0.0149122807017543,-0.0147420147420147
Cecilia Jupe,Rachel Gradgrind,-0.0115236875800256,-0.0117647058823529
Cecilia Jupe,Thomas Gradgrind,0.0004638218923933,-0.0307377049180327
Jane,Louisa Bounderby,0.0,0.0210526315789473
Josiah Bounderby,Cecilia Jupe,0.0533333333333333,0.0833333333333333
Josiah Bounderby,Louisa Bounderby,0.0465686274509803,0.0952380952380952
Josiah Bounderby,Mr. E. W. B. Childers,0.0,-0.0208333333333333
Josiah Bounderby,Mr. James Harthouse,0.0560109289617486,0.0115718418514947
Josiah Bounderby,Mrs. Sparsit,0.0290309106098579,0.0246830814236957
Josiah Bounderby,Rachel Gradgrind,0.0208333333333333,0.0205128205128205
Josiah Bounderby,Stephen Blackpool,-0.0458656330749354,0.0541003252867659
Josiah Bounderby,Thomas Gradgrind,-0.0313034188034188,-0.0019852524106636
Louisa Bounderby,Cecilia Jupe,0.0278735632183907,-0.0070062764559918
Louisa Bounderby,Jane,0.0210526315789473,0.0
Louisa Bounderby,Josiah Bounderby,0.0952380952380952,0.0465686274509803
Louisa Bounderby,Mr. James Harthouse,0.0482135170038743,0.0521048999309868
Louisa Bounderby,Mrs. Gradgrind,0.0037037037037037,-0.0105263157894736
Louisa Bounderby,Rachel Gradgrind,5.551115123125783e-18,-0.0806100217864923
Louisa Bounderby,Stephen Blackpool,0.0,0.0
Louisa Bounderby,Thomas Gradgrind,-0.030474840538625,-0.0624202806122449
Louisa Bounderby,Young Thomas,0.0134184471078686,-0.0330122180451127
Mr. E. W. B. Childers,Josiah Bounderby,-0.0208333333333333,0.0
Mr. E. W. B. Childers,Thomas Gradgrind,0.0101010101010101,0.0344827586206896
Mr. James Harthouse,Cecilia Jupe,-0.0147420147420147,-0.0149122807017543
Mr. James Harthouse,Josiah Bounderby,0.0115718418514947,0.0560109289617486
Mr. James Harthouse,Louisa Bounderby,0.0521048999309868,0.0482135170038743
Mr. James Harthouse,Mrs. Sparsit,0.0343642611683848,-0.0113960113960113
Mr. James Harthouse,Young Thomas,0.0467532467532467,-0.0624447391688771
Mr. Sleary,Thomas Gradgrind,-0.0177514792899408,-0.0097680097680098
Mrs. Gradgrind,Louisa Bounderby,-0.0105263157894736,0.0037037037037037
Mrs. Sparsit,Bitzer,-0.0205353868720205,-0.0314449064449064
Mrs. Sparsit,Josiah Bounderby,0.0246830814236957,0.0290309106098579
Mrs. Sparsit,Mr. James Harthouse,-0.0113960113960113,0.0343642611683848
Mrs. Sparsit,Young Thomas,-0.042016806722689,0.1607142857142857
Rachel Gradgrind,Cecilia Jupe,-0.0117647058823529,-0.0115236875800256
Rachel Gradgrind,Josiah Bounderby,0.0205128205128205,0.0208333333333333
Rachel Gradgrind,Louisa Bounderby,-0.0806100217864923,5.551115123125783e-18
Rachel Gradgrind,Stephen Blackpool,-0.0215773809523809,0.0013729977116704
Stephen Blackpool,Josiah Bounderby,0.0541003252867659,-0.0458656330749354
Stephen Blackpool,Louisa Bounderby,0.0,0.0
Stephen Blackpool,Rachel Gradgrind,0.0013729977116704,-0.0215773809523809
Stephen Blackpool,The Old Woman,-0.0325,0.039039039039039
The Old Woman,Stephen Blackpool,0.039039039039039,-0.0325
The Old Woman,Thomas Gradgrind,0.0,0.0
Thomas Gradgrind,Bitzer,0.0805860805860806,0.0274725274725274
Thomas Gradgrind,Cecilia Jupe,-0.0307377049180327,0.0004638218923933
Thomas Gradgrind,Josiah Bounderby,-0.0019852524106636,-0.0313034188034188
Thomas Gradgrind,Louisa Bounderby,-0.0624202806122449,-0.030474840538625
Thomas Gradgrind,Mr. E. W. B. Childers,0.0344827586206896,0.0101010101010101
Thomas Gradgrind,Mr. Sleary,-0.0097680097680098,-0.0177514792899408
Thomas Gradgrind,The Old Woman,0.0,0.0
Young Thomas,Louisa Bounderby,-0.0330122180451127,0.0134184471078686
Young Thomas,Mr. James Harthouse,-0.0624447391688771,0.0467532467532467
Young Thomas,Mrs. Sparsit,0.1607142857142857,-0.042016806722689
