a_speaker,b_speaker,family,n_pairs,n_triggers,n_b_positives_given_trigger,p1,p0,conv,a_gender,a_category,b_gender,b_category
Barney,Bill Sikes,auxiliary_verbs,3,2,1,0.5,0.6666666666666666,-0.16666666666666663,M,minor,M,major
Barney,Bill Sikes,personal_pronouns,3,2,2,1.0,1.0,0.0,M,minor,M,major
Barney,Bill Sikes,prepositions,3,2,2,1.0,0.6666666666666666,0.33333333333333337,M,minor,M,major
Bill Sikes,Charley Bates,adverbs,2,2,1,0.5,0.5,0.0,M,major,M,intermediate
Bill Sikes,Charley Bates,impersonal_pronouns,2,2,1,0.5,0.5,0.0,M,major,M,intermediate
Bill Sikes,Charley Bates,personal_pronouns,2,2,2,1.0,1.0,0.0,M,major,M,intermediate
Bill Sikes,Fagin,adverbs,6,3,0,0.0,0.16666666666666666,-0.16666666666666666,M,major,M,major
Bill Sikes,Fagin,articles,6,5,0,0.0,0.16666666666666666,-0.16666666666666666,M,major,M,major
Bill Sikes,Fagin,auxiliary_verbs,6,2,0,0.0,0.6666666666666666,-0.6666666666666666,M,major,M,major
Bill Sikes,Fagin,conjunctions,6,3,1,0.3333333333333333,0.5,-0.16666666666666669,M,major,M,major
Bill Sikes,Fagin,personal_pronouns,6,6,4,0.6666666666666666,0.6666666666666666,0.0,M,major,M,major
Bill Sikes,Fagin,prepositions,6,4,1,0.25,0.3333333333333333,-0.08333333333333331,M,major,M,major
Bill Sikes,Fagin,quantifiers,6,2,0,0.0,0.3333333333333333,-0.3333333333333333,M,major,M,major
Bill Sikes,Nance,adverbs,8,6,2,0.3333333333333333,0.5,-0.16666666666666669,M,major,F,major
Bill Sikes,Nance,articles,8,5,2,0.4,0.25,0.15000000000000002,M,major,F,major
Bill Sikes,Nance,auxiliary_verbs,8,6,4,0.6666666666666666,0.625,0.04166666666666663,M,major,F,major
Bill Sikes,Nance,conjunctions,8,8,2,0.25,0.25,0.0,M,major,F,major
Bill Sikes,Nance,impersonal_pronouns,8,6,3,0.5,0.5,0.0,M,major,F,major
Bill Sikes,Nance,negations,8,2,0,0.0,0.0,0.0,M,major,F,major
Bill Sikes,Nance,personal_pronouns,8,7,3,0.42857142857142855,0.375,0.05357142857142855,M,major,F,major
Bill Sikes,Nance,prepositions,8,7,2,0.2857142857142857,0.375,-0.0892857142857143,M,major,F,major
Bill Sikes,Nance,quantifiers,8,5,3,0.6,0.625,-0.025000000000000022,M,major,F,major
Bill Sikes,Oliver Twist,adverbs,2,2,2,1.0,1.0,0.0,M,major,M,major
Bill Sikes,Oliver Twist,articles,2,2,1,0.5,0.5,0.0,M,major,M,major
Bill Sikes,Oliver Twist,auxiliary_verbs,2,2,1,0.5,0.5,0.0,M,major,M,major
Bill Sikes,Oliver Twist,conjunctions,2,2,1,0.5,0.5,0.0,M,major,M,major
Bill Sikes,Oliver Twist,impersonal_pronouns,2,2,0,0.0,0.0,0.0,M,major,M,major
Bill Sikes,Oliver Twist,negations,2,2,0,0.0,0.0,0.0,M,major,M,major
Bill Sikes,Oliver Twist,personal_pronouns,2,2,2,1.0,1.0,0.0,M,major,M,major
Bill Sikes,Oliver Twist,prepositions,2,2,1,0.5,0.5,0.0,M,major,M,major
Bill Sikes,Oliver Twist,quantifiers,2,2,1,0.5,0.5,0.0,M,major,M,major
Bill Sikes,Toby Crackit,adverbs,4,2,0,0.0,0.5,-0.5,M,major,M,intermediate
Bill Sikes,Toby Crackit,articles,4,4,4,1.0,1.0,0.0,M,major,M,intermediate
Bill Sikes,Toby Crackit,conjunctions,4,2,1,0.5,0.5,0.0,M,major,M,intermediate
Bill Sikes,Toby Crackit,personal_pronouns,4,2,2,1.0,1.0,0.0,M,major,M,intermediate
Bill Sikes,Toby Crackit,prepositions,4,2,2,1.0,1.0,0.0,M,major,M,intermediate
Charley Bates,Bill Sikes,adverbs,2,2,0,0.0,0.0,0.0,M,intermediate,M,major
Charley Bates,Bill Sikes,articles,2,2,1,0.5,0.5,0.0,M,intermediate,M,major
Charley Bates,Bill Sikes,conjunctions,2,2,1,0.5,0.5,0.0,M,intermediate,M,major
Charley Bates,Bill Sikes,impersonal_pronouns,2,2,2,1.0,1.0,0.0,M,intermediate,M,major
Charley Bates,Bill Sikes,negations,2,2,0,0.0,0.0,0.0,M,intermediate,M,major
Charley Bates,Bill Sikes,personal_pronouns,2,2,2,1.0,1.0,0.0,M,intermediate,M,major
Charley Bates,Bill Sikes,prepositions,2,2,1,0.5,0.5,0.0,M,intermediate,M,major
Charley Bates,Bill Sikes,quantifiers,2,2,1,0.5,0.5,0.0,M,intermediate,M,major
Charley Bates,Fagin,adverbs,4,2,0,0.0,0.5,-0.5,M,intermediate,M,major
Charley Bates,Fagin,articles,4,3,3,1.0,1.0,0.0,M,intermediate,M,major
Charley Bates,Fagin,auxiliary_verbs,4,4,3,0.75,0.75,0.0,M,intermediate,M,major
Charley Bates,Fagin,conjunctions,4,2,2,1.0,0.75,0.25,M,intermediate,M,major
Charley Bates,Fagin,personal_pronouns,4,4,4,1.0,1.0,0.0,M,intermediate,M,major
Charley Bates,Fagin,prepositions,4,2,2,1.0,0.5,0.5,M,intermediate,M,major
Charley Bates,Mr. Chitling,articles,2,2,1,0.5,0.5,0.0,M,intermediate,M,intermediate
Charley Bates,Mr. Chitling,auxiliary_verbs,2,2,2,1.0,1.0,0.0,M,intermediate,M,intermediate
Charley Bates,Mr. Chitling,personal_pronouns,2,2,2,1.0,1.0,0.0,M,intermediate,M,intermediate
Charley Bates,Mr. Chitling,prepositions,2,2,2,1.0,1.0,0.0,M,intermediate,M,intermediate
Charley Bates,Oliver Twist,adverbs,4,2,1,0.5,0.25,0.25,M,intermediate,M,major
Charley Bates,Oliver Twist,auxiliary_verbs,4,2,2,1.0,0.75,0.25,M,intermediate,M,major
Charley Bates,Oliver Twist,impersonal_pronouns,4,2,2,1.0,0.5,0.5,M,intermediate,M,major
Charley Bates,Oliver Twist,personal_pronouns,4,2,2,1.0,1.0,0.0,M,intermediate,M,major
Fagin,Bill Sikes,adverbs,6,4,2,0.5,0.5,0.0,M,major,M,major
Fagin,Bill Sikes,articles,6,3,0,0.0,0.16666666666666666,-0.16666666666666666,M,major,M,major
Fagin,Bill Sikes,auxiliary_verbs,6,4,3,0.75,0.6666666666666666,0.08333333333333337,M,major,M,major
Fagin,Bill Sikes,conjunctions,6,3,2,0.6666666666666666,0.6666666666666666,0.0,M,major,M,major
Fagin,Bill Sikes,impersonal_pronouns,6,4,3,0.75,0.8333333333333334,-0.08333333333333337,M,major,M,major
Fagin,Bill Sikes,personal_pronouns,6,5,5,1.0,1.0,0.0,M,major,M,major
Fagin,Bill Sikes,prepositions,6,4,3,0.75,0.8333333333333334,-0.08333333333333337,M,major,M,major
Fagin,Bill Sikes,quantifiers,6,2,0,0.0,0.3333333333333333,-0.3333333333333333,M,major,M,major
Fagin,Charley Bates,adverbs,7,5,4,0.8,0.7142857142857143,0.08571428571428574,M,major,M,intermediate
Fagin,Charley Bates,auxiliary_verbs,7,5,4,0.8,0.8571428571428571,-0.05714285714285705,M,major,M,intermediate
Fagin,Charley Bates,conjunctions,7,3,2,0.6666666666666666,0.5714285714285714,0.09523809523809523,M,major,M,intermediate
Fagin,Charley Bates,impersonal_pronouns,7,5,2,0.4,0.42857142857142855,-0.028571428571428525,M,major,M,intermediate
Fagin,Charley Bates,negations,7,2,0,0.0,0.14285714285714285,-0.14285714285714285,M,major,M,intermediate
Fagin,Charley Bates,personal_pronouns,7,5,4,0.8,0.8571428571428571,-0.05714285714285705,M,major,M,intermediate
Fagin,Charley Bates,prepositions,7,4,3,0.75,0.5714285714285714,0.1785714285714286,M,major,M,intermediate
