a_speaker,b_speaker,family,n_pairs,n_triggers,n_b_positives_given_trigger,p1,p0,conv,a_gender,a_category,b_gender,b_category
Barney,Bill Sikes,articles,3,3,2,0.6666666666666666,0.6666666666666666,0.0,M,minor,M,major
Barney,Bill Sikes,personal_pronouns,3,3,3,1.0,1.0,0.0,M,minor,M,major
Barney,Bill Sikes,prepositions,3,3,2,0.6666666666666666,0.6666666666666666,0.0,M,minor,M,major
Bill Sikes,Charley Bates,personal_pronouns,3,3,3,1.0,1.0,0.0,M,major,M,intermediate
Bill Sikes,Fagin,adverbs,75,44,31,0.7045454545454546,0.7066666666666667,-0.0021212121212120794,M,major,M,major
Bill Sikes,Fagin,articles,75,38,16,0.42105263157894735,0.4666666666666667,-0.04561403508771933,M,major,M,major
Bill Sikes,Fagin,auxiliary_verbs,75,65,50,0.7692307692307693,0.8,-0.03076923076923077,M,major,M,major
Bill Sikes,Fagin,conjunctions,75,44,22,0.5,0.56,-0.06000000000000005,M,major,M,major
Bill Sikes,Fagin,impersonal_pronouns,75,46,30,0.6521739130434783,0.7066666666666667,-0.054492753623188395,M,major,M,major
Bill Sikes,Fagin,negations,75,26,13,0.5,0.4,0.09999999999999998,M,major,M,major
Bill Sikes,Fagin,personal_pronouns,75,66,61,0.9242424242424242,0.92,0.004242424242424159,M,major,M,major
Bill Sikes,Fagin,prepositions,75,55,36,0.6545454545454545,0.7066666666666667,-0.052121212121212124,M,major,M,major
Bill Sikes,Fagin,quantifiers,75,31,12,0.3870967741935484,0.4,-0.012903225806451646,M,major,M,major
Bill Sikes,Nance,adverbs,39,26,20,0.7692307692307693,0.8205128205128205,-0.05128205128205121,M,major,F,major
Bill Sikes,Nance,articles,39,23,14,0.6086956521739131,0.6153846153846154,-0.006688963210702337,M,major,F,major
Bill Sikes,Nance,auxiliary_verbs,39,28,24,0.8571428571428571,0.8461538461538461,0.01098901098901095,M,major,F,major
Bill Sikes,Nance,conjunctions,39,24,15,0.625,0.6410256410256411,-0.01602564102564108,M,major,F,major
Bill Sikes,Nance,impersonal_pronouns,39,21,16,0.7619047619047619,0.7435897435897436,0.01831501831501825,M,major,F,major
Bill Sikes,Nance,negations,39,20,8,0.4,0.4358974358974359,-0.03589743589743588,M,major,F,major
Bill Sikes,Nance,personal_pronouns,39,33,26,0.7878787878787878,0.7948717948717948,-0.006993006993006978,M,major,F,major
Bill Sikes,Nance,prepositions,39,31,29,0.9354838709677419,0.8717948717948718,0.06368899917287008,M,major,F,major
Bill Sikes,Nance,quantifiers,39,14,7,0.5,0.5384615384615384,-0.038461538461538436,M,major,F,major
Bill Sikes,Oliver Twist,adverbs,4,3,3,1.0,0.75,0.25,M,major,M,major
Bill Sikes,Oliver Twist,articles,4,3,1,0.3333333333333333,0.5,-0.16666666666666669,M,major,M,major
Bill Sikes,Oliver Twist,auxiliary_verbs,4,3,2,0.6666666666666666,0.75,-0.08333333333333337,M,major,M,major
Bill Sikes,Oliver Twist,personal_pronouns,4,4,3,0.75,0.75,0.0,M,major,M,major
Bill Sikes,Oliver Twist,prepositions,4,3,1,0.3333333333333333,0.5,-0.16666666666666669,M,major,M,major
Bill Sikes,The Labouring Man,personal_pronouns,3,3,3,1.0,1.0,0.0,M,major,M,minor
Bill Sikes,Toby Crackit,adverbs,13,10,6,0.6,0.5384615384615384,0.06153846153846154,M,major,M,intermediate
Bill Sikes,Toby Crackit,articles,13,7,3,0.42857142857142855,0.46153846153846156,-0.032967032967033016,M,major,M,intermediate
Bill Sikes,Toby Crackit,auxiliary_verbs,13,12,9,0.75,0.7692307692307693,-0.019230769230769273,M,major,M,intermediate
Bill Sikes,Toby Crackit,conjunctions,13,11,5,0.45454545454545453,0.38461538461538464,0.0699300699300699,M,major,M,intermediate
Bill Sikes,Toby Crackit,impersonal_pronouns,13,11,6,0.5454545454545454,0.5384615384615384,0.006993006993006978,M,major,M,intermediate
Bill Sikes,Toby Crackit,negations,13,8,0,0.0,0.07692307692307693,-0.07692307692307693,M,major,M,intermediate
Bill Sikes,Toby Crackit,personal_pronouns,13,13,12,0.9230769230769231,0.9230769230769231,0.0,M,major,M,intermediate
Bill Sikes,Toby Crackit,prepositions,13,10,4,0.4,0.46153846153846156,-0.06153846153846154,M,major,M,intermediate
Bill Sikes,Toby Crackit,quantifiers,13,7,3,0.42857142857142855,0.3076923076923077,0.12087912087912084,M,major,M,intermediate
Charley Bates,Bill Sikes,articles,3,3,1,0.3333333333333333,0.3333333333333333,0.0,M,intermediate,M,major
Charley Bates,Bill Sikes,personal_pronouns,3,3,3,1.0,1.0,0.0,M,intermediate,M,major
Charley Bates,Fagin,adverbs,20,14,8,0.5714285714285714,0.5,0.0714285714285714,M,intermediate,M,major
Charley Bates,Fagin,articles,20,8,4,0.5,0.55,-0.050000000000000044,M,intermediate,M,major
Charley Bates,Fagin,auxiliary_verbs,20,14,10,0.7142857142857143,0.8,-0.08571428571428574,M,intermediate,M,major
Charley Bates,Fagin,conjunctions,20,11,7,0.6363636363636364,0.65,-0.013636363636363669,M,intermediate,M,major
Charley Bates,Fagin,impersonal_pronouns,20,11,6,0.5454545454545454,0.6,-0.054545454545454564,M,intermediate,M,major
Charley Bates,Fagin,negations,20,10,5,0.5,0.4,0.09999999999999998,M,intermediate,M,major
Charley Bates,Fagin,personal_pronouns,20,17,16,0.9411764705882353,0.95,-0.008823529411764675,M,intermediate,M,major
Charley Bates,Fagin,prepositions,20,12,9,0.75,0.8,-0.050000000000000044,M,intermediate,M,major
Charley Bates,Fagin,quantifiers,20,6,3,0.5,0.55,-0.050000000000000044,M,intermediate,M,major
Charley Bates,The Artful Dodger,adverbs,13,10,5,0.5,0.5384615384615384,-0.038461538461538436,M,intermediate,M,intermediate
Charley Bates,The Artful Dodger,articles,13,10,4,0.4,0.3076923076923077,0.09230769230769231,M,intermediate,M,intermediate
Charley Bates,The Artful Dodger,auxiliary_verbs,13,12,9,0.75,0.7692307692307693,-0.019230769230769273,M,intermediate,M,intermediate
Charley Bates,The Artful Dodger,conjunctions,13,7,2,0.2857142857142857,0.23076923076923078,0.054945054945054916,M,intermediate,M,intermediate
Charley Bates,The Artful Dodger,impersonal_pronouns,13,9,5,0.5555555555555556,0.5384615384615384,0.017094017094017144,M,intermediate,M,intermediate
Charley Bates,The Artful Dodger,negations,13,6,3,0.5,0.5384615384615384,-0.038461538461538436,M,intermediate,M,intermediate
Charley Bates,The Artful Dodger,personal_pronouns,13,12,9,0.75,0.7692307692307693,-0.019230769230769273,M,intermediate,M,intermediate
Charley Bates,The Artful Dodger,prepositions,13,10,7,0.7,0.6923076923076923,0.007692307692307665,M,intermediate,M,intermediate
Charley Bates,The Artful Dodger,quantifiers,13,5,3,0.6,0.3076923076923077,0.29230769230769227,M,intermediate,M,intermediate
Dick,Oliver Twist,adverbs,3,3,1,0.3333333333333333,0.3333333333333333,0.0,M,minor,M,major
Dick,Oliver Twist,conjunctions,3,3,1,0.3333333333333333,0.3333333333333333,0.0,M,minor,M,major
Dick,Oliver Twist,personal_pronouns,3,3,1,0.3333333333333333,0.3333333333333333,0.0,M,minor,M,major
Dick,Oliver Twist,prepositions,3,3,2,0.6666666666666666,0.6666666666666666,0.0,M,minor,M,major
Fagin,Bill Sikes,adverbs,74,42,23,0.5476190476190477,0.6216216216216216,-0.07400257400257393,M,major,M,major
Fagin,Bill Sikes,articles,74,34,14,0.4117647058823529,0.5135135135135135,-0.10174880763116056,M,major,M,major
Fagin,Bill Sikes,auxiliary_verbs,74,56,44,0.7857142857142857,0.7972972972972973,-0.01158301158301156,M,major,M,major
Fagin,Bill Sikes,conjunctions,74,43,27,0.627906976744186,0.6891891891891891,-0.06128221244500309,M,major,M,major
Fagin,Bill Sikes,impersonal_pronouns,74,37,20,0.5405405405405406,0.581081081081081,-0.04054054054054046,M,major,M,major
Fagin,Bill Sikes,negations,74,31,11,0.3548387096774194,0.4189189189189189,-0.06408020924149954,M,major,M,major
Fagin,Bill Sikes,personal_pronouns,74,66,57,0.8636363636363636,0.8783783783783784,-0.014742014742014753,M,major,M,major
Fagin,Bill Sikes,prepositions,74,54,40,0.7407407407407407,0.7432432432432432,-0.0025025025025025016,M,major,M,major
Fagin,Bill Sikes,quantifiers,74,31,13,0.41935483870967744,0.4594594594594595,-0.04010462074978205,M,major,M,major
Fagin,Charley Bates,adverbs,16,10,5,0.5,0.5625,-0.0625,M,major,M,intermediate
