a_speaker,b_speaker,n_features,n_pairs,n_triggers_total,mean_conv,mean_conv_w,a_gender,a_category,b_gender,b_category
Bill Sikes,Charley Bates,1,3,3,0.0,0.0,M,major,M,intermediate
Bill Sikes,Fagin,9,75,434,0.015591073106129625,0.007588325652841773,M,major,M,major
Bill Sikes,Nance,9,39,196,0.02335401799774879,0.005886970172684487,M,major,F,major
Bill Sikes,Oliver Twist,4,4,15,0.02083333333333333,0.016666666666666663,M,major,M,major
Bill Sikes,The Driver,1,3,3,0.0,0.0,M,major,M,minor
Bill Sikes,The Labouring Man,1,3,3,0.0,0.0,M,major,M,minor
Bill Sikes,Toby Crackit,9,13,66,0.06109816109816108,0.06643356643356642,M,major,M,intermediate
Charley Bates,Bill Sikes,4,3,12,0.0,0.0,M,intermediate,M,major
Charley Bates,Fagin,9,20,99,0.04020963604296937,0.024747474747474754,M,intermediate,M,major
Charley Bates,Oliver Twist,2,3,6,0.0,0.0,M,intermediate,M,major
Charley Bates,The Artful Dodger,9,13,58,0.027506444173110815,0.013262599469495998,M,intermediate,M,intermediate
Dick,Oliver Twist,2,3,6,0.0,0.0,M,minor,M,major
Fagin,Bill Sikes,9,74,343,0.05639838377279475,0.045544086360412885,M,major,M,major
Fagin,Charley Bates,9,16,86,-0.07597603014269681,-0.07630813953488372,M,major,M,intermediate
Fagin,Monks,9,15,68,-0.05105820105820105,-0.051960784313725486,M,major,M,major
Fagin,Mr. Chitling,8,10,48,0.06979166666666665,0.06458333333333331,M,major,M,intermediate
Fagin,Nance,9,22,105,-0.01863136863136862,0.030303030303030314,M,major,F,major
Fagin,Noah Claypole,9,60,341,0.004904997913127996,0.004447702834799615,M,major,M,major
Fagin,Oliver Twist,9,18,105,0.007062454611474234,-0.00793650793650792,M,major,M,major
Fagin,The Artful Dodger,6,6,24,-0.06666666666666667,-0.06249999999999999,M,major,M,intermediate
Fagin,The Landlord Of The Cripples,3,5,9,-0.0888888888888889,-0.08888888888888892,M,major,M,minor
Fagin,The Turnkey,2,3,6,0.0,0.0,M,major,M,minor
Harry Maylie,Mr. Losberne,5,4,16,0.016666666666666663,0.015624999999999997,M,intermediate,M,major
Harry Maylie,Mrs. Maylie,9,14,85,0.05877085877085876,0.039495798319327716,M,intermediate,F,intermediate
Harry Maylie,Oliver Twist,6,9,34,-0.042063492063492025,-0.035947712418300616,M,intermediate,M,major
Harry Maylie,Rose Maylie,9,21,126,-0.03157567740901073,-0.02191987906273619,M,intermediate,F,major
Joe,Nance,4,6,16,0.05416666666666667,0.052083333333333336,M,minor,F,major
Kags,Mr. Chitling,3,4,9,-0.02777777777777779,-0.02777777777777779,M,minor,M,intermediate
Kags,Toby Crackit,3,3,9,0.0,0.0,M,minor,M,intermediate
Martha,Anny,2,3,6,0.0,0.0,F,minor,F,minor
Monks,Fagin,9,14,80,-0.03992303992303993,-0.04375,M,major,M,major
Monks,Mr. Brownlow,9,34,185,-0.051645222968752354,-0.04324324324324322,M,major,M,major
Monks,Mr. Bumble,9,20,131,0.05142253782604658,0.04580152671755723,M,major,M,major
Monks,Mrs. Corney,9,24,119,0.01580924617560324,0.014705882352941162,M,major,F,major
Mr. Blathers,Mr. Duff,6,7,33,-0.04642857142857141,-0.030303030303030287,M,intermediate,M,minor
Mr. Blathers,Mr. Giles,2,4,6,-2.7755575615628914e-17,-1.850371707708594e-17,M,intermediate,M,intermediate
Mr. Blathers,Mr. Losberne,8,10,60,-0.04444444444444445,-0.035,M,intermediate,M,major
Mr. Brittles,Mr. Giles,6,8,25,0.01527777777777777,0.025,M,minor,M,intermediate
Mr. Brittles,Mr. Losberne,1,3,3,0.0,0.0,M,minor,M,major
Mr. Brownlow,Monks,9,35,238,0.018319326000082386,0.008763505402160851,M,major,M,major
Mr. Brownlow,Mr. Bumble,6,6,28,0.07222222222222223,0.059523809523809534,M,major,M,major
Mr. Brownlow,Mr. Fang,6,9,31,0.002777777777777777,-0.0035842293906810053,M,major,M,intermediate
