family,gender,mean_conv
adverbs,F,0.026553891488298863
adverbs,M,-0.015059657121986085
articles,F,-0.011459465790739564
articles,M,-0.006807112095993088
auxiliary_verbs,F,-0.008831058648576482
auxiliary_verbs,M,0.00561646845308243
conjunctions,F,0.02431391459695831
conjunctions,M,0.017317731580083387
impersonal_pronouns,F,0.03559845622330992
impersonal_pronouns,M,0.011959027104517489
negations,F,-0.004196535401148455
negations,M,0.010131005794929072
personal_pronouns,F,-0.009422072775581186
personal_pronouns,M,0.007886563808601688
prepositions,F,0.0013695679726998357
prepositions,M,0.0029939644032499187
quantifiers,F,0.01942438008025489
quantifiers,M,-0.012306611628576321
