family,gender,mean_conv
adverbs,F,0.02708333333333332
adverbs,M,-0.02130952380952382
articles,F,0.022222222222222216
articles,M,-0.027813852813852825
auxiliary_verbs,F,-0.029166666666666684
auxiliary_verbs,M,-0.03271221532091098
conjunctions,F,-0.035416666666666666
conjunctions,M,-0.006092436974789924
impersonal_pronouns,F,0.08541666666666665
impersonal_pronouns,M,-0.047278911564625846
negations,F,-0.2
negations,M,-0.05238095238095239
personal_pronouns,F,0.033333333333333326
personal_pronouns,M,-0.005760368663594475
prepositions,F,-0.006666666666666687
prepositions,M,-0.053778467908902707
quantifiers,M,-0.019708994708994707
