family,gender,mean_conv
adverbs,F,-0.015764001146764513
adverbs,M,0.0004677014176930299
articles,F,-0.009035180118518867
articles,M,-0.027132130388655078
auxiliary_verbs,F,0.005236792687787799
auxiliary_verbs,M,-0.006130826528862486
conjunctions,F,-0.023231238748381212
conjunctions,M,0.00905716419596385
impersonal_pronouns,F,-0.010671817842322953
impersonal_pronouns,M,-0.0029821418931047926
negations,F,-0.011164514223504252
negations,M,-0.00764939575653273
personal_pronouns,F,-0.02450047052996003
personal_pronouns,M,-0.013500619356255282
prepositions,F,-0.038563593138744585
prepositions,M,-0.007602593638925518
quantifiers,F,0.025004770123139848
quantifiers,M,0.003117837893719344
