family,gender,mean_conv
adverbs,F,0.05546998068778318
adverbs,M,0.012686401135748376
articles,F,0.006836954538110556
articles,M,0.01770551067218525
auxiliary_verbs,F,0.015823603980620847
auxiliary_verbs,M,0.01282339151199344
conjunctions,F,-0.0019939061998904494
conjunctions,M,0.008467037792951444
impersonal_pronouns,F,0.0013262362811073197
impersonal_pronouns,M,0.05028806149673087
negations,F,0.02134806684048117
negations,M,0.006475802701004313
personal_pronouns,F,0.022604743796350805
personal_pronouns,M,-0.0018273465767940612
prepositions,F,0.021991232623841877
prepositions,M,-0.005394473721296368
quantifiers,F,0.024659922368745212
quantifiers,M,-0.005262200548298138
