family,gender,mean_conv
adverbs,F,-0.019444444444444448
adverbs,M,-0.02456709956709956
articles,F,0.0611111111111111
articles,M,0.0002645502645502667
auxiliary_verbs,F,0.01987179487179487
auxiliary_verbs,M,-0.02378571428571428
conjunctions,F,-0.011904761904761902
conjunctions,M,0.011088435374149658
impersonal_pronouns,F,-0.02708333333333334
impersonal_pronouns,M,0.0025510204081632642
negations,F,-0.08333333333333333
negations,M,0.010294117647058823
personal_pronouns,F,-0.03664965986394558
personal_pronouns,M,-0.002269345238095237
prepositions,F,0.012738095238095238
prepositions,M,-0.008619929453262785
quantifiers,F,0.005952380952380951
quantifiers,M,-0.02846790890269151
