family,gender,mean_conv
adverbs,F,-0.0027690320204195847
adverbs,M,-0.0062225481202995625
articles,F,0.020562893885167913
articles,M,-0.001601699391327334
auxiliary_verbs,F,-0.0033193316870826282
auxiliary_verbs,M,0.03222171605704603
conjunctions,F,-0.0005572509011661906
conjunctions,M,0.007547408139866549
impersonal_pronouns,F,-0.017797498407143498
impersonal_pronouns,M,0.008528900286392374
negations,F,-0.023357227864813535
negations,M,-0.011520950696564305
personal_pronouns,F,0.022713091686956764
personal_pronouns,M,-0.002354179269678888
prepositions,F,-0.003486372471350613
prepositions,M,0.0010271648659580107
quantifiers,F,0.029228640989751406
quantifiers,M,-0.021001705323212844
