family,importance,mean_conv
adverbs,intermediate,-0.0006654247538970779
adverbs,major,0.03305907129880397
adverbs,minor,0.03220899470899471
articles,intermediate,0.03054094238016319
articles,major,0.016095289305161225
articles,minor,-0.014556277056277055
auxiliary_verbs,intermediate,0.01209369986088911
auxiliary_verbs,major,0.020592710097731493
auxiliary_verbs,minor,-0.0052083333333333304
conjunctions,intermediate,0.03511887584139995
conjunctions,major,-0.005090053656765874
conjunctions,minor,-0.010251322751322754
impersonal_pronouns,intermediate,0.017331572532714768
impersonal_pronouns,major,0.04801580956163906
impersonal_pronouns,minor,0.05392156862745097
negations,intermediate,-0.020236619323024386
negations,major,0.005479340591242958
negations,minor,0.16666666666666666
personal_pronouns,intermediate,-0.0002689488686931096
personal_pronouns,major,0.009852343278956805
personal_pronouns,minor,-0.011325611325611325
prepositions,intermediate,0.034903359728369825
prepositions,major,-0.005204499652080748
prepositions,minor,-0.028291316526610644
quantifiers,intermediate,0.028045048995501157
quantifiers,major,0.009194096317591632
quantifiers,minor,-0.10783730158730159
