family,importance,mean_conv
adverbs,intermediate,0.03605442176870748
adverbs,major,-0.009340659340659342
adverbs,minor,-0.125
articles,intermediate,0.011904761904761894
articles,major,0.013293650793650788
articles,minor,0.0
auxiliary_verbs,intermediate,0.03214285714285716
auxiliary_verbs,major,-0.01488095238095239
auxiliary_verbs,minor,0.0
conjunctions,intermediate,0.08730158730158728
conjunctions,major,-0.015151515151515159
conjunctions,minor,0.0
impersonal_pronouns,intermediate,-0.007142857142857131
impersonal_pronouns,major,-0.029545454545454562
impersonal_pronouns,minor,-0.041666666666666685
negations,intermediate,-0.12500000000000003
negations,major,-0.2
personal_pronouns,intermediate,0.0023809523809523825
personal_pronouns,major,-0.013474025974025982
personal_pronouns,minor,0.0
prepositions,intermediate,0.0017006802721088374
prepositions,major,-0.008058608058608065
prepositions,minor,-0.08333333333333336
quantifiers,intermediate,-0.125
quantifiers,major,-0.005000000000000037
quantifiers,minor,0.0
