character,out_degree,in_degree,adaptability_out_strength,adaptability_in_strength,betweenness,betweenness_weighted,gender,category
Oliver Twist,14,15,0.5173201564645422,0.33520761096900104,0.34140184645286686,0.34408163265306124,M,major
Mr. Brownlow,9,9,0.4313370753277921,0.3181782624802381,0.1936530612244898,0.31551020408163266,M,major
Mr. Bumble,9,8,0.41432820310343543,0.32841061651721126,0.1847482993197279,0.23510204081632655,M,major
Fagin,11,11,0.3831436965908903,0.37421223591141056,0.19428668610301267,0.19959183673469388,M,major
Mr. Losberne,9,9,0.31596023775543924,0.5024115556985409,0.18436734693877554,0.3081632653061225,M,major
Rose Maylie,6,6,0.291460743898191,0.22968372981047894,0.010979591836734694,0.21673469387755104,F,major
Mr. Fang,3,3,0.22019871794871793,0.2360345307713728,0.07020408163265307,0.07020408163265307,M,intermediate
The Artful Dodger,4,5,0.2084049613752583,0.20318154034199373,0.07020408163265307,0.19183673469387755,M,intermediate
Noah Claypole,4,4,0.1928959532603515,0.12328749869149402,0.04340621963070943,0.0673469387755102,M,major
Toby Crackit,4,4,0.1562105565117612,0.08247863247863241,0.0301287657920311,0.052244897959183675,M,intermediate
Nance,6,6,0.15463431484465218,0.13346936794160089,0.0691326530612245,0.04979591836734694,F,major
Harry Maylie,4,4,0.1519033271248367,0.1039334072441159,0.0,0.0,M,intermediate
Mrs. Maylie,4,5,0.143410855354175,0.24711711468869813,0.01072108843537415,0.0,F,intermediate
The Book-stall Keeper,1,1,0.1428571428571428,0.096,0.0,0.0,M,minor
Monks,4,4,0.1251733933360126,0.1945917265201515,0.0635762876579203,0.11755102040816327,M,major
Bill Sikes,7,7,0.12045313707420388,0.1172272029137646,0.09831875607385814,0.13551020408163267,M,major
Mrs. Corney,4,4,0.1054394455053694,0.13999584275733867,0.08734693877551021,0.08734693877551021,F,major
Mr. Blathers,3,3,0.0928571428571427,0.06687992657380401,0.035510204081632656,0.0689795918367347,M,intermediate
Charley Bates,4,4,0.0757819103972949,0.0389491237856179,0.008265306122448978,0.0,M,intermediate
The Landlord Of The Cripples,1,1,0.0757575757575757,0.1499999999999999,0.0,0.0,M,minor
Mrs. Thingummy,2,1,0.0731707317073171,0.0181159420289855,0.018367346938775512,0.018367346938775512,F,intermediate
Mrs. Bolter,1,1,0.0658631080499354,0.0333611342785654,0.0,0.0,F,intermediate
The Jailer At The Dodger's Trial,1,2,0.0476190476190476,0.0,0.017959183673469388,0.017959183673469388,M,minor
The Officer,1,1,0.0444444444444444,0.0833333333333333,0.0,0.0,M,minor
Mr. Sowerberry,2,2,0.038919413919413795,0.0450955548516523,0.017959183673469388,0.035510204081632656,M,intermediate
Mrs. Bedwin,2,2,0.0381304741769857,0.054505408720865296,0.0,0.0,F,intermediate
Mr. Giles,5,4,0.03468801313628891,0.039141414141414005,0.03693877551020408,0.052653061224489796,M,intermediate
Mr. Chitling,2,3,0.0319429396894184,0.0981481481481481,0.006401846452866862,0.03183673469387755,M,intermediate
The Driver,1,1,0.0299999999999999,0.0,0.0,0.0,M,minor
Mr. Gamfield,2,1,0.0296296296296296,0.0,0.0,0.0,M,minor
_unknowable,1,0,0.0277777777777777,0.0,0.0,0.0,M,intermediate
Joe,1,1,0.0256410256410256,0.0312499999999999,0.0,0.0,M,minor
Mr. Grimwig,1,1,0.0249593054801953,0.0286549707602339,0.0,0.0,M,intermediate
Mr. Duff,1,1,0.0231481481481481,0.0079365079365079,0.0,0.0,M,minor
Mr. Brittles,2,2,0.0113636363636363,0.0444139194139193,0.0,0.0,M,minor
Mrs. Mann,1,1,0.0109579356663131,0.0416666666666666,0.0,0.0,F,intermediate
Mrs. Sowerberry,2,1,0.009090909090909,0.0256410256410256,0.0,0.0,F,intermediate
The Hump-backed Man,1,1,0.0045454545454545,0.0,0.0,0.0,M,minor
The Doctor,1,1,7.569702440626067e-18,0.0,0.0,0.0,M,minor
Mr. Lively,1,1,0.0,0.0,0.0,0.0,M,minor
Dick,1,2,0.0,0.109375,0.0,0.0,M,minor
The Labouring Man,1,1,0.0,0.0,0.0,0.0,M,minor
Barney,1,0,0.0,0.0,0.0,0.0,M,minor
The Magistrate With Spectacles,0,1,0.0,0.088235294117647,0.0,0.0,M,minor
Kags,2,1,0.0,0.0916666666666666,0.0,0.0,M,minor
Mr. Limbkins,2,1,0.0,0.0296296296296296,0.0,0.0,M,minor
The Tinker,1,1,0.0,0.0,0.0,0.0,M,minor
The Gentleman In The White Waistcoat,0,2,0.0,0.0,0.0,0.0,M,minor
The Parish Apothecary's Apprentice,1,1,0.0,0.0,0.0,0.0,M,minor
The Surgeon,0,1,0.0,0.0,0.0,0.0,M,minor
The Magistrate At The Dodger's Trial,1,0,0.0,0.0,0.0,0.0,M,minor
