a_speaker,b_speaker,w_ab,w_ba
Bill Sikes,Charley Bates,0.0,0.0
Bill Sikes,Fagin,0.0491978609625668,-0.0190911132739387
Bill Sikes,Nance,0.0159511031604054,-0.0035921997947314
Bill Sikes,The Driver,0.0,0.0299999999999999
Bill Sikes,The Labouring Man,0.0,0.0
Bill Sikes,Toby Crackit,-0.0405982905982906,-0.0645438898450946
Charley Bates,Bill Sikes,0.0,0.0
Charley Bates,Fagin,0.0417582417582417,-0.0237676056338028
Charley Bates,Oliver Twist,0.0,0.0
Charley Bates,The Artful Dodger,0.0340236686390532,-0.0151815181518151
Dick,Oliver Twist,0.0,0.0
Fagin,Bill Sikes,-0.0190911132739387,0.0491978609625668
Fagin,Charley Bates,-0.0237676056338028,0.0417582417582417
Fagin,Monks,0.0233009708737864,0.0087719298245614
Fagin,Mr. Chitling,0.0981481481481481,0.0011737089201877
Fagin,Mr. Lively,0.0,0.0
Fagin,Nance,0.0094696969696969,-0.0231419670672007
Fagin,Noah Claypole,-0.0212174940898345,0.0450611347712598
Fagin,Oliver Twist,-0.0125448028673835,-0.007554945054945
Fagin,The Artful Dodger,-0.0144927536231884,-0.1217948717948718
Fagin,The Landlord Of The Cripples,0.1499999999999999,0.0757575757575757
Fagin,Toby Crackit,0.0111111111111111,0.0
Harry Maylie,Mr. Losberne,0.0416666666666666,-0.0073529411764705
Harry Maylie,Mrs. Maylie,-0.0332225913621262,-0.0248520710059171
Harry Maylie,Oliver Twist,-0.0116959064327485,0.0395061728395061
Harry Maylie,Rose Maylie,0.0653181626632954,0.0322222222222222
Joe,Nance,-0.0256410256410256,0.0312499999999999
Kags,Toby Crackit,0.0,0.0916666666666666
Monks,Fagin,0.0087719298245614,0.0233009708737864
Monks,Mr. Brownlow,0.0244824186657903,0.0300639658848614
Monks,Mr. Bumble,0.0411764705882352,0.0703324808184143
Monks,Mrs. Corney,0.0507425742574257,0.0708943089430894
Mr. Blathers,Mr. Duff,0.0079365079365079,0.0231481481481481
