quoteID,quoteText,quoteBy,quoteTo
Q0,let me see the child and die,Agnes Fleming,"['Mrs. Thingummy', 'The Surgeon']"
Q1,oh you must not talk about dying yet,The Surgeon,"['Mrs. Thingummy', 'Agnes Fleming']"
Q2,lor bless her dear heart no,Mrs. Thingummy,"['Agnes Fleming', 'The Surgeon']"
Q3,lor bless her dear heart when she has lived as long as i have sir and had thirteen children of her own and all on em dead except two and them in the wurkus with me she ll know better than to take on in that way bless her dear heart think what it is to be a mother there s a dear young lamb do,Mrs. Thingummy,"['Agnes Fleming', 'The Surgeon']"
Q4,it s all over mrs thingummy,The Surgeon,['Mrs. Thingummy']
Q5,ah poor dear so it is poor dear,Mrs. Thingummy,['The Surgeon']
Q6,you needn t mind sending up to me if the child cries nurse it s very likely it will be troublesome give it a little gruel if it is,The Surgeon,['Mrs. Thingummy']
Q7,she was a good looking girl too where did she come from,The Surgeon,['Mrs. Thingummy']
Q8,she was brought here last night by the overseer s order she was found lying in the street she had walked some distance for her shoes were worn to pieces but where she came from or where she was going to nobody knows,Mrs. Thingummy,['The Surgeon']
Q9,the old story no wedding ring i see ah good night,The Surgeon,['Mrs. Thingummy']
Q10,goodness gracious is that you mr bumble sir susan take oliver and them two brats upstairs and wash em directly my heart alive mr bumble how glad i am to see you sure ly lor only think only think of that that i should have forgotten that the gate was bolted on the inside on account of them dear children walk in sir walk in pray mr bumble do sir,Mrs. Mann,['Mr. Bumble']
Q11,do you think this respectful or proper conduct mrs mann to keep the parish officers a waiting at your garden gate when they come here upon porochial business with the porochial orphans are you aweer mrs mann that you are as i may say a porochial delegate and a stipendiary,Mr. Bumble,['Mrs. Mann']
Q12,i m sure mr bumble that i was only a telling one or two of the dear children as is so fond of you that it was you a coming,Mrs. Mann,['Mr. Bumble']
Q13,well well mrs mann it may be as you say it may be lead the way in mrs mann for i come on business and have something to say,Mr. Bumble,['Mrs. Mann']
Q14,now don t you be offended at what i m a going to say you ve had a long walk you know or i wouldn t mention it now will you take a little drop of somethink mr bumble,Mrs. Mann,['Mr. Bumble']
Q15,not a drop nor a drop,Mr. Bumble,['Mrs. Mann']
Q16,i think you will just a leetle drop with a little cold water and a lump of sugar now just a leetle drop,Mrs. Mann,['Mr. Bumble']
Q17,what is it,Mr. Bumble,['Mrs. Mann']
Q18,why it s what i m obliged to keep a little of in the house to put into the blessed infants daffy when they ain t well mr bumble it s gin i ll not deceive you mr b it s gin,Mrs. Mann,['Mr. Bumble']
Q19,do you give the children daffy mrs mann,Mr. Bumble,['Mrs. Mann']
Q20,ah bless em that i do dear as it is i couldn t see em suffer before my very eyes you know sir,Mrs. Mann,['Mr. Bumble']
