a_speaker,b_speaker,n_features,n_pairs,n_triggers_total,mean_conv,mean_conv_w,a_gender,a_category,b_gender,b_category
A Stray Subaltern,Mr. Turton,1,3,3,0.0,0.0,M,minor,M,intermediate
Adela Quested,Cyril Fielding,9,52,268,-0.033722802160970775,-0.03573478760045927,F,major,M,major
Adela Quested,Dr. Aziz,9,33,156,-0.013641202428387782,-0.0015540015540015555,F,major,M,major
Adela Quested,Hamidullah,6,8,31,0.12182539682539682,0.07661290322580645,F,major,M,intermediate
Adela Quested,Mr. Mcbryde,7,11,42,0.056163677592249,0.03679653679653677,F,major,M,intermediate
Adela Quested,Mr. Turton,6,5,23,0.04166666666666666,0.04347826086956521,F,major,M,intermediate
Adela Quested,Mrs. Moore,9,36,185,0.05684379981113194,0.04144144144144147,F,major,F,major
Adela Quested,Professor Godbole,4,6,15,-0.008333333333333331,0.02222222222222224,F,major,M,intermediate
Adela Quested,Ronny Heaslop,9,53,218,0.031044678967499288,0.031850441405573846,F,major,M,major
Adela Quested,The Nawab Badahur,1,4,4,0.0,0.0,F,major,M,intermediate
Cyril Fielding,Adela Quested,9,56,281,-0.04001986883760284,-0.03717590238942553,M,major,F,major
Cyril Fielding,Dr. Aziz,9,159,701,-0.008695124113608775,-0.008684807866569746,M,major,M,major
Cyril Fielding,Hamidullah,9,28,150,0.008832670597376493,-0.002857142857142844,M,major,M,intermediate
Cyril Fielding,Mr. Haq,2,5,8,-0.07500000000000001,-0.07500000000000001,M,major,M,minor
Cyril Fielding,Mr. Mcbryde,9,29,124,0.010909120679235626,0.014460511679644046,M,major,M,intermediate
Cyril Fielding,Mr. Turton,9,12,59,0.01031746031746032,0.007062146892655376,M,major,M,intermediate
Cyril Fielding,Mrs. Moore,7,9,28,-0.0992063492063492,-0.08730158730158731,M,major,F,major
Cyril Fielding,Professor Godbole,9,14,65,-0.022138047138047155,-0.016483516483516498,M,major,M,intermediate
Cyril Fielding,Ronny Heaslop,3,3,9,0.0,0.0,M,major,M,major
Dr. Aziz,Adela Quested,9,34,186,0.009939237788866592,0.010278304870335214,M,major,F,major
Dr. Aziz,Cyril Fielding,9,162,842,-0.013533664880111639,-0.010182985836192487,M,major,M,major
Dr. Aziz,Dr. Panna Lal,6,8,29,-0.026587301587301593,-0.030172413793103457,M,major,M,intermediate
Dr. Aziz,Hamidullah,9,25,138,-0.03688268130218597,-0.033043478260869584,M,major,M,intermediate
Dr. Aziz,Hassan,5,5,20,-1.1102230246251566e-17,-1.1102230246251566e-17,M,major,M,minor
Dr. Aziz,Mahmoud Ali,1,4,4,0.0,0.0,M,major,M,intermediate
Dr. Aziz,Mohammed Latif,7,3,21,0.0,0.0,M,major,M,minor
Dr. Aziz,Mr. Das,8,7,37,0.05119047619047621,0.03861003861003863,M,major,M,intermediate
Dr. Aziz,Mrs. Moore,9,35,194,-0.0033225813361636653,-0.0016200294550809894,M,major,F,major
Dr. Aziz,Professor Godbole,7,9,37,-0.08163265306122448,-0.06906906906906908,M,major,M,intermediate
Dr. Aziz,Rafi,6,3,18,0.0,0.0,M,major,M,minor
Dr. Aziz,Ralph,9,19,94,0.0016029130064217757,0.009518477043673007,M,major,M,intermediate
Dr. Panna Lal,Dr. Aziz,9,9,43,0.03289241622574956,0.028423772609819122,M,intermediate,M,major
Dr. Panna Lal,Hamidullah,5,6,20,-0.030000000000000006,-0.025,M,intermediate,M,intermediate
Dr. Panna Lal,Ram Chand,1,3,3,0.0,0.0,M,intermediate,M,minor
Hamidullah,Adela Quested,6,6,23,-0.13888888888888887,-0.11594202898550723,M,intermediate,F,major
Hamidullah,Cyril Fielding,9,28,163,-0.012309035993246509,-0.006134969325153361,M,intermediate,M,major
Hamidullah,Dr. Aziz,9,23,129,-0.05400812127154839,-0.04583754634310753,M,intermediate,M,major
Hamidullah,Dr. Panna Lal,5,7,27,-0.022380952380952356,-0.02116402116402114,M,intermediate,M,intermediate
Hamidullah,Mahmoud Ali,9,8,47,0.027513227513227528,0.02393617021276597,M,intermediate,M,intermediate
Mahmoud Ali,Dr. Aziz,2,3,6,0.0,0.0,M,intermediate,M,major
Mahmoud Ali,Hamidullah,8,8,47,0.09821428571428571,0.0851063829787234,M,intermediate,M,intermediate
Mahmoud Ali,Mr. Das,5,3,15,0.0,0.0,M,intermediate,M,intermediate
