family,gender,mean_conv
adverbs,F,0.04617597470468284
adverbs,M,0.0035455635418224583
articles,F,0.017570850902190613
articles,M,0.003969090471223263
auxiliary_verbs,F,0.029707093155369017
auxiliary_verbs,M,0.02144175982251188
conjunctions,F,0.03446135054297886
conjunctions,M,0.022264262756509837
impersonal_pronouns,F,0.04609512375440353
impersonal_pronouns,M,0.05635128855687026
negations,F,-0.009746542799174383
negations,M,0.010533827130318685
personal_pronouns,F,0.011248232858394968
personal_pronouns,M,0.01651911719338205
prepositions,F,0.006679317291424195
prepositions,M,0.009289293843142626
quantifiers,F,0.11382058482935675
quantifiers,M,-0.007294325504726903
