family,gender,mean_conv
adverbs,F,0.10190295815295813
adverbs,M,0.07309343434343434
articles,F,-0.12444083694083695
articles,M,-0.02881944444444446
auxiliary_verbs,F,0.014986600700886421
auxiliary_verbs,M,0.09108669108669107
conjunctions,F,-0.038792688792688775
conjunctions,M,0.027777777777777762
impersonal_pronouns,F,-0.012938912938912972
impersonal_pronouns,M,0.05087301587301587
negations,F,0.06147186147186148
negations,M,0.1579861111111111
personal_pronouns,F,0.009334415584415598
personal_pronouns,M,0.006500933706816057
prepositions,F,0.008842893217893187
prepositions,M,0.020592286501377424
quantifiers,F,0.030447330447330438
quantifiers,M,0.025555555555555543
